종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A001060,JW중외제약,20220623,-24912,32527,-7668,6842,0,-14549,0,0,0,51,1,40
A001060,JW중외제약,20220624,-33209,32070,1960,8101,1126,-7129,0,0,-154,-820,0,15
A001060,JW중외제약,20220627,1205,1419,-2505,-1790,0,-5969,0,0,4565,-119,0,688
A001060,JW중외제약,20220629,18706,-15425,-3391,2760,0,-10296,0,3,315,113,-3,3826
A001060,JW중외제약,20220628,15493,-11291,-4312,2430,0,-10296,0,0,315,113,-3,3239
A001060,JW중외제약,20220701,34516,-24940,-10658,-4583,-1712,0,0,-2,1741,1081,0,-6101
A001060,JW중외제약,20220630,11309,-8514,-2796,-2663,-18,0,0,-2,4,0,0,-116
A001060,JW중외제약,20220705,-2651,-12088,14422,-2423,-1441,14135,0,-1,-147,216,101,4298
A001060,JW중외제약,20220704,-11132,7652,3482,-6587,-433,8533,0,-1,1896,0,-1,73
A001060,JW중외제약,20220707,-4498,-11947,16429,6770,-476,6868,0,0,2550,156,-140,716
A001060,JW중외제약,20220706,4527,-13631,9356,1828,-12,6868,0,0,0,-216,-37,671
A001060,JW중외제약,20220708,9257,-4968,-4322,-4577,-144,0,0,0,398,33,0,0
A001060,JW중외제약,20220711,-4913,5385,-1234,-3670,-456,5615,0,0,0,761,0,-2723
A001060,JW중외제약,20220713,-23450,22860,903,-6362,-1535,1457,0,0,15640,-171,-144,-8299
A001060,JW중외제약,20220712,-13351,13734,-178,-1950,21,-1008,0,0,7570,-205,0,-4813
A001060,JW중외제약,20220715,17138,-8310,-17058,-12225,-9,-9726,0,0,4064,8270,-41,838
A001060,JW중외제약,20220714,53517,-35327,-18232,-12531,-9,-10335,0,0,4060,33,8,583
A001060,JW중외제약,20220719,14131,-12592,-1750,-748,-18,589,1249,0,-1630,103,107,-1194
A001060,JW중외제약,20220718,-669,-3780,4448,571,-18,1641,1249,0,776,0,0,227
A001060,JW중외제약,20220721,8247,-15424,5898,1113,6355,-5193,-1249,0,3781,1266,12,1094
A001060,JW중외제약,20220720,1483,-9655,7626,2759,6098,-5193,-1249,0,4112,535,10,1101
A001060,JW중외제약,20220722,557,-4131,3363,1767,1,-45,0,0,-102,210,1,1742
A001060,JW중외제약,20220725,9104,-9588,72,-301,3,1979,0,0,-1697,412,0,87
A001060,JW중외제약,20220727,-21255,16377,10030,8104,1137,845,0,0,-4548,-5113,-38,4489
