,labels,context
0,1,2730일 나흘 5000 인분 간식 준비 성 바이오 직스 27일 월부터 30일 목까지 임 직원 기 진작 위 푸드 트럭 행사 진행 한다 성 바이오 직스 바이오 파크 설치 된 푸드 트럭 임 직원 간식 받아가고 삼성 바이오 직스 제공 성 바이오 직스 207940 푸드 트럭 이벤트 임 직원 사기 진작 나섰다고 29일 밝혔다 지난 27일 30일 나흘 진행 되는 행사 총 5000 인분 간식 준비 됐다 점심시간 아니라 24시간 교대 근무 하는 직원 위해 야간 시간대 푸드 트럭 추가 운영 한다 삼성 바이오 직스 어려운 경영 환경 속 우수한 성과 위해 노력 해 주고 있는 임 직원 감사 뜻 전하 취지 이벤트 기획 했다고 한다 성 바이오 직스 지난해 9월 더 백신 첫 배치 생산 기념 시작 푸드 트럭 이벤트 해 왔다 올해 4월 에는 1분 기 영업 이익 률 목표 달성 기념 해 푸드 트럭 행사 진행 했다 올해 하반기 같은 행사 계획 삼성 바이오 직스 역 동 적 기업 문화 만들기 위 다양한 프로그램 운영 중이 신입사원 경영 진의 멘토 되어 상호 경험 공유 하는 리 버스 멘토링 Reverse Mentoring 프로그램 대표 프로그램 통해 글램핑 타로점 보기 MZ 세대 문화생활 체험 하며 세대 벽 허물 공감 형성 있다는 회사 설명 임 직원 공청회 통해 임 직원 다양한 의견 청취 해 회사 정책 수립 복지 제도 개선 반영 있다고 한다 삼성 바이오 직스 달 잡코리아 대학생 취업 준비 생 1000 여명 대상 실시 설문조사 바이오 약 의료 가장 취업 싶은 기업 1 위로 꼽히는 입사 싶은 회사 꼽히 기도 했다 삼성 바이오 직스 관계자 푸드 트럭 존림 대표이사 아이디어 라며 존림 대표 평소 사내 구성원 원 팀 상호 존중 활발하게 소통 하는 조 직문 중요하다고 강조 해왔다고 설명 했다 글로벌 정보 마케팅 센터 가르시아 코트 프로 푸드 트럭 행사 다양한 국적 임 직원 자연 문화 교류 할 수 있는 계기 되는 같다고 말 했다
1,0,성 바이오 직스 감사 푸드 트럭 이벤트 통한 임 직원 사기 진작 나섰다지난 27일 11시 인천 송도 성 바이오 직스 본사 내 야외 휴식 정원 바이오 파크 푸드 트럭 3 대가 등장 했다 일명 떡 순이 불리는 오징어 튀김 떡볶이 순대 넉넉히 담긴 3 종 분식 세트 가득 담긴 푸드 트럭 Great Job 수고 했어라는 문구 랩핑 됐다 점심시간 되자 푸드 트럭 앞 모여든 성 바이오 직스 임 직원 제각각 모여 신나는 음악 분식 만끽 했다 삼성 바이오 직스 측은 어려운 경영 환경 속 우수한 성과 위해 노력 있는 임 직원 감사 뜻 전 하기 위해 행사 마련 했다 30일 나흘 진행 되는 행사 총 5000 인분 간식 마련 된다 24시간 교대 근무 이뤄지는 특성 고려 해 점심시간 아니라 야간 푸드 트럭 운영 한다 가르시아 코트 글로벌 정보 마케팅 센터 프로 팀원 간식 먹으며 즐거운 분위기 화합 할 수 있어 좋았다며 다양한 국적 임 직원 자연 문화 교류 할 수 있는 계기 되는 같다고 소감 전 했다 존 림 성 바이오 직스 대표 같은 푸드 트럭 이벤트 존 림 대표이사 아이디어 모든 구성원 원 팀 상호 존중 활발하게 소통 하는 조직 문화 중요한 이를 위 계기 푸드 트럭 마련 했다는 설명 지난해 9월 더 백신 첫 배치 생산 기념 지난 4월 1분 기 영업 이익 률 목표 달성 맞아 닭강정 햄버거 핫도그 다양한 음식 제공 됐다 오는 하반기 푸드 트럭 이벤트 이어 갈 예정 성 바이오 직스 이외 젊고 역 동 적 기업 문화 만들기 위 다양한 프로그램 운영 지난해 진행 있는 리 버스 멘토링 Reverse Mentoring 대표 리 버스 멘토링 신입사원 경영 진의 멘토 돼 상호 경험 공유 하는 프로그램 글램핑 RPG 게임 타로점 보기 인생 컷 촬영 MZ 세대 문화생활 체험 하며 세대 벽 허물 공감 형성 임 직원 공청회 통해 임 직원 다양한 의견 적극 청취 회사 정책 수립 복지 제도 개선 반영
2,2,원 팀 강조 존림 대표 아이디어 성 바이오 직스 푸드 트럭 진삼 바이오 직스 삼성 바이오 직스 임 직원 위 푸드 트럭 이벤트 진행 한다고 29일 밝혔다 어려운 경영 환경 속 우수한 성과 위해 노력 하는 임 직원 감사 뜻 전 하기 위 해서다 이는 평소 구성원 원 팀 One Team 강조 존림 대표 아이디어 시작 했다 27일 30일 4일 간 진행 되는 행사 총 5000 인분 간식 준비 됐다 성 바이오 직스 점심시간 아니라 24시간 교대 근무 하는 직원 위해 야간 시간대 푸드 트럭 추가 운영 할 예정 글로벌 정보 마케팅 센터 가르시아 코트 프로 팀원 간식 먹으며 즐거운 분위기 화합 할 수 있어 좋았다며 푸드 트럭 행사 다양한 국적 임 직원 자연 문화 교류 할 수 있는 계기 되는 같다고 말 했다 삼성 바이오 직스 푸드 트럭 이벤트 처음 아니다 작년 9월 더 백신 첫 배치 생산 기념 올해 4월 1분 기 영업 이익 률 목표 달성 기념 푸드 트럭 이벤트 진행 했다 올 하반기 임 직원 다양한 의견 반영 해 푸드 트럭 이벤트 진행 할 예정 한편 성 바이오 직스 역 동 적 기업 문화 만들기 위해 리 버스 멘토링 Reverse Mentoring 임 직원 공청회 프로그램 도입 했다 리 버스 멘토링 신입사원 경영 진의 멘토 돼 상호 경험 공유 하는 프로그램 글램핑 RPG 게임 타로점 보기 인생 컷 촬영 MZ 세대 문화생활 체험 한다
3,1,성 바이오 직스 푸드 트럭 이벤트 임 직원 기 진작 나섰다 지난 27일 30일 진행 되는 행사 총 5000 인분 간식 준비 됐다 삼성 바이오 직스 어려운 경영 환경 속 우수한 성과 위해 노력 해 주고 있는 임 직원 감사 뜻 전하 취지 이벤트 기획 했다고 밝혔다 성 바이오 직스 지난해 푸드 트럭 이벤트 통해 임 직원 노고 격려 해왔다 손 규 기자
4,0,존림 대표이사 아이디어 시작 어려운 경영 환경 속 임 직원 노고 격려 성 바이오 직스 푸드 트럭 이벤트 참여 있는 임 직원 사진 제공 성 바이오 직스 뉴스 1 서울 뉴스 1 이영 기자 성 바이오 직스 푸드 트럭 이벤트 임 직원 사기 진작 나섰다 지난 27일 30일 4일 간 진행 되는 행사 오뎅 떡볶이 순대 세트 총 5000 인분 간식 준비 됐다 점심시간 아니라 24시간 교대 근무 하는 직원 위해 야간 시간대 푸드 트럭 추가 운영 한다 삼성 바이오 직스 29일 어려운 경영 환경 속 우수한 성과 위해 노력 하는 임 직원 감사 뜻 전하 취지 이벤트 기획 했다고 밝혔다 가르시아 코트 글로벌 정보 마케팅 센터 프로 팀원 간식 먹으며 즐거운 분위기 화합 할 수 있어 좋았다며 푸드 트럭 행사 다양한 국적 임 직원 자연 문화 교류 할 수 있는 계기 되는 같다고 말 했다 삼성 바이오 직스 지난해 닭강정 햄버거 핫도그 다양한 음식 제공 하는 푸드 트럭 이벤트 진행 해왔다 지난해 9월 에는 더 백신 첫 배치 생산 기념 올해 4월 에는 1분 기 영업 이익 률 목표 달성 기념 푸드 트럭 행사 진행 했다 푸드 트럭 이벤트 존림 대표이사 아이디어 시작 됐다 존림 대표 평소 성 바이오 직스 모든 구성원 원 팀 One Team 상호 존중 활발하게 소통 하는 조 직문 중요하다고 강조 해왔다 성 바이오 직스 올 하반기 푸드 트럭 이벤트 진행 할 예정 이외 성 바이오 직스 여러 프로그램 통해 젊고 역 동 적 기업 문화 만들기 위해 노력 기울이고 지난해 진행 있는 리 버스 멘토링 Reverse Mentoring 대표 리 버스 멘토링 신입사원 경영 진의 멘토 되어 상호 경험 공유 하는 프로그램 글램핑 RPG 게임 타로점 보기 인생 컷 촬영 MZ 세대 문화생활 체험 하며 세대 벽 허물 공감 형성 임 직원 공청회 통해 임 직원 다양한 의견 적극 청취 회사 정책 수립 복지 제도 개선 반영 성 바이오 직스 달 잡코리아 대학생 취업 준비 생 1000 여명 대상 실시 설문조사 바이오 약 의료 가장 취업 싶은 기업 1 위로 꼽혔다
5,0,존림 사장 아이디어 성 바이오 직스 푸드 트럭 모습 회사 공 헤럴드경제 손 규 기자 성 바이오 직스 푸드 트럭 이벤트 임 직원 기 진작 나섰다 지난 27일 30일 진행 되는 행사 총 5000 인분 간식 준비 됐다 삼성 바이오 직스 어려운 경영 환경 속 우수한 성과 위해 노력 해 주고 있는 임 직원 감사 뜻 전하 취지 이벤트 기획 했다고 밝혔다 삼성 바이오 직스 지난해 푸드 트럭 이벤트 통해 임 직원 노고 격려 해왔다 지난해 9월 에는 더 백신 첫 배치 생산 기념 올해 4월 에는 1분 기 영업 이익 률 목표 달성 기념 푸드 트럭 행사 진행 했다 푸드 트럭 이벤트 존림 대표이사 아이디어 시작 됐다 존림 사장 평소 성 바이오 직스 모든 구성원 원 팀 One Team 상호 존중 활발하게 소통 하는 조 직문 중요하다고 강조
6,2,이데일리 이광수 기자 성 바이오 직스 207940 는 임 직원 기 진작 위해 푸드 트럭 이벤트 진행 했다고 29일 밝혔다 지난 27일 오는 30일 나흘 진행 되는 행사 총 5000 인분 간식 준비 됐다 점심시간 아니라 24시간 교대 근무 하는 직원 위해 야간 시간대 푸드 트럭 추가 운영 한다 글로벌 정보 마케팅 센터 가르시아 코트 프로 팀원 간식 먹으며 즐거운 분위기 화합 할 수 있어 좋았다며 푸드 트럭 행사 다양한 국적 임 직원 자연 문화 교류 할 수 있는 계기 되는 같다고 말 했다 삼성 바이오 직스 지난해 푸드 트럭 이벤트 통해 임 직원 노고 격려 해왔다 지난해 9월 에는 더 백신 첫 배치 생산 기념 올해 4월 에는 1분 기 영업 이익 률 목표 달성 기념 푸드 트럭 행사 진행 했다 메뉴 닭강정 햄버거 핫도그 다양한 음식 제공 해 왔다 푸드 트럭 이벤트 존림 대표이사 아이디어 시작 됐다 존림 사장 평소 성 바이오 직스 모든 구성원 원 팀 One Team 상호 존중 활발하게 소통 하는 조 직문 중요하다고 강조 해왔다 이외 성 바이오 직스 다양한 프로그램 통해 젊고 역 동 적 기업 문화 만들기 위해 노력 기울이고 지난해 진행 있는 리 버스 멘토링 Reverse Mentoring 대표 리 버스 멘토링 신입사원 경영 진의 멘토 되어 상호 경험 공유 하는 프로그램 글램핑 RPG 게임 타로점 보기 인생 컷 촬영 MZ 세대 문화생활 체험 하며 세대 벽 허물 공감 형성
7,0,29일 성 바이오 직스 송도 본사 바이오 파크 열린 푸드 트럭 행사 임 직원 즐거운 보내고 사진 공 성 바이오 직스 울 경제 성 바이오 직스 207940 푸드 트럭 이벤트 임 직원 기 진작 나섰다 삼성 바이오 직스 27일 30일 4일 간 총 5000 인분 간식 준비 해 임 직원 다양한 음식 제공 다 고 29일 밝혔다 점심시간 아니라 24시간 교대 근무 하는 직원 위해 야간 시간대 푸드 트럭 추가 운영 한다 푸드 트럭 이벤트 존림 대표 아이디어 지난해 처음 시작 이후 임 직원 반응 올해 이어졌다 회사 관계자 존림 사장 평소 성 바이오 직스 모든 구성원 원 팀 One Team 상호 존중 활발하게 소통 하는 조 직문 중요하다고 강조 해왔다며 어려운 경영 환경 속 우수한 성과 위해 노력 있는 임 직원 감사 뜻 전하 취지 같은 이벤트 기획 했다고 설명 했다 앞서 성 바이오 직스 지난해 9월 에는 더 백신 첫 배치 생산 기념 올해 4월 에는 1분 기 영업 이익 률 목표 달성 기념 푸드 트럭 행사 열었다 올 하반기 임 직원 의견 반영 해 다양한 푸드 트럭 이벤트 진행 할 예정
8,1,서울 뉴시스 류 병화 기자 성 바이오 직스 미국 제약기업 MSDMSD International Business GmbH 2768억 2938만원 규모 의약품 위탁 생산 공급 계약 체결 했다고 4일 공시 했다 계약금 매출 1765 규모 계약 기간 2028년 12월 31일 까지다회사 측은 해당 계약 지난해 9월 29일 공시 된 투자 판단 관련 주요 경 사항 대한 본 계약 체결 건 라며 계약 금액 고객 사의 수 요 증가 3억 8186만 달러 증가 할 수 있다고 전 했다
9,1,이데일리 김유림 기자 성 바이오 직스 207940 는 MSDMSD International Business GmbH 의약품 위탁 생산 계약 체결 했다고 4일 공시 했다 계약 금액 2768억원 이는 최근 매출 액 대비 1765 규모 계약 기간 2022년 7월 1일 2028년 12월 31일 이다 상기 계약 금액 고객 사의 수 요 증가 4942억원 증가 할 수 계약 건 지난해 9월 29일 공시 된 투자 판단 관련 주요 경 사항 대한 본계약 체결 건 앞서 성 바이오 직스 MSD 위탁 생산 계약 의향 체결 했으며 계약 금액 491억원 수령 한다고 공시 바
