종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A001060,JW중외제약,20220623,-24912,32527,-7668,6842,0,-14549,0,0,0,51,1,40
A001060,JW중외제약,20220624,-58121,64597,-5708,14943,1126,-21678,0,0,-154,-769,1,55
A001060,JW중외제약,20220627,1205,1419,-2505,-1790,0,-5969,0,0,4565,-119,0,688
A001060,JW중외제약,20220628,16698,-9872,-6817,640,0,-16265,0,0,4880,-6,-3,3927
A001060,JW중외제약,20220629,3213,-4134,921,330,0,0,0,3,0,0,0,587
A001060,JW중외제약,20220630,14522,-12648,-1875,-2333,-18,0,0,1,4,0,0,471
A001060,JW중외제약,20220701,23207,-16426,-7862,-1920,-1694,0,0,0,1737,1081,0,-5985
A001060,JW중외제약,20220704,-11132,7652,3482,-6587,-433,8533,0,-1,1896,0,-1,73
A001060,JW중외제약,20220705,8481,-19740,10940,4164,-1008,5602,0,0,-2043,216,102,4225
A001060,JW중외제약,20220706,13008,-33371,20296,5992,-1020,12470,0,0,-2043,0,65,4896
A001060,JW중외제약,20220707,-9025,1684,7073,4942,-464,0,0,0,2550,372,-103,45
A001060,JW중외제약,20220708,232,-3284,2751,365,-608,0,0,0,2948,405,-103,45
A001060,JW중외제약,20220711,-4913,5385,-1234,-3670,-456,5615,0,0,0,761,0,-2723
A001060,JW중외제약,20220712,-18264,19119,-1412,-5620,-435,4607,0,0,7570,556,0,-7536
A001060,JW중외제약,20220713,-10099,9126,1081,-4412,-1556,2465,0,0,8070,34,-144,-3486
A001060,JW중외제약,20220714,43418,-26201,-17151,-16943,-1565,-7870,0,0,12130,67,-136,-2903
A001060,JW중외제약,20220715,-36379,27017,1174,306,0,609,0,0,4,8237,-49,255
A001060,JW중외제약,20220718,-669,-3780,4448,571,-18,1641,1249,0,776,0,0,227
A001060,JW중외제약,20220719,14800,-8812,-6198,-1319,0,-1052,0,0,-2406,103,107,-1421
A001060,JW중외제약,20220720,16283,-18467,1428,1440,6098,-6245,-1249,0,1706,638,117,-320
A001060,JW중외제약,20220721,6764,-5769,-1728,-1646,257,0,0,0,-331,731,2,-7
A001060,JW중외제약,20220722,7321,-9900,1635,121,258,-45,0,0,-433,941,3,1735
A001060,JW중외제약,20220725,9104,-9588,72,-301,3,1979,0,0,-1697,412,0,87
A001060,JW중외제약,20220726,5952,-12983,9476,7900,10,1350,0,0,-1697,-2406,-38,1911
A001060,JW중외제약,20220727,-18103,19772,626,-97,1130,1474,0,0,-4548,-2295,0,2665
A001060,JW중외제약,20220728,3222,2298,-2179,-3397,1130,1474,0,0,-4141,-3336,-5,2752
A001060,JW중외제약,20220729,13091,-10535,-2558,-2943,-182,567,0,0,0,0,1,0
A001060,JW중외제약,20220801,15432,-6074,-9358,-8469,-837,-241,0,0,-423,0,0,612
A001060,JW중외제약,20220802,8217,-8179,-80,-1535,279,704,0,0,267,43,0,204
A001060,JW중외제약,20220803,2918,-5049,1258,-1659,279,1552,0,0,267,873,0,817
A001060,JW중외제약,20220804,-7824,5018,2796,6528,0,-120,0,0,-3612,0,10,0
A001060,JW중외제약,20220805,-27791,19425,6296,7857,-5,647,0,0,-4035,2059,10,1832
A001060,JW중외제약,20220808,4743,-730,-4014,321,-873,-205,0,0,-4013,1,0,758
A001060,JW중외제약,20220809,6255,277,-6514,881,-873,-205,0,0,-8209,1,-19,1895
A001060,JW중외제약,20220810,10480,-4621,-3933,-2131,0,-398,0,0,-1404,-1987,60,0
A001060,JW중외제약,20220811,157425,-77307,-73229,126,-27622,-8603,0,617,-29922,-7745,856,-7825
A001060,JW중외제약,20220812,20888,1719,-23742,-4893,0,-6250,0,774,-8285,1235,-100,-5087
A001060,JW중외제약,20220816,11622,1120,-12760,-118,0,0,0,0,-12677,9,10,34
A001060,JW중외제약,20220817,22055,-3021,-17958,942,185,-510,0,0,-18697,-1154,77,121
A001060,JW중외제약,20220818,14794,-7282,-7553,442,0,-23,0,0,-8060,0,41,87
A001060,JW중외제약,20220819,52181,-17170,-35058,-1691,-3440,-5639,0,0,-24376,-33,82,87
