종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A207940,삼성바이오로직스,20220623,-18892,-5839,26808,13652,95,2308,-747,-91,10760,-2058,-19,831
A207940,삼성바이오로직스,20220624,-20795,5701,15958,9445,221,179,-1083,-96,6530,-823,-41,762
A207940,삼성바이오로직스,20220627,37569,-11181,-26861,-8235,-1306,-2317,-20,-153,-12390,428,45,-2440
A207940,삼성바이오로직스,20220629,4007,8556,-12395,-5648,-543,-3896,-600,-61,-660,151,-319,-987
A207940,삼성바이오로직스,20220628,-5736,9258,-3155,-699,-1205,-2517,0,-41,1652,-36,-331,-345
A207940,삼성바이오로직스,20220701,25982,-11027,-15447,-1415,245,-9768,0,-774,-1717,384,108,-2018
A207940,삼성바이오로직스,20220630,10555,-2567,-8253,-2221,1350,-1381,0,-500,-3731,286,-21,-1770
A207940,삼성바이오로직스,20220705,-13559,-1114,14471,7641,3340,-218,2,-586,1255,173,29,3037
A207940,삼성바이오로직스,20220704,-6344,-7869,13930,6669,1771,274,0,-37,3572,297,-14,1681
A207940,삼성바이오로직스,20220707,-23502,18257,5476,-5448,1361,8105,0,95,4935,-231,0,-3572
A207940,삼성바이오로직스,20220706,-2719,4645,-1947,-8242,1046,6235,0,88,1085,-9,30,-2159
A207940,삼성바이오로직스,20220708,-7844,11939,-3942,-4149,-115,-521,0,-159,-468,-111,-42,1470
A207940,삼성바이오로직스,20220711,-23831,5831,18498,616,361,4138,0,-7,6984,-170,-328,6406
A207940,삼성바이오로직스,20220713,-25112,-11750,36454,1341,1294,10544,61,0,12628,23,385,10586
A207940,삼성바이오로직스,20220712,-17459,-5064,22013,-644,1329,7242,40,0,10996,62,448,3050
A207940,삼성바이오로직스,20220715,3907,16849,-21550,-13284,-2994,-152,41,-50,-10135,-30,824,5024
A207940,삼성바이오로직스,20220714,-1337,7189,-6160,-9219,-2680,1229,41,-50,724,-74,382,3795
A207940,삼성바이오로직스,20220719,4678,-7993,2297,-8844,-862,1028,776,218,6934,953,65,3047
A207940,삼성바이오로직스,20220718,11578,-8101,-3715,-5179,-1014,-282,558,218,499,207,31,1485
A207940,삼성바이오로직스,20220721,3150,-987,-2609,-5505,-286,-126,-82,0,289,359,87,3101
A207940,삼성바이오로직스,20220720,-3765,1646,2198,-783,-764,-392,0,0,2313,-76,-3,1824
A207940,삼성바이오로직스,20220722,-16907,7508,10314,203,720,3264,0,0,1075,-734,-181,5052
A207940,삼성바이오로직스,20220725,-7158,-7729,15870,3006,328,908,19,120,7747,-985,2,3742
A207940,삼성바이오로직스,20220727,-21365,6703,15909,3332,651,4061,75,-20,-5171,-1272,25,12981
A207940,삼성바이오로직스,20220726,216,-3207,3073,-814,-3,335,0,0,-994,-214,132,4549
A207940,삼성바이오로직스,20220729,-50458,14999,38673,8992,4683,10563,93,300,14225,1472,-4686,-183
A207940,삼성바이오로직스,20220728,-36242,5677,33839,6232,4024,10988,93,256,8059,1311,-4585,4187
A207940,삼성바이오로직스,20220802,-6715,14346,-7415,-6233,2248,-1502,530,234,7046,-537,321,-9738
