Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ,¿Ü±¹ÀÎ,±â°ü°è,±ÝÀ¶ÅõÀÚ,º¸Çè,Åõ½Å,ÀºÇà,±âÅ¸±ÝÀ¶,¿¬±â±Ý,±âÅ¸¹ýÀÎ,±âÅ¸¿ÜÀÎ,»ç¸ðÆÝµå
A068270,¼¿Æ®¸®¿Â,20220623,-262652,-45054,315311,100517,15772,63623,-2555,-45,123322,-7297,-308,14680
A068270,¼¿Æ®¸®¿Â,20220624,-745903,8257,748139,175563,33967,102209,-2620,-307,382867,-8503,-1990,56462
A068270,¼¿Æ®¸®¿Â,20220627,-223084,-13811,231397,-24249,28331,54946,479,821,143426,5742,-244,27643
A068270,¼¿Æ®¸®¿Â,20220628,-285769,15125,274216,-39182,39132,71355,672,-1408,183601,-2722,-852,20046
A068270,¼¿Æ®¸®¿Â,20220629,-98786,86906,12519,-31745,8054,8627,0,-71,48480,-567,-72,-20827
A068270,¼¿Æ®¸®¿Â,20220630,-275043,150242,123279,-70106,16963,74494,0,66,115859,1632,-109,-13999
A068270,¼¿Æ®¸®¿Â,20220701,-45618,11028,32724,-12095,14367,32739,-6,46,-3199,1939,-75,871
A068270,¼¿Æ®¸®¿Â,20220704,-109125,-19745,126698,41085,-767,7389,0,-172,78010,2463,-290,1154
A068270,¼¿Æ®¸®¿Â,20220705,-132899,35578,106482,7052,3553,20903,24,-101,44945,-8908,-254,30106
A068270,¼¿Æ®¸®¿Â,20220706,-383534,26288,366273,-13346,58190,68785,391,512,192801,-7629,-1398,58939
A068270,¼¿Æ®¸®¿Â,20220707,-60930,-64506,125664,17689,13792,25013,0,343,59817,-15,-213,9012
A068270,¼¿Æ®¸®¿Â,20220708,-4610,6249,-23195,-95142,23234,13327,-145,184,75034,21507,48,-39682
A068270,¼¿Æ®¸®¿Â,20220711,-159573,96802,64199,16790,11178,5863,134,-31,33106,-1271,-157,-2841
A068270,¼¿Æ®¸®¿Â,20220712,-215219,121436,96363,8035,18257,10976,134,629,73102,-2469,-111,-14770
A068270,¼¿Æ®¸®¿Â,20220713,-129859,33556,96531,49739,2951,7678,0,-5,45135,14,-242,-8965
A068270,¼¿Æ®¸®¿Â,20220714,-115927,37109,80119,41224,5804,-161,0,-296,58697,-496,-806,-25146
A068270,¼¿Æ®¸®¿Â,20220715,18857,47525,-89333,-59913,2308,-8892,0,0,20088,22112,841,-42926
A068270,¼¿Æ®¸®¿Â,20220718,57439,37391,-99941,-63100,-8936,-22189,-210,-293,230,5852,-742,-5444
A068270,¼¿Æ®¸®¿Â,20220719,-463,18899,-18200,-15547,419,1494,0,0,-3946,-291,54,-620
A068270,¼¿Æ®¸®¿Â,20220720,-21089,37180,-14994,-18172,-3115,-2560,0,36,741,-740,-356,8076
A068270,¼¿Æ®¸®¿Â,20220721,7930,54024,-63690,-21121,-4267,-23563,30,57,5028,1700,35,-19855
A068270,¼¿Æ®¸®¿Â,20220722,12191,35189,-73605,-29444,-4184,-31748,30,57,25962,26131,91,-34279
A068270,¼¿Æ®¸®¿Â,20220725,-114217,33763,79966,42574,1687,2817,0,633,26309,1036,-549,5946
A068270,¼¿Æ®¸®¿Â,20220726,-111452,22267,88998,37264,1326,8805,0,633,33242,801,-615,7727
A068270,¼¿Æ®¸®¿Â,20220727,-158697,79201,80929,35122,2100,-255,0,0,21100,-1062,-372,22861
A068270,¼¿Æ®¸®¿Â,20220728,-204140,72293,151056,80048,1561,-2985,0,42,39083,-19156,-54,33307
A068270,¼¿Æ®¸®¿Â,20220729,-33366,-28219,62381,35668,1071,2575,0,26,30557,-742,-55,-7516
A068270,¼¿Æ®¸®¿Â,20220801,72560,-50134,-23201,-28944,-262,-5644,0,28,23958,576,198,-12338
A068270,¼¿Æ®¸®¿Â,20220802,32824,-9158,-24594,-37917,-1936,4530,0,-128,28469,783,146,-17611
A068270,¼¿Æ®¸®¿Â,20220803,52056,-26734,-25248,-50652,4492,-4915,0,938,41173,143,-215,-16283
A068270,¼¿Æ®¸®¿Â,20220804,-110012,-538,110970,-9520,7403,8510,0,13,76175,441,-860,28389
A068270,¼¿Æ®¸®¿Â,20220805,-500314,160062,344362,48231,33919,38869,765,698,147987,-1734,-2377,73892
A068270,¼¿Æ®¸®¿Â,20220808,-240075,114638,127910,-43171,24568,32844,0,-231,91701,-1839,-635,22198
A068270,¼¿Æ®¸®¿Â,20220809,-556844,279533,275637,-77672,36798,92727,2257,-301,166537,4153,-2481,55288
A068270,¼¿Æ®¸®¿Â,20220810,-36139,37770,4647,-3200,-2119,3819,0,-4,19623,-5446,-832,-13471
A068270,¼¿Æ®¸®¿Â,20220811,-59793,27813,34390,40889,-13756,16276,0,-107,28913,-1748,-661,-37821
A068270,¼¿Æ®¸®¿Â,20220812,21422,-6788,-15292,1807,-1803,-375,-191,-143,-14324,968,-309,-264
A068270,¼¿Æ®¸®¿Â,20220816,-113757,83471,31026,13456,-16,3741,0,0,14700,-282,-457,-855
A068270,¼¿Æ®¸®¿Â,20220817,-155660,124245,33884,21652,-639,3628,0,-132,10610,-1256,-1213,-1234
A068270,¼¿Æ®¸®¿Â,20220818,175794,-84507,-91235,-45254,-7442,-21668,0,-446,2951,-602,551,-19376
A068270,¼¿Æ®¸®¿Â,20220819,198574,-71173,-125279,-45296,-8495,-25162,0,-446,-12503,-2960,838,-33376
A068270,¼¿Æ®¸®¿Â,20220822,-7673,5774,-56,-15112,1107,1800,0,-37,7593,1789,167,4591
A068270,¼¿Æ®¸®¿Â,20220823,-45127,27594,17816,26647,-159,-2133,0,-500,13980,-434,152,-20020
A068270,¼¿Æ®¸®¿Â,20220824,33208,-13631,-20498,-17118,425,-1299,0,5,7516,448,472,-10026
A068270,¼¿Æ®¸®¿Â,20220825,5148,-21365,16821,-3756,-149,-4168,0,-17,27401,-380,-226,-2489
A068270,¼¿Æ®¸®¿Â,20220826,142909,-72723,-72563,-17142,-3051,-24901,0,-265,-15991,-221,2598,-11214
A068270,¼¿Æ®¸®¿Â,20220829,-53909,112206,-57798,-19955,-2460,-3560,-308,395,-23525,50,-550,-8384
A068270,¼¿Æ®¸®¿Â,20220830,-21528,23587,-1252,-6234,2197,-1788,95,-1015,5460,172,-979,33
A068270,¼¿Æ®¸®¿Â,20220831,-6253,18430,-11303,-21785,4257,-4217,95,-500,11127,9,-884,-279
A068270,¼¿Æ®¸®¿Â,20220901,9284,19767,-30372,-45342,5306,-85,-20,0,13501,1239,83,-3733
A068270,¼¿Æ®¸®¿Â,20220902,36703,21342,-59047,-64188,3104,1446,-20,-1227,7482,867,136,-5645
A068270,¼¿Æ®¸®¿Â,20220905,-27983,63431,-34308,15065,998,-46,487,0,-2142,-790,-350,-48670
A068270,¼¿Æ®¸®¿Â,20220906,-46782,80640,-32435,11857,947,2629,712,0,2603,-844,-579,-51185
A068270,¼¿Æ®¸®¿Â,20220907,-21913,22720,2126,17295,-3284,-8201,416,-93,-2438,-3056,123,-1568
A068270,¼¿Æ®¸®¿Â,20220908,-37725,73298,-32182,18656,-1893,-45894,382,-93,-17591,-3569,177,14254
A068270,¼¿Æ®¸®¿Â,20220913,-32106,-3398,35664,59379,3133,3221,0,-2097,-27205,-938,777,-768
A068270,¼¿Æ®¸®¿Â,20220914,19928,-14435,-4242,14386,-726,-9125,0,-2392,-7876,-2224,973,1491
A068270,¼¿Æ®¸®¿Â,20220915,-19202,54328,-34672,-19665,646,-10708,0,0,-8258,-377,-78,3314
A068270,¼¿Æ®¸®¿Â,20220916,4693,95371,-101652,-26591,-2490,-16458,-18,70,-24348,1301,285,-31814
A068270,¼¿Æ®¸®¿Â,20220919,-50002,57157,-2927,14552,-534,1177,323,0,-16479,-4316,88,-1970
A068270,¼¿Æ®¸®¿Â,20220920,-117908,97794,24941,44403,1686,3757,323,0,-17762,-4426,-401,-7471
A068270,¼¿Æ®¸®¿Â,20220921,69307,-30433,-39536,-27070,-2482,-20335,0,0,4928,443,218,5423
A068270,¼¿Æ®¸®¿Â,20220922,15370,38163,-58148,-45794,-1316,-46866,1146,-974,14459,4192,421,21198
A068270,¼¿Æ®¸®¿Â,20220923,-59913,28328,31082,-5022,-2033,-18134,-34,-256,24813,488,15,31748
A068270,¼¿Æ®¸®¿Â,20220926,-87276,-11187,98210,95234,618,4735,355,-457,2779,520,-267,-5054
A068270,¼¿Æ®¸®¿Â,20220927,-72672,2903,69311,48640,6962,16191,415,303,-12741,-129,587,9539
A068270,¼¿Æ®¸®¿Â,20220928,-128586,35588,94002,53672,15178,41217,622,601,-16093,-1578,575,-1199
A068270,¼¿Æ®¸®¿Â,20220929,-120278,45502,74084,18369,2704,20436,242,333,12633,866,-175,19366
A068270,¼¿Æ®¸®¿Â,20220930,-219389,20713,200603,12322,7311,92961,74,333,25492,-1498,-431,62107
A068270,¼¿Æ®¸®¿Â,20221004,111961,-143114,29337,-12971,-4001,14393,-283,-114,6174,1708,108,26140
A068270,¼¿Æ®¸®¿Â,20221005,2378,21895,-23329,-68723,3391,8912,1138,3,43281,-612,-332,-11333
A068270,¼¿Æ®¸®¿Â,20221006,2943,93606,-96084,-71587,3320,-20433,1467,275,41749,-843,377,-50877
A068270,¼¿Æ®¸®¿Â,20221007,21385,18665,-40755,-17542,-2689,-18715,0,0,26623,1699,-993,-28431
A068270,¼¿Æ®¸®¿Â,20221011,-93505,81662,11567,-21501,3108,6649,0,0,30637,-50,326,-7326
A068270,¼¿Æ®¸®¿Â,20221012,-90712,116796,-26143,-60038,6424,3470,0,0,23491,-151,211,511
A068270,¼¿Æ®¸®¿Â,20221013,-66399,82248,-16517,-57147,6254,20324,72,101,30523,1060,-392,-16645
A068270,¼¿Æ®¸®¿Â,20221014,-244263,150348,92545,-21326,9571,55059,1375,295,54683,1870,-500,-7113
A068270,¼¿Æ®¸®¿Â,20221017,78047,-45465,-32899,-35213,4539,5999,269,0,-1813,161,157,-6681
A068270,¼¿Æ®¸®¿Â,20221018,-93588,18030,76170,10057,10881,16671,366,4,33556,-210,-401,4634
A068270,¼¿Æ®¸®¿Â,20221019,36533,-14268,-25365,-25124,2355,-1845,-224,-1,18641,183,2917,-19167
A068270,¼¿Æ®¸®¿Â,20221020,-25408,51209,-27428,-51743,6089,3124,-224,-119,33917,-736,2363,-18472
A068270,¼¿Æ®¸®¿Â,20221021,-90293,31456,60880,28065,11273,11598,-89,-40,7284,-91,-1950,2789
A068270,¼¿Æ®¸®¿Â,20221024,-55083,8942,53237,15014,9439,10053,141,345,8690,-2329,-4767,9553
A068270,¼¿Æ®¸®¿Â,20221025,-231073,51781,182073,18028,18812,44920,2253,-98,75354,-338,-2443,22803
A068270,¼¿Æ®¸®¿Â,20221026,-265687,5891,263527,-1136,34961,71578,2437,3946,112726,-566,-3164,39013
A068270,¼¿Æ®¸®¿Â,20221027,-138041,-20868,159936,56402,6263,9831,167,81,81331,-1027,1,5860
A068270,¼¿Æ®¸®¿Â,20221028,-157155,-32114,194063,104512,12093,5402,167,118,87281,-4117,-676,-15511
A068270,¼¿Æ®¸®¿Â,20221031,-47209,16144,36732,6795,5296,4853,48,-2,27301,-718,-4948,-7560
A068270,¼¿Æ®¸®¿Â,20221101,45189,-21313,-18603,17096,-163,-28089,38,-2,19155,-630,-4640,-26640
A068270,¼¿Æ®¸®¿Â,20221102,-66554,85991,-18625,-34309,2497,6993,0,35,26964,-929,117,-20805
A068270,¼¿Æ®¸®¿Â,20221103,-61214,140289,-74910,-110938,5341,6837,103,35,44824,-2702,-1463,-21111
A068270,¼¿Æ®¸®¿Â,20221104,41424,-12183,-29059,-2424,-2551,2785,-166,70,-25224,-199,17,-1551
A068270,¼¿Æ®¸®¿Â,20221107,22797,-17779,-5201,10065,-3583,-5523,0,28,-4213,36,148,-1975
A068270,¼¿Æ®¸®¿Â,20221108,-86641,18124,68235,73143,-1122,987,-156,0,7134,325,-44,-11751
A068270,¼¿Æ®¸®¿Â,20221109,-97417,5997,92468,107195,-6237,-3490,-156,-121,10606,-372,-678,-15327
A068270,¼¿Æ®¸®¿Â,20221110,-38274,-7362,45921,14567,1031,9566,-454,0,19257,-227,-59,1955
A068270,¼¿Æ®¸®¿Â,20221111,-193534,64421,133279,98615,6557,6764,-403,229,15857,-3756,-412,5660
A068270,¼¿Æ®¸®¿Â,20221114,218315,-152422,-65349,-18675,-7820,-18744,-348,1079,-14091,-2242,1697,-6750
A068270,¼¿Æ®¸®¿Â,20221115,122988,-46744,-73545,11439,-13411,-37313,-348,239,-21996,-4294,1595,-12155
A068270,¼¿Æ®¸®¿Â,20221116,303438,-232277,-72767,284,-14833,-19533,0,975,-29871,999,607,-9791
A068270,¼¿Æ®¸®¿Â,20221117,309172,-244763,-63738,8937,-16006,-12749,0,1008,-30034,-1059,388,-14896
A068270,¼¿Æ®¸®¿Â,20221118,-33750,37170,-4376,8591,-365,4493,552,150,-12588,369,586,-5208
A068270,¼¿Æ®¸®¿Â,20221121,-11460,12673,-1980,27958,-2120,-9432,692,27,-11749,837,-71,-7355
A068270,¼¿Æ®¸®¿Â,20221122,-36254,6565,29140,15677,1948,2101,66,-1083,9605,-58,608,826
A068270,¼¿Æ®¸®¿Â,20221123,37715,-16859,-21586,-435,-3333,-5598,33,-1197,-7152,-31,762,-3904
A068270,¼¿Æ®¸®¿Â,20221124,-67854,23129,45198,30665,5720,7884,160,29,-1621,-259,-215,2360
A068270,¼¿Æ®¸®¿Â,20221125,-51203,19321,32347,20111,9053,9458,160,29,-624,-148,-319,-5842
