종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A068760,셀트리온제약,20220623,-10214,-2492,13058,12470,-6,-292,0,-6,-499,-1,-350,1392
A068760,셀트리온제약,20220624,-79165,50325,28968,26421,214,1014,0,-6,-499,211,-337,1825
A068760,셀트리온제약,20220627,23605,-16718,-7492,-10894,0,-30,0,0,3462,648,-43,-29
A068760,셀트리온제약,20220628,44370,-29396,-15184,-14725,-3787,-30,0,0,3592,217,-8,-232
A068760,셀트리온제약,20220629,1897,13078,-14656,-12653,-1662,-140,0,0,0,-327,9,-201
A068760,셀트리온제약,20220630,-32818,49750,-16648,-19671,-1660,-3417,0,0,8052,-317,34,48
A068760,셀트리온제약,20220701,16952,-20322,3271,1628,29,-3565,0,0,3685,-12,113,1492
A068760,셀트리온제약,20220704,122,-4935,4779,2584,0,-134,0,0,2450,3,30,-122
A068760,셀트리온제약,20220705,-63341,48147,14894,10341,35,1209,0,-6,3238,96,204,78
A068760,셀트리온제약,20220706,-52111,25464,26453,783,35,1209,0,2766,20472,-335,529,1187
A068760,셀트리온제약,20220707,453,-13549,12641,3966,209,8372,0,0,0,464,-10,93
A068760,셀트리온제약,20220708,160223,-114011,-47158,682,-9107,-12043,0,0,-30634,912,32,3943
A068760,셀트리온제약,20220711,-9815,30500,-20085,-11937,0,-2453,0,0,0,-421,-178,-5694
A068760,셀트리온제약,20220712,5219,30110,-34493,-23916,29,-4753,0,0,0,-681,-155,-5851
A068760,셀트리온제약,20220713,-9053,-1016,10072,8286,0,1510,0,0,578,-4,3,-303
A068760,셀트리온제약,20220714,-4258,-394,4662,3029,48,1510,0,0,578,-14,6,-503
A068760,셀트리온제약,20220715,6700,-4247,-3044,-1279,-342,-272,0,0,-1049,540,51,-100
A068760,셀트리온제약,20220718,1257,-6527,5206,5005,0,-30,0,0,0,34,31,230
A068760,셀트리온제약,20220719,-9099,7652,1375,1231,0,10,0,0,0,11,61,134
A068760,셀트리온제약,20220720,-66127,63030,1276,2309,0,-1485,0,0,0,1749,73,453
A068760,셀트리온제약,20220721,11261,-10991,-2055,-1009,0,1,0,0,0,1800,-15,-1046
A068760,셀트리온제약,20220722,48847,-39031,-11830,-10615,0,1,0,0,0,2007,5,-1215
A068760,셀트리온제약,20220725,-43570,41239,2539,3839,-2,-1464,0,0,0,-75,-132,166
A068760,셀트리온제약,20220726,-20619,18607,1943,3176,-2,-1397,0,0,0,119,-50,166
A068760,셀트리온제약,20220727,-32904,29183,3358,3438,0,2,0,0,0,446,-83,-81
A068760,셀트리온제약,20220728,-35196,23987,12216,11223,0,2,0,0,0,-889,-119,992
A068760,셀트리온제약,20220729,14675,-16703,2485,3973,0,40,0,0,-845,-420,-37,-685
A068760,셀트리온제약,20220801,8572,-234,-8121,-7616,0,-44,0,0,0,-7,-209,-460
A068760,셀트리온제약,20220802,10200,-1989,-7826,-7717,0,-7,0,0,0,-403,17,-101
A068760,셀트리온제약,20220803,12308,-3403,-8653,-8055,0,-7,0,0,0,-398,145,-589
A068760,셀트리온제약,20220804,-10790,17527,-6160,-6194,0,0,0,0,314,-630,53,-281
A068760,셀트리온제약,20220805,-79407,70227,585,-3073,0,698,0,0,345,8754,-157,2615
A068760,셀트리온제약,20220808,15460,-12478,-2617,-404,0,714,0,0,2285,-1081,715,-5211
A068760,셀트리온제약,20220809,14684,-4411,-839,-879,0,1293,0,0,3520,-9468,33,-4774
A068760,셀트리온제약,20220810,12701,-8741,-3552,-3526,0,0,0,0,616,-172,-236,-642
A068760,셀트리온제약,20220811,-7771,-13226,22515,24891,0,-1949,0,0,2350,-1252,-267,-2778
A068760,셀트리온제약,20220812,7391,-7713,-302,602,0,-301,0,0,572,545,80,-1176
A068760,셀트리온제약,20220816,3955,4827,-8540,-8227,0,0,0,0,46,-623,381,-359
A068760,셀트리온제약,20220817,53977,-19286,-35085,-23035,0,-11800,0,0,46,-562,956,-296
A068760,셀트리온제약,20220818,33771,-21480,-12960,-5970,0,-2393,0,0,119,486,184,-4717
A068760,셀트리온제약,20220819,57872,-36315,-22339,-17342,0,-640,0,0,358,1182,-399,-4717
A068760,셀트리온제약,20220822,13471,-2641,-10988,-11263,0,0,0,0,239,163,-4,35
A068760,셀트리온제약,20220823,20534,-13171,-7422,-6991,-33,-750,0,0,478,155,-95,-127
A068760,셀트리온제약,20220824,18186,-26499,6322,1003,0,4995,0,0,481,1589,401,-157
A068760,셀트리온제약,20220825,757,-24376,21455,13562,0,4995,0,0,3912,1579,585,-1015
A068760,셀트리온제약,20220826,20761,-11562,-9394,-9282,0,-221,0,0,121,27,168,-12
A068760,셀트리온제약,20220829,23939,-6126,-18561,-16863,0,0,0,0,0,25,723,-1697
A068760,셀트리온제약,20220830,-16537,5745,10739,11432,0,-140,0,0,0,-40,92,-551
A068760,셀트리온제약,20220831,-14959,6788,8302,8181,2,625,0,0,31,-214,83,-536
A068760,셀트리온제약,20220901,26323,-1950,-24453,-24098,0,-16,0,0,31,57,23,-371
A068760,셀트리온제약,20220902,38823,-14504,-24872,-24537,0,-15,0,0,31,323,228,-352
A068760,셀트리온제약,20220905,-15230,6214,9874,11356,0,0,0,0,0,93,-953,-1481
A068760,셀트리온제약,20220906,-33248,5058,29026,24978,0,1,0,0,-250,93,-932,4299
A068760,셀트리온제약,20220907,8102,-3655,-5894,-6147,0,0,0,0,0,1548,-101,253
A068760,셀트리온제약,20220908,-19014,11567,5996,6662,-3,-325,0,0,0,1508,-54,-339
A068760,셀트리온제약,20220913,5837,-29991,24052,28987,-220,-802,0,0,-3937,285,-183,25
A068760,셀트리온제약,20220914,91238,-89374,-3888,2640,-1262,-478,0,0,-5496,2249,-225,709
A068760,셀트리온제약,20220915,-473,4368,-3939,-2484,0,-1529,0,0,0,74,-31,75
A068760,셀트리온제약,20220916,-14075,28906,-16224,-3170,0,-956,0,0,0,1139,253,-12097
A068760,셀트리온제약,20220919,3334,-11997,8390,13207,0,104,0,0,0,471,-198,-4922
A068760,셀트리온제약,20220920,-23887,1362,22451,26248,0,337,0,-41,0,471,-397,-4095
A068760,셀트리온제약,20220921,-5976,2931,3129,1156,0,675,0,-2,0,-115,29,1299
A068760,셀트리온제약,20220922,-17671,30592,-13075,-2040,-574,-2968,0,-2,-9803,65,87,2312
A068760,셀트리온제약,20220923,-8987,-7208,16105,13858,0,587,0,0,-89,73,18,1747
