종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A128940,한미약품,20220623,-12191,-6383,18900,6684,1501,4433,0,-33,5740,-352,26,575
A128940,한미약품,20220624,-19966,-2334,22567,9806,1893,5490,13,-67,4256,-299,33,1177
A128940,한미약품,20220627,4893,-1512,-3345,-2069,-1106,414,0,0,-134,2,-38,-449
A128940,한미약품,20220628,-3293,2380,1181,-2505,-1127,1122,0,0,4165,-224,-43,-472
A128940,한미약품,20220629,-1240,2512,-1273,-2341,169,529,0,0,753,0,1,-383
A128940,한미약품,20220630,-11753,6750,4974,-3337,676,1084,0,0,6647,36,-8,-97
A128940,한미약품,20220701,-951,1396,-125,2083,-415,429,-204,0,-2203,-360,40,185
A128940,한미약품,20220704,-2161,-729,2901,1944,149,-726,0,0,1473,7,-18,61
A128940,한미약품,20220705,-52025,26495,24856,716,4852,9343,-56,163,9742,889,-216,95
A128940,한미약품,20220706,-78429,35655,45182,392,8027,15899,102,1011,18791,131,-2540,957
A128940,한미약품,20220707,-17162,8065,9168,610,1424,2223,0,0,5099,-62,-12,-189
A128940,한미약품,20220708,-17424,12875,4616,-2529,1967,1627,-117,0,4195,-62,-8,-530
A128940,한미약품,20220711,-210,7064,-6733,784,163,-2120,0,0,-5716,-118,-3,155
A128940,한미약품,20220712,-2756,12579,-9828,-487,313,-3190,55,0,-6060,-7,11,-458
A128940,한미약품,20220713,-330,5045,-4704,908,-1249,2336,-61,229,-6511,-4,-6,-357
A128940,한미약품,20220714,14138,6865,-21467,-2747,-3808,-2796,-111,204,-11961,356,108,-247
A128940,한미약품,20220715,-4380,7812,-3444,-1261,1859,739,34,0,-4510,11,0,-304
A128940,한미약품,20220718,21030,-6406,-15001,-1616,1383,-6218,244,0,-9525,157,221,731
A128940,한미약품,20220719,-9819,15842,-6110,-1335,-2140,-1289,31,0,-1116,52,35,-263
A128940,한미약품,20220720,-15785,21532,-5874,-2603,-1650,-484,31,0,-831,75,51,-338
A128940,한미약품,20220721,2222,3547,-5764,-1614,-362,-1892,0,0,-1986,-26,20,90
A128940,한미약품,20220722,2875,3583,-6649,-1915,-415,-1950,0,0,-2396,86,103,25
A128940,한미약품,20220725,-3400,500,2802,1202,378,611,47,0,29,90,7,535
A128940,한미약품,20220726,-919,466,323,819,-2,151,47,0,-1184,90,38,492
A128940,한미약품,20220727,-1544,-1258,2504,1584,585,2111,0,4,-1963,258,37,184
A128940,한미약품,20220728,-744,-1233,1786,3127,372,570,0,8,-2766,152,36,477
A128940,한미약품,20220729,-545,82,468,1683,-469,-1606,0,4,691,-8,2,165
A128940,한미약품,20220801,4025,687,-4791,-447,-1546,-3923,0,0,681,102,-24,443
A128940,한미약품,20220802,1182,3551,-5049,-1501,-97,-1340,0,2,-2116,261,55,2
A128940,한미약품,20220803,2834,7567,-10780,-1872,1778,-2283,-84,2,-7625,321,58,-695
A128940,한미약품,20220804,3920,2730,-6709,-2209,-657,-2012,0,2,-2084,61,-2,251
A128940,한미약품,20220805,-25796,12689,13308,-1498,444,-683,0,5,14670,155,-356,370
A128940,한미약품,20220808,-6811,5044,1547,-1451,170,592,0,0,2270,-175,396,-34
A128940,한미약품,20220809,-13913,8236,5476,-1239,48,604,0,0,6075,-147,350,-13
A128940,한미약품,20220810,-670,1865,-1128,-1145,-33,31,0,-511,588,-67,0,-57
A128940,한미약품,20220811,2055,-1488,-399,1954,-1822,-1998,1386,-511,365,-168,1,227
A128940,한미약품,20220812,-8647,3897,4242,2345,-364,-51,0,0,2319,448,60,-8
A128940,한미약품,20220816,5532,-1583,-4224,-253,-493,46,0,0,-1523,234,40,-2000
A128940,한미약품,20220817,8259,-2094,-6572,33,-576,-1341,0,0,-2771,299,106,-1917
A128940,한미약품,20220818,1191,1633,-2862,-3489,78,-429,0,0,860,0,37,119
A128940,한미약품,20220819,1540,631,-2274,-3665,242,-338,0,0,1347,49,53,139
A128940,한미약품,20220822,207,597,-781,71,90,-103,0,0,-860,-89,65,20
A128940,한미약품,20220823,3595,4505,-8142,-128,-333,-896,-1527,0,-5330,-78,120,71
A128940,한미약품,20220824,-872,4631,-3792,-859,28,-564,0,1,-2329,31,3,-69
A128940,한미약품,20220825,-1356,6692,-5363,-705,-139,-719,0,-2,-3305,25,3,-492
