,keyword,sum
0,바이오,7405
1,직스,4194
2,성,4095
3,했다,2853
4,생산,2266
5,공장,2197
6,매출,1558
7,할,1267
8,글로벌,1126
9,의약품,1101
10,삼성,1083
11,해,1081
12,4,1078
13,영업,1029
14,기업,964
15,전,963
16,하는,924
17,기,918
18,수,907
19,이익,831
20,계약,819
21,미국,795
22,가동,787
23,위탁,774
24,올해,771
25,지난해,770
26,개발,765
27,투자,725
28,실적,713
29,규모,712
30,시장,697
31,시,697
32,증가,688
33,원,660
34,피스,658
35,위,626
36,기준,611
37,CDMO,611
38,대비,610
39,사업,592
40,1,586
41,성장,569
42,개,568
43,2,551
44,5,547
45,수주,534
46,증권,526
47,말,519
48,고객,513
49,밀러,502
50,3,501
51,항체,496
52,세계,495
53,총,492
54,전망,482
55,액,477
56,있는,460
57,지속,459
58,기록,459
59,지난,455
60,능력,444
61,된,438
62,약,438
63,제품,437
64,인천,434
65,체결,433
66,계획,431
67,통해,429
68,CMO,425
69,대표,424
70,주가,419
71,치료,418
72,제약,414
73,캠퍼스,402
74,송도,400
75,목표,399
76,회사,395
77,업계,392
78,된다,381
79,대한,381
80,될,377
81,예상,373
82,임,370
83,존림,370
84,밝혔다,367
85,ESG,367
86,최대,359
87,기술,353
88,설명,351
89,확보,348
90,확대,345
91,평가,344
92,연구원,342
93,다,338
94,중,331
95,했다고,328
96,진행,327
97,삼바,326
98,상승,325
99,연결,324
100,경영,323
101,기자,322
102,주,322
103,이어,318
104,예정,316
105,시설,313
106,추가,312
107,됐다,307
108,직원,303
109,현재,303
110,하며,301
111,위해,290
112,국내,289
113,시작,284
114,1조,284
115,달,283
116,내,277
117,셀트리온,272
118,경쟁력,272
119,제공,270
120,기간,270
121,사장,269
122,ℓ,269
123,산업,267
124,내년,265
125,최근,263
126,상반기,262
127,3분,257
128,이후,253
129,환율,253
130,건설,251
131,부분,249
132,ADC,248
133,한국,247
134,분야,247
135,대해,242
136,되는,240
137,행사,238
138,영향,237
139,약사,236
140,동기,236
141,사진,234
142,백신,232
143,특히,232
144,률,230
145,는,230
146,지,229
147,공,227
148,달러,224
149,한다,219
150,전략,218
151,대응,218
152,환경,217
153,출시,216
154,미라,216
155,반영,215
156,발표,215
157,관계자,214
158,관련,212
159,성과,211
160,같은,211
161,협력,211
162,있다고,210
163,SK,210
164,연,209
165,라며,208
166,세,208
167,중이,205
168,곳,205
169,따르면,204
170,파마,204
171,공시,202
172,한,202
173,분석,202
174,관리,202
175,날,199
176,구축,198
177,주요,196
178,림,194
179,고,194
180,수준,192
181,207940,190
182,1분,190
183,하반기,190
184,더,189
185,하기,189
186,유지,189
187,대,188
188,기존,185
189,빅,184
190,19,182
191,효과,182
192,센터,181
193,역량,181
194,10월,181
195,량,181
196,거래,179
197,완공,179
198,코로나,176
199,서울,175
200,존,174
201,본격,174
202,초,174
203,유럽,171
204,하락,170
205,때문,170
206,따른,169
207,신규,169
208,2분,166
209,가능한,166
210,전체,165
211,점,164
212,사회,164
213,건,163
214,경우,162
215,수요,161
216,이중,161
217,높은,160
218,안전,159
219,별도,159
220,달성,157
221,배출,157
222,4분,156
223,경,155
224,착공,155
225,대상,153
226,파트너,153
227,포트폴리오,153
228,서비스,151
229,경쟁,150
230,부문,150
231,허가,149
232,플랫폼,149
233,현지,148
234,활동,147
235,리터,146
236,11,144
237,안정,144
238,평균,142
239,큰,142
240,설비,142
241,격차,141
242,명,141
243,mRNA,141
244,의견,140
245,확장,140
246,올,139
247,돼,138
248,3조,138
249,인력,137
250,롯데,137
251,4월,136
252,설립,136
253,매수,136
254,다양한,135
255,개선,135
256,하면,135
257,부지,135
258,간,134
259,화이자,134
260,2020년,133
261,누적,133
262,4000,133
263,팀,132
264,뉴스,132
265,기관,132
266,향후,132
267,논의,132
268,오는,131
269,적극,131
270,해당,130
271,포함,130
272,6,130
273,데,129
274,연간,129
275,CDO,129
276,2021년,128
277,신약,128
278,개월,128
279,판매,127
280,증설,127
281,결과,127
282,후,127
283,차세대,127
284,금액,126
285,6월,126
286,보유,126
287,가운데,126
288,12,126
289,상황,125
290,가능성,125
291,승인,125
292,100,125
293,자회사,125
294,정보,124
295,공급,124
296,약물,124
297,되고,124
298,젠,124
299,2조,124
300,했고,124
301,상무,124
302,두,123
303,30,123
304,추진,123
305,사이언스,123
306,한편,121
307,7월,121
308,11일,121
309,7,121
310,처음,120
311,사와,120
312,인수,120
313,경제,119
314,신,119
