,단어,빈도
0,직스,2977
1,기업,2752
2,지수,2335
3,상승,0
4,포인트,2228
5,코스피,2190
6,하락,-1
7,시장,2045
8,전자,2039
9,미국,1954
10,기관,1921
11,투자,1917
12,거래,1895
13,생산,1806
14,외국인,1775
15,글로벌,1730
16,들,1722
17,종목,1700
18,대비,1556
19,제,1492
20,증권,1466
21,LG,1457
22,총,1411
23,한국,1389
24,매수,1368
25,코스닥,1366
26,산업,1345
27,SK,1285
28,사업,1271
29,개인,1260
30,반도체,1225
31,상위,1218
32,제약,1157
33,액,1140
34,날,1136
35,마감,1116
36,인천,1091
37,일,1089
38,의약품,1079
39,매도,1058
40,업종,1024
41,에코,1017
42,시,991
43,세계,976
44,공장,965
45,매출,961
46,2,924
47,화학,918
48,순,914
49,원,913
50,증시,890
51,규모,869
52,,842
53,시가,827
54,장,804
55,강세,0
56,영업,790
57,대표,788
58,전,780
59,성장,0
60,실적,737
61,기준,735
62,임,728
63,기록,727
64,상,726
65,ADC,725
66,치료,718
67,위,716
68,주가,705
69,연구원,702
70,출발,679
71,CDMO,678
72,회장,676
73,에너지,667
74,전망,662
75,엠,651
76,송도,646
77,하이닉스,642
78,세,637
79,사,632
80,위탁,631
81,현대차,626
82,달러,622
83,계획,622
84,분야,618
85,별,617
86,진행,616
87,증가,0
88,프로,611
89,확대,0
90,롯데,607
91,이익,0
92,솔루션,603
93,보합,602
94,주,591
95,에,584
96,직원,575
97,어치,569
98,전략,568
99,센터,564
100,기,560
101,계약,557
102,카카오,536
103,전일,532
104,어,523
105,최대,510
106,삼바,506
107,경제,500
108,약세,-1
109,스케,499
110,제품,493
111,헬,491
112,SDI,490
113,행사,490
114,예정,488
115,피스,485
116,기아,483
117,금융,483
118,협력,483
119,지원,478
120,자,476
121,설명,475
122,시작,475
123,프로비,470
124,회사,468
125,화,466
126,대,464
127,정부,446
128,에프,442
129,홀딩스,440
130,R,440
131,고객,435
132,전장,434
133,약사,433
134,사이언스,430
135,차,429
136,의료,427
137,업계,425
138,확보,0
139,1,422
140,약,418
141,예상,415
142,가동,413
143,주식,410
144,지속,407
145,엘앤,403
146,밀러,402
147,4,401
148,캠퍼스,398
149,CEO,394
150,클러스터,392
151,지,391
152,미래,388
153,참여,385
154,가능,384
155,회,384
156,시설,383
157,D,380
158,상승세,0
159,장비,376
160,선,376
161,항체,376
162,서울,374
163,수준,373
164,서비스,371
165,폭,366
166,경기,364
167,개,360
168,영향,359
169,현지,359
170,전기,356
171,개발,356
172,5,355
173,그룹,353
174,추가,352
175,명,352
176,지역,352
177,능력,351
178,인력,347
179,전지,346
180,경쟁력,342
181,구축,340
182,관계자,340
183,체결,337
184,기간,337
185,HLB,334
186,강화,333
187,금리,332
188,즈,331
189,전환,330
190,POSCO,329
191,도시,329
192,JYP,328
193,수주,327
194,오,326
195,가,325
196,육성,325
197,첨단,324
198,국가,323
199,최고,0
200,권,322
201,년,322
202,중심,321
203,소,319
204,운수,317
205,포스코,313
206,유가,312
207,게임,311
208,업체,311
209,중국,310
210,젠,309
211,마련,309
212,파트너,308
213,공정,308
214,평균,306
215,추진,305
216,건설,303
217,제공,301
218,현대,298
219,평가,298
220,투자자,298
221,USA,295
222,대상,294
223,3,292
224,해외,291
225,환율,290
226,유치,289
227,헬스,288
228,곳,287
229,어비스,284
230,,284
231,펄,283
232,연,281
233,세포,281
234,판매,280
235,부스,279
236,문화,278
237,유럽,276
238,백신,276
239,개선,274
240,경,272
241,매수세,270
242,운영,270
243,매,269
244,경쟁,269
245,정밀,267
246,라,266
247,제조,265
248,코로나,262
249,역량,261
250,설립,257
251,보스턴,256
252,대감,254
253,거래소,252
254,성공,248
255,주목,247
256,만큼,245
257,대학,244
258,경영,244
259,수출,243
260,핵심,243
261,상황,241
262,혁신,0
263,1조,239
264,심리,238
265,국제,238
266,금속,236
267,양성,234
268,아,234
269,활용,234
270,기계,233
271,포함,231
272,인재,231
273,시간,229
274,CMO,229
275,논의,227
276,NAVER,225
277,조성,225
278,강조,225
279,집중,224
280,초반,223
281,텍,222
282,연결,221
283,한,220
284,신약,219
285,약물,219
286,정책,217
287,AI,217
288,신규,217
289,십,216
290,네이버,215
291,비용,213
292,조사,213
293,보험,212
294,파마,212
295,준비,211
296,반영,211
297,공동,211
298,일본,210
299,기술,209
300,결과,209
301,플랫폼,209
302,지주,207
303,대응,207
304,수요,207
305,수익,207
306,뉴욕,206
307,신,206
308,출,206
309,ETF,205
310,리스,204
311,보유,203
312,참가,203
313,유지,202
314,시험,202
315,섬유,201
316,자리,200
317,협회,200
318,인상,200
319,중요,199
320,연방,198
321,공개,198
322,계,195
323,안전,195
324,사장,195
325,업,194
326,19,194
327,중,193
328,제도,193
329,부담,192
330,케어,191
331,확장,191
332,허가,190
333,부진,188
334,축제,188
335,철강,187
336,개최,187
337,화이자,187
338,시각,186
339,현장,185
340,빅,185
341,소재,185
342,방문,185
343,1억,185
344,은행,184
345,상반기,183
346,연속,183
347,개월,183
348,코스피지수,181
349,개장,181
350,위원회,181
351,강,180
352,관리,180
353,연구소,180
354,회복,180
355,방안,179
356,흐름,179
357,캠페인,179
358,가능성,178
359,자유,178
360,착공,178
361,우위,178
362,비금속,177
363,매물,177
364,종이,176
365,10,176
366,완공,176
367,디지털,176
368,가치,176
369,J,176
370,지난달,175
371,대통령,174
372,키,173
373,통신,172
374,공급,172
375,휴,172
376,공연,172
377,수급,171
378,미래에셋,171
379,다,171
380,인수,171
381,목재,170
382,회의,170
383,참석,170
384,조세,169
385,출시,169
386,스템,169
387,한미,169
388,코스닥시장,168
389,도약,168
390,교육,168
391,1년,168
392,부채,168
393,긍정,166
394,퓨처,166
395,전문,166
396,조정,166
397,역할,166
398,임플란트,166
399,전문가,165
400,협업,165
401,비,164
402,감소,164
403,모,164
404,S,163
405,보건,163
406,가격,163
407,구성,162
408,수거,162
409,혼,161
410,이재용,161
411,달,160
412,관심,160
413,활동,160
414,건설업,159
415,반등,159
416,동,159
417,펀드,159
418,효과,158
419,진출,158
420,물산,158
421,이노베이션,157
422,발전,157
423,전반,156
424,면역,156
425,나스닥,155
426,동기,155
427,오름세,0
428,장기,152
429,지표,152
430,브라질,152
431,시대,151
432,작용,151
433,업무,150
434,급등,0
435,크,150
436,내년,149
437,성과,149
438,하,149
439,A,149
440,발굴,149
441,링,149
442,한도,149
443,창고,148
444,본격,148
445,유통,148
446,대형주,148
447,상장,148
448,오스,148
449,결정,147
450,배,147
451,진입,147
452,물가,147
453,바이,146
454,역대,146
455,안정,146
456,기가스,145
457,환경,145
458,공사,145
459,차세대,145
460,의복,144
461,모습,143
462,제외,143
463,공,143
464,우리나라,143
465,합세,142
466,구,142
467,환자,142
468,메,142
469,설치,141
470,공시,141
471,돌파,141
472,FOMC,141
473,연봉,141
474,P,140
475,정보,140
476,점,140
477,한화,140
478,자금,140
479,분,140
480,기부,140
481,30,139
482,규제,139
483,질환,139
484,물량,139
485,광물,138
486,강보,138
487,인터내셔널,138
488,수,138
489,월드,138
490,부품,137
491,자동차,137
492,격차,137
493,3조,137
494,주제,137
495,연간,137
496,융합,137
497,비중,136
498,1,136
499,미팅,136
500,금감원,136
501,인,135
502,6,135
503,주도,135
504,컨벤션,135
505,소비자,134
506,서,134
507,초,133
508,음식,133
509,미,133
510,퍼레이드,133
511,협상,133
512,치,132
513,의장,131
514,도,131
515,증설,131
516,협약,129
517,차지,129
518,사진,128
519,확인,128
520,감독,128
521,비교,127
522,외인,127
523,대신,127
524,도세,127
525,위기,-1
526,경험,127
527,침체,-1
528,약품,125
529,8,124
530,부족,-1
531,설비,124
532,유전자,124
533,제한,124
534,비전,124
535,동반,123
536,낙폭,-1
537,법인,123
538,영,123
539,존림,123
540,9시,122
541,기기,122
542,500,122
543,방식,122
544,3년,122
545,종합,122
546,배터리,122
547,이사,122
548,025,121
549,앤드,121
550,우,121
551,률,121
552,기회,121
553,발생,120
554,의견,120
555,적극,120
556,종가,120
557,건강,120
558,둔화,120
559,서비스업,119
560,BMS,119
561,이경민,118
562,물질,118
563,인식,118
564,M,118
565,실현,117
566,생각,117
567,차익,117
