날짜,제목,내용
2022.06.29 09:50,"‘제약⋅바이오 가장 일하고 싶은 기업 1위’ 삼성바이오로직스, 임직원에 ‘감사의 푸드트럭’","27~30일 나흘동안 5000인분 간식 준비삼성바이오로직스는 27일(월)부터 30일(목)까지 임직원 사기진작을 위한 푸드트럭 행사를 진행한다. 삼성바이오로직스  바이오파크에 설치된 푸드트럭에 임직원들이 간식을 받아가고 있다./삼성바이오로직스 제공 삼성바이오로직스(207940)가 푸드트럭 이벤트로 임직원 사기 진작에 나섰다고 29일 밝혔다. 지난 27일부터 30일까지 나흘간 진행되는 이 행사에는 총 5000인분의 간식이 준비됐다. 점심시간뿐만 아니라, 24시간 교대로 근무하는 직원들을 위해 야간 시간대에도 푸드트럭을 추가 운영한다.삼성바이오로직스는 어려운 경영환경 속에서도 우수한 성과를 위해 노력해 주고 있는 임직원들에게 감사의 뜻을 전하는 취지에서 이번 이벤트를 기획했다고 한다. 삼성바이오로직스는 지난해 9월 모더나 백신 첫 배치 생산 기념을 시작으로 푸드트럭 이벤트를 해 왔다. 올해 4월에는 1분기 영업이익률 목표 달성을 기념해 푸드트럭 행사를 진행했다. 올해 하반기에도 이 같은 행사를  계획하고 있다.삼성바이오로직스는 역동적인 기업문화를 만들기 위한 다양한 프로그램을 운영 중이다. 신입사원이 경영진의 멘토가 되어 상호 경험을 공유하는 ‘리버스 멘토링(Reverse Mentoring)’ 프로그램이 대표적이다.이 프로그램을 통해 글램핑, 타로점보기 등 MZ세대의 문화생활을 함께 체험하며 세대간 벽을 허물고 공감대를 형성하고 있다는 것이 회사의 설명이다. 또 ‘임직원 공청회’를 통해 임직원들의 다양한 의견을 청취해, 회사 정책 수립 및 복지제도 개선에 반영하고 있다고 한다.삼성바이오로직스는 이달 잡코리아가 대학생 및 취업 준비생 1000여명을 대상으로 실시한 설문조사에서’바이오/제약/의료분야 가장 취업하고 싶은 기업 1위’로 꼽히는 등 ‘입사하고 싶은 회사’로 꼽히기도 했다.삼성바이오로직스 관계자는 “푸드트럭은 존림 대표이사의 아이디어”라며 “존림 대표는 평소 사내 구성원이 ‘원 팀’으로 상호존중하고, 활발하게 소통하는 조직문화가 중요하다고 강조해왔다”고 설명했다. 글로벌 정보마케팅센터 가르시아 코트니 프로는 “푸드트럭 행사는 다양한 국적의 임직원들이 자연스럽게 문화 교류를 할 수 있는 계기가 되는 것 같다”고 말했다."
2022.06.29 10:15,"삼성바이오로직스, '감사의 푸드트럭' 통해 임직원 격려","삼성바이오로직스가 '감사의 푸드트럭' 이벤트를 통한 임직원 사기 진작에 나섰다.지난 27일 11시, 인천 송도 삼성바이오로직스 본사 내 야외 휴식 정원 '바이오파크'에 푸드트럭 3대가 등장했다. 일명 '오·떡·순'이라고 불리는 오징어 튀김, 떡볶이, 순대가 넉넉히 담긴 3종 분식 세트가 가득 담긴 푸드트럭에는 ""Great Job! 수고했어!""라는 문구가 랩핑됐다. 점심시간이 되자 푸드트럭 앞에 모여든 삼성바이오로직스 임직원들은 제각각 모여 신나는 음악과 함께 분식을 만끽했다.삼성바이오로직스 측은 어려운 경영 환경 속에서도 우수한 성과를 위해 노력하고 있는 임직원들에게 감사의 뜻을 전하기 위해 이번 행사를 마련했다. 30일까지 나흘간 진행되는 이번 행사는 총 5000인분의 간식이 마련된다. 24시간 교대로 근무가 이뤄지는 특성을 고려해 점심시간뿐 아니라 야간시간에도 푸드트럭을 운영한다. 가르시아 코트니 글로벌정보마케팅센터 프로는 “팀원들과 함께 간식을 먹으며 즐거운 분위기에서 화합할 수 있어 좋았다”며 “다양한 국적의 임직원들이 자연스럽게 문화 교류를 할 수 있는 계기가 되는 것 같다”고 소감을 전했다.존 림 삼성바이오로직스 대표이 같은 푸드트럭 이벤트는 존 림 대표이사의 아이디어다. 모든 구성원이 '원 팀'으로 상호존중하고 활발하게 소통하는 조직 문화가 중요한 만큼 이를 위한 계기로 푸드트럭을 마련했다는 설명이다. 지난해 9월 '모더나 백신 첫 배치 생산 기념', 지난 4월 '1분기 영업이익률 목표 달성' 등을 맞아 닭강정, 햄버거, 핫도그 등 다양한 음식이 제공됐다. 오는 하반기에도 푸드트럭 이벤트를 이어갈 예정이다. 삼성바이오로직스는 이외에도 젊고 역동적인 기업문화를 만들기 위한 다양한 프로그램을 운영하고 있다. 지난해부터 진행하고 있는 ‘리버스 멘토링(Reverse Mentoring)’이 대표적이다. 리버스 멘토링은 신입사원이 경영진의 멘토가 돼 상호 경험을 공유하는 프로그램이다. 글램핑, RPG게임, 타로점보기, 인생네컷 촬영 등 MZ세대의 문화생활을 함께 체험하며 세대간 벽을 허물고 공감대를 형성하고 있다. 또 임직원 공청회를 통해 임직원들의 다양한 의견을 적극적으로 청취하고 회사 정책 수립 및 복지제도 개선에 반영하고 있다."
2022.06.29 10:44,"삼성바이오로직스, 임직원에 '감사 푸드트럭' 이벤트"," ['원팀' 강조 존림 대표 아이디어]삼성바이오로직스 푸드트럭 /사진=삼성바이오로직스삼성바이오로직스가 임직원들을 위한 푸드트럭 이벤트를 진행한다고 29일 밝혔다. 어려운 경영환경 속에서도 우수한 성과를 위해 노력하는 임직원들에 감사의 뜻을 전하기 위해서다. 이는 평소 구성원 원팀(One Team)을 강조한 존림 대표 아이디어에서 시작했다.  27일부터 30일까지 4일간 진행되는 이번 행사에는 총 5000인분의 간식이 준비됐다. 삼성바이오로직스는 점심시간뿐만 아니라 24시간 교대로 근무하는 직원들을 위해 야간 시간대에도 푸드트럭을 추가 운영할 예정이다. 글로벌정보마케팅센터 가르시아 코트니 프로는 ""팀원들과 함께 간식을 먹으며 즐거운 분위기에서 화합할 수 있어 좋았다""며 ""푸드트럭 행사는 다양한 국적의 임직원들이 자연스럽게 문화 교류를 할 수 있는 계기가 되는 것 같다""고 말했다.삼성바이오로직스의 푸드트럭 이벤트는 이번이 처음이 아니다. 작년 9월 모더나 백신 첫 배치 생산 기념, 올해 4월 1분기 영업이익률 목표 달성 기념 푸드트럭 이벤트를 진행했다. 올 하반기에도 임직원들의 다양한 의견을 반영해 푸드트럭 이벤트를 진행할 예정이다.한편 삼성바이오로직스는 역동적인 기업문화를 만들기 위해 '리버스 멘토링(Reverse Mentoring)', '임직원 공청회' 등 프로그램을 도입했다. 리버스 멘토링은 신입사원이 경영진의 멘토가 돼 상호 경험을 공유하는 프로그램이다. 글램핑, RPG게임, 타로점보기, 인생네컷 촬영 등 MZ세대의 문화생활을 함께 체험한다. "
2022.06.29 11:24,"삼성바이오로직스, 임직원에 ‘감사의 푸드트럭’",삼성바이오로직스가 푸드트럭 이벤트로 임직원 사기진작에 나섰다. 지난 27일부터 30일까지 진행되는 이 행사에는 총 5000인분의 간식이 준비됐다.삼성바이오로직스는 어려운 경영 환경 속에서도 우수한 성과를 위해 노력해 주고 있는 임직원들에게 감사의 뜻을 전하는 취지에서 이번 이벤트를 기획했다고 밝혔다. 삼성바이오로직스는 지난해부터 푸드트럭 이벤트를 통해 임직원들의 노고를 격려해왔다. 손인규 기자
2022.06.29 11:44,"삼성바이오로직스, '오·떡·순' 쏜다…임직원에게 감사의 푸드트럭 제공","존림 대표이사 아이디어로 시작…어려운 경영환경 속 임직원 노고 격려삼성바이오로직스 푸드트럭 이벤트에 참여하고 있는 임직원들(사진 제공 : 삼성바이오로직스). © 뉴스1(서울=뉴스1) 이영성 기자 = 삼성바이오로직스가 푸드트럭 이벤트로 임직원 사기 진작에 나섰다. 지난 27일부터 30일까지 4일간 진행되는 이 행사에는 오뎅·떡볶이·순대 세트 등 총 5000인분의 간식이 준비됐다. 점심시간뿐만 아니라 24시간 교대로 근무하는 직원들을 위해 야간 시간대에도 푸드트럭을 추가 운영한다.삼성바이오로직스는 29일 ""어려운 경영환경 속에서도 우수한 성과를 위해 노력하는 임직원들에게 감사의 뜻을 전하는 취지에서 이번 이벤트를 기획했다""고 밝혔다.  가르시아 코트니 글로벌정보마케팅센터 프로는 “팀원들과 함께 간식을 먹으며 즐거운 분위기에서 화합할 수 있어 좋았다”며 “푸드트럭 행사는 다양한 국적의 임직원들이 자연스럽게 문화 교류를 할 수 있는 계기가 되는 것 같다”고 말했다.삼성바이오로직스는 지난해부터 닭강정, 햄버거, 핫도그 등 다양한 음식을 제공하는 푸드트럭 이벤트를 진행해왔다. 지난해 9월에는 모더나 백신 첫 배치 생산 기념, 올해 4월에는 1분기 영업이익률 목표 달성 기념 푸드트럭 행사를 진행했다. 푸드트럭 이벤트는 존림 대표이사의 아이디어로 시작됐다. 존림 대표는 평소 삼성바이오로직스의 모든 구성원이 ‘원 팀(One Team)’으로서 상호존중하고, 활발하게 소통하는 조직문화가 중요하다고 강조해왔다. 삼성바이오로직스는 올 하반기에도 푸드트럭 이벤트를 진행할 예정이다.이외에도 삼성바이오로직스는 여러 프로그램을 통해 젊고 역동적인 기업문화를 만들기 위해 노력을 기울이고 있다. 지난해부터 진행하고 있는 ‘리버스 멘토링(Reverse Mentoring)’이 대표적이다. 리버스 멘토링은 신입사원이 경영진의 멘토가 되어 상호 경험을 공유하는 프로그램이다. 글램핑, RPG게임, 타로점보기, 인생네컷 촬영 등 MZ세대의 문화생활을 함께 체험하며 세대간 벽을 허물고 공감대를 형성하고 있다. 또 ‘임직원 공청회’를 통해 임직원들의 다양한 의견을 적극적으로 청취하고, 회사 정책 수립 및 복지제도 개선에 반영하고 있다. 삼성바이오로직스는 이달 잡코리아가 대학생 및 취업 준비생 1000여명을 대상으로 실시한 설문조사에서 ‘바이오/제약/의료분야' 가장 취업하고 싶은 기업 1위로 꼽혔다."
2022.06.29 12:42,"삼성바이오로직스, 임직원에 ‘감사의 푸드트럭’ 이벤트","존림 사장 아이디어삼성바이오로직스 푸드트럭 모습[회사 제공][헤럴드경제=손인규 기자]삼성바이오로직스가 푸드트럭 이벤트로 임직원 사기진작에 나섰다. 지난 27일부터 30일까지 진행되는 이 행사에는 총 5000인분의 간식이 준비됐다.삼성바이오로직스는 어려운 경영 환경 속에서도 우수한 성과를 위해 노력해 주고 있는 임직원들에게 감사의 뜻을 전하는 취지에서 이번 이벤트를 기획했다고 밝혔다.삼성바이오로직스는 지난해부터 푸드트럭 이벤트를 통해 임직원들의 노고를 격려해왔다. 지난해 9월에는 모더나 백신 첫 배치 생산 기념, 올해 4월에는 1분기 영업이익률 목표 달성 기념 푸드트럭 행사를 진행했다.푸드트럭 이벤트는 존림 대표이사의 아이디어로 시작됐다. 존림 사장은 평소 삼성바이오로직스의 모든 구성원이 ‘원 팀(One Team)’으로 상호존중하고, 활발하게 소통하는 조직문화가 중요하다고 강조하고 있다."
2022.06.29 15:53,"삼성바이오로직스, 임직원에 ‘감사의 푸드트럭’ 운영"," [이데일리 이광수 기자] 삼성바이오로직스(207940)는 임직원 사기진작을 위해 푸드트럭 이벤트를 진행했다고 29일 밝혔다. 지난 27일부터 오는 30일까지 나흘간 진행되는 이 행사에는 총 5000인분의 간식이 준비됐다. 점심시간뿐만 아니라, 24시간 교대로 근무하는 직원들을 위해 야간 시간대에도 푸드트럭을 추가 운영한다.글로벌정보마케팅센터 가르시아 코트니 프로는 “팀원들과 함께 간식을 먹으며 즐거운 분위기에서 화합할 수 있어 좋았다”며 “푸드트럭 행사는 다양한 국적의 임직원들이 자연스럽게 문화 교류를 할 수 있는 계기가 되는 것 같다”고 말했다.삼성바이오로직스는 지난해부터 푸드트럭 이벤트를 통해 임직원들의 노고를 격려해왔다. 지난해 9월에는 모더나 백신 첫 배치 생산 기념, 올해 4월에는 1분기 영업이익률 목표 달성 기념 푸드트럭 행사를 진행했다. 메뉴로는 닭강정, 햄버거, 핫도그 등 다양한 음식을 제공해 왔다.푸드트럭 이벤트는 존림 대표이사의 아이디어로 시작됐다. 존림 사장은 평소 삼성바이오로직스의 모든 구성원이 ‘원 팀(One Team)’으로서 상호존중하고, 활발하게 소통하는 조직문화가 중요하다고 강조해왔다.이외에도 삼성바이오로직스는 다양한 프로그램을 통해 젊고 역동적인 기업문화를 만들기 위해 노력을 기울이고 있다. 지난해부터 진행하고 있는 ‘리버스 멘토링(Reverse Mentoring)’이 대표적이다. 리버스 멘토링은 신입사원이 경영진의 멘토가 되어 상호 경험을 공유하는 프로그램이다. 글램핑, RPG게임, 타로점보기, 인생네컷 촬영 등 MZ세대의 문화생활을 함께 체험하며 세대간 벽을 허물고 공감대를 형성하고 있다."
2022.06.29 16:05,"삼성바이오로직스, 임직원에 ‘감사 푸드트럭’ 이벤트 진행","29일 삼성바이오로직스 송도 본사 바이오파크에서 열린 푸드트럭 행사에서 임직원들이 즐거운 시간을 보내고 있다 . 사진 제공=삼성바이오로직스[서울경제] 삼성바이오로직스(207940)가 ‘푸드트럭 이벤트’로 임직원 사기진작에 나섰다.삼성바이오로직스는 27일부터 30일까지 4일간 총 5000인분의 간식을 준비해 임직원들에게 다양한 음식을 제공한다고 29일 밝혔다. 점심시간뿐만 아니라 24시간 교대로 근무하는 직원들을 위해 야간 시간대에도 푸드트럭을 추가 운영한다.푸드트럭 이벤트는 존림 대표의 아이디어로 지난해 처음 시작한 이후 임직원들의 반응이 좋아 올해도 이어졌다. 회사 관계자는 “존림 사장은 평소 삼성바이오로직스의 모든 구성원이 ‘원 팀(One Team)’으로서 상호존중하고, 활발하게 소통하는 조직문화가 중요하다고 강조해왔다”며 “어려운 경영환경 속에서도 우수한 성과를 위해 노력하고 있는 임직원들에게 감사의 뜻을 전하는 취지에서 이 같은 이벤트를 기획했다”고 설명했다.앞서 삼성바이오로직스는 지난해 9월에는 모더나 백신 첫 배치 생산 기념, 올해 4월에는 1분기 영업이익률 목표 달성 기념 푸드트럭 행사를 열었다. 올 하반기에도 임직원들의 의견을 반영해 다양한 푸드트럭 이벤트를 진행할 예정이다."
2022.07.04 08:10,"삼성바이오로직스, 의약품 위탁생산 2768억 공급 계약"," [서울=뉴시스] 류병화 기자 = 삼성바이오로직스는 미국 제약기업 MSD(MSD International Business GmbH)와 2768억2938만원 규모의 의약품 위탁생산 공급계약을 체결했다고 4일 공시했다.계약금은 매출의 17.65% 규모다. 계약기간은 2028년 12월31일까지다.회사 측은 ""해당 계약은 지난해 9월29일에 공시된 '투자판단 관련 주요경영사항'에 대한 본 계약 체결 건""이라며 ""계약금액은 고객사의 수요증가에 따라 3억8186만 달러로 증가할 수 있다""고 전했다. "
2022.07.04 08:15,"삼성바이오로직스, MSD와 2768억원 위탁생산계약"," [이데일리 김유림 기자] 삼성바이오로직스(207940)는 MSD(MSD International Business GmbH)와 의약품 위탁생산계약을 체결했다고 4일 공시했다. 계약금액은 2768억원으로 이는 최근 매출액 대비 17.65% 규모다. 계약기간은 2022년 7월 1일부터 2028년 12월 31일이다. 상기 계약금액은 고객사의 수요증가에 따라 4942억원으로 증가할 수 있다. 이번 계약건은 지난해 9월 29일 공시된 ‘투자판단 관련 주요경영사항’에 대한 본계약 체결건이다. 앞서 삼성바이오로직스는 MSD 위탁생산계약 의향서를 체결했으며, 계약금액 491억원을 수령한다고 공시한 바 있다."
