辆格内靛,辆格疙,朝楼,俺牢,寇惫牢,扁包拌,陛蓝捧磊,焊氰,捧脚,篮青,扁鸥陛蓝,楷扁陛,扁鸥过牢,扁鸥寇牢,荤葛戚靛
A328130,风粗,20220721,439011,-138700,-182564,-53166,23494,-37755,0,-42250,19749,-119116,1369,-92636
A328130,风粗,20220722,157265,4816,-170501,-4707,-17357,-19898,0,-10605,-19429,5253,3167,-98505
A328130,风粗,20220725,4050,-1311,-1708,-1384,70,-2659,0,0,95,1132,-2163,2170
A328130,风粗,20220727,-13894,11661,-1711,-24499,11363,17145,0,0,6902,1042,2902,-12622
A328130,风粗,20220726,-27363,-1298,26495,0,12752,19248,0,0,0,2011,155,-5505
A328130,风粗,20220729,-44459,-201,52679,12307,0,1162,0,-19995,30096,-7315,-704,29109
A328130,风粗,20220728,-50034,4130,55817,11647,0,1442,0,-9999,21598,-9779,-134,31129
A328130,风粗,20220802,-69091,200092,-96072,-62784,-951,-3096,0,-62963,24653,-33989,-940,9069
A328130,风粗,20220801,64658,-779,-73082,-60052,0,0,0,-12495,0,9265,-62,-535
A328130,风粗,20220804,157419,-169077,11153,2338,-92,-7114,0,-7955,12265,1376,-871,11711
A328130,风粗,20220803,99422,-107329,7362,0,-92,804,0,-7955,12265,1031,-486,2340
A328130,风粗,20220805,22380,-16542,-5175,14102,505,4354,0,-153,2534,-1809,1146,-26517
A328130,风粗,20220808,-30730,9149,21138,10100,341,7527,0,0,2693,1229,-786,477
A328130,风粗,20220810,-9546,24510,-12200,-8500,0,6067,0,-153,2653,-1791,-973,-12267
A328130,风粗,20220809,21629,10155,-29811,-8000,0,2900,0,-153,1180,-1060,-913,-25738
A328130,风粗,20220812,16422,-19927,570,-13885,-38,-1220,-508,0,0,2372,563,16221
A328130,风粗,20220811,6642,-14480,5779,-853,-38,-1220,-508,0,0,1800,259,8398
A328130,风粗,20220816,-23879,6738,16425,0,0,-2,0,0,15800,198,518,627
A328130,风粗,20220818,-21980,19708,324,-6653,0,1434,0,0,5239,1912,36,304
A328130,风粗,20220817,-9621,21952,-14078,-8678,0,0,0,0,0,1902,-155,-5400
A328130,风粗,20220819,-61086,12121,48937,2445,0,2240,0,0,0,642,-614,44252
A328130,风粗,20220822,120951,-25023,-96246,-1658,-5503,-105547,0,0,0,-3740,4058,16462
A328130,风粗,20220824,-112010,43640,69776,4764,-2255,42314,0,0,8191,-3002,1596,16762
A328130,风粗,20220823,-34961,84,33837,2161,196,13411,0,0,3440,-29,1069,14629
A328130,风粗,20220826,6983,-22443,13682,-2976,111,-2939,0,0,7842,2241,-463,11644
A328130,风粗,20220825,14714,-17484,-219,-2457,75,-4667,0,0,-1012,3058,-69,7842
A328130,风粗,20220830,-8742,-5406,13210,3543,-122,10022,0,0,0,-1652,2590,-233
A328130,风粗,20220829,-5832,-4133,9018,2764,0,7290,0,0,0,-1654,2601,-1036
A328130,风粗,20220901,-35907,-272,36268,7558,451,15692,0,0,18533,0,-89,-5966
A328130,风粗,20220831,-23233,1266,22007,-195,451,22851,0,0,-336,0,-40,-764
A328130,风粗,20220902,2510,-10019,7340,998,1235,-1550,0,0,3651,0,169,3006
A328130,风粗,20220905,67884,-19247,-47552,-13709,1154,-19993,0,0,4322,-1393,308,-19326
A328130,风粗,20220907,14856,15633,-30549,-956,1035,-1683,0,0,4170,49,11,-33115
A328130,风粗,20220906,-8429,1915,6665,-757,405,4400,0,0,1820,26,-177,797
A328130,风粗,20220908,-16985,3935,13080,1577,0,18823,0,0,-697,1,-31,-6623
A328130,风粗,20220913,34954,-8601,-26406,-90,0,-18711,0,0,-775,1,52,-6830
A328130,风粗,20220915,39857,2773,-39425,-6372,0,-22136,0,0,0,-3782,577,-10917
A328130,风粗,20220914,23983,12057,-31749,-6237,0,-22086,0,0,0,-4881,590,-3426
A328130,风粗,20220916,81294,-8416,-70126,-19888,-2572,-22646,0,0,-12925,694,-3446,-12095
A328130,风粗,20220919,-6295,2945,5216,24,0,5598,0,0,0,-1383,-483,-406
A328130,风粗,20220921,-19073,19749,-550,24,0,-249,0,0,0,71,-197,-325
A328130,风粗,20220920,-10222,11561,-1212,26,0,-949,0,0,0,71,-198,-289
A328130,风粗,20220923,13113,2575,-7962,-296,0,-3038,0,0,0,-3814,-3912,-4628
