,단어,빈도
0,셀트리온,34141
1,바이오,32515
2,기업,16563
3,시장,14600
4,하락,-1
5,상승,0
6,거래,12149
7,제,11709
8,코스피,11663
9,미국,11595
10,투자,10706
11,적,10511
12,지수,9996
13,종목,9966
14,이,9873
15,주가,9524
16,포인트,9476
17,들,9239
18,치료,8971
19,외국인,8916
20,삼성,8859
21,성,8740
22,기관,8687
23,코로나,8677
24,증권,8537
25,대비,8409
26,총,8300
27,제약,8222
28,의약품,8120
29,시,8102
30,코스닥,7889
31,매수,7633
32,매출,7585
33,글로벌,7512
34,상,0
35,액,7416
36,19,7220
37,생산,7095
38,SK,7026
39,주식,6934
40,개인,6922
41,카카오,6664
42,한국,6526
43,전자,6524
44,날,6324
45,밀러,6286
46,어,6254
47,로,5890
48,기준,5880
49,스케,5876
50,삼,5837
51,기록,5833
52,헬,5801
53,일,5769
54,주,5715
55,규모,5666
56,매도,5533
57,직스,5401
58,성장,5372
59,백신,5337
60,증시,5315
61,업종,5287
62,LG,5176
63,회장,5140
64,임,5097
65,실적,5003
66,상위,0
67,산업,4899
68,허가,4896
69,그룹,4883
70,사업,4860
71,마감,4815
72,위,4500
73,증가,0
74,장,4370
75,회사,4347
76,순,4346
77,달러,4334
78,세,4332
79,제품,4209
80,전망,4138
81,기,4124
82,이익,4093
83,유럽,4074
84,주주,4054
85,대표,4044
86,-,4041
87,공급,3993
88,시마,3981
89,2,3970
90,전,3952
91,영업,3952
92,투자자,3950
93,확대,3899
94,시가,3899
95,연구원,3875
96,계약,3810
97,금융,3801
98,세계,3697
99,계획,3648
100,공매도,3635
101,항체,3548
102,3,3502
103,화학,3470
104,진행,3462
105,인천,3438
106,원,3425
107,1,3395
108,판매,3314
109,상장,3290
110,평가,3267
111,진단,3154
112,예상,3106
113,램,3056
114,지,3011
115,보유,2962
116,자,2945
117,영향,2925
118,P,2908
119,관계자,2894
120,&,2851
121,가능,2850
122,휴,2835
123,에코,2811
124,화,2809
125,확보,2794
126,최대,2786
127,강세,2759
128,하이닉스,2729
129,사,2727
130,예정,2721
131,결과,2646
132,업체,2643
133,명,2619
134,키트,2611
135,설명,2587
136,대,2581
137,반도체,2573
138,가,2565
139,개,2562
140,가치,2552
141,수준,2523
142,경영,2500
143,전일,2485
144,지속,2460
145,업계,2441
146,결정,2406
147,송도,2406
148,어치,2369
149,현대차,2347
150,기간,2319
151,오,2303
152,지원,2291
153,상황,2280
154,위원회,2259
155,정부,2256
156,비중,2256
157,1조,2251
158,게임,2246
159,엠,2242
160,시작,2234
161,자산,2234
162,경제,2227
163,약세,-1
164,별,2199
165,승인,0
166,CT,2175
167,년,2171
168,폭,2164
169,대상,2159
170,분야,2154
171,상승세,0
172,선,0
173,수익,0
174,개선,2135
175,출시,2124
176,최고,0
177,전략,2103
178,수출,2103
179,출발,2096
180,금리,2032
181,전환,2022
182,명예,0
183,젠,1977
184,평균,1975
185,거래소,1971
186,SDI,1946
187,분,1943
188,프로비,1928
189,플랫폼,1927
190,공장,1917
191,추가,1905
192,신,1865
193,보합,1840
194,중국,1832
195,품목,1825
196,네이버,1816
197,체결,1807
198,유,1798
199,사이언스,1768
200,내년,1762
201,강화,1761
202,감소,-1
203,라,1755
204,솔루션,1753
205,개발,1752
206,신약,1751
207,의료,1747
208,계,1737
209,해외,1734
210,회복,0
211,매입,1724
212,장비,1715
213,SC,1712
214,경,1681
215,유가,0
216,공시,1671
217,효과,0
218,렉,1658
219,만큼,1656
220,형,1648
221,추진,1647
222,위탁,1643
223,에너지,1642
224,회계,1636
225,자사,1630
226,합병,1627
227,약사,1625
228,현지,1618
229,조사,1613
230,나,1611
231,대감,1604
232,서비스,1603
233,즈,1602
234,급락,-1
235,공매,-1
236,가격,1593
237,센터,1592
238,현대,1591
239,중심,0
240,점유,1572
241,지난달,1569
242,가능성,0
243,반등,0
244,경쟁력,0
245,질환,1542
246,롯데,1536
247,연속,1533
248,마,1532
249,국가,1514
250,주목,0
251,소,1512
252,키로,1511
253,신청,1502
254,매,1501
255,급등,0
256,한,1489
257,수요,1483
258,FDA,1478
259,경기,1478
260,중,1475
261,심리,1474
262,달,1462
263,연,1457
264,미래에셋,1453
265,트,1452
266,플라이,1452
267,신규,1448
268,획득,1445
269,ADC,1440
270,NAVER,1434
271,에,1429
272,성공,0
273,매수세,1424
274,포함,1415
275,면역,1407
276,시설,1394
277,공동,1392
278,부진,1389
279,환자,1386
280,4,1384
281,사용,1383
282,집단,1383
283,확인,1379
284,규제,1370
285,약,1368
286,이사,1365
287,식품,1358
288,홀딩스,1351
289,집중,1351
290,차,1348
291,협력,0
292,소식,1344
293,낙폭,-1
294,차지,1328
295,뱅크,1326
296,안정,0
297,인수,1314
298,판단,1296
299,정책,1296
300,총수,1295
301,유지,1291
302,대금,1286
303,금액,1279
304,미,1279
305,제조,1276
306,개월,1269
307,지역,1266
308,증,1248
309,전지,1248
310,자금,1247
311,전문,1244
312,열사,1242
313,배당,1241
314,은행,1239
315,준비,1237
316,특허,1234
317,의장,1232
318,헬스,1231
319,조정,1223
320,진출,0
321,재개,0
322,기아,1218
323,국제,1208
324,어비스,1205
325,구축,1197
326,상반기,1190
327,펄,1184
328,처,1183
329,미래,1174
330,D,1174
331,환율,1170
332,R,1167
333,인상,0
334,행사,1158
335,건설,1156
336,성과,0
337,인,1149
338,에프,1147
339,물량,1146
340,그,1143
341,서울,1140
342,파트너,1136
343,권,1133
344,세포,1133
345,활용,1132
346,씨젠,1118
347,흐름,1116
348,5,1115
349,제도,1114
350,2조,1112
351,도,1107
352,집계,1104
353,참여,1103
354,반영,1100
355,점,1093
356,자체,1091
357,지정,1090
358,곳,1088
359,약물,1086
360,서정진,1086
361,자가,1085
362,회,1079
363,종가,1076
364,관심,1072
365,제외,1071
366,마시스,1071
367,유통,1067
368,프로,1066
369,물질,1064
370,저,1061
371,초반,1061
372,젤마,1059
373,본격,1058
374,창업,1058
375,율,1055
376,배,1054
377,의견,1053
378,베,1053
379,경쟁,1052
380,제공,1051
381,혁신,0
382,인력,1050
383,모습,1050
384,시간,1045
385,동기,1039
386,시험,1034
387,부담,-1
388,제한,-1
389,스타트업,1026
390,고,1023
391,바이러스,1019
392,한미,1016
393,공개,1011
394,뉴욕,1007
395,네,1006
396,항원,1002
397,관리,1001
398,전문가,1001
399,취득,998
400,자리,995
401,운수,994
402,업,994
403,금속,993
404,케어,990
405,긍정,0
406,정도,980
407,매매,977
408,신속,973
409,순위,972
410,10,972
411,공정,971
412,CJ,969
413,약품,968
414,펀드,967
415,CMO,956
416,발생,955
417,속도,952
418,환경,951
419,의,948
420,지주,945
421,전장,943
422,섬유,942
423,룩,942
424,철강,941
425,수급,941
426,비,940
427,정밀,932
428,법인,932
429,후보,931
430,리지,930
431,선정,929
432,이슈,923
433,유치,920
434,포스코,920
435,국산,919
436,전기,918
437,정보,915
438,비교,911
439,마련,910
440,당국,910
441,널,909
442,기술,905
443,파이프라인,904
444,재산,903
445,대응,901
446,부회장,901
447,달성,897
448,선물,896
449,S,894
450,허브,892
451,암,890
452,핵심,0
453,약국,882
454,mRNA,876
455,에이치엘비,876
456,보험,875
457,CDMO,871
458,작용,866
459,한화,865
460,물가,864
461,확산,861
462,장사,861
463,도시,856
464,나스닥,855
465,비용,854
466,USA,854
467,연방,852
468,이사회,850
469,A,850
470,비율,846
471,1%,846
472,설립,843
473,재,843
474,조성,836
475,검사,835
476,6,834
477,장기,834
478,엘앤,833
479,개장,832
480,진입,828
481,소재,823
482,상태,821
483,단계,819
484,변동,816
485,복,815
486,상대,814
487,감리,814
488,지표,813
489,증권사,812
490,강조,811
491,일본,809
492,ESG,808
493,여부,803
494,알테오,798
495,보고서,798
496,적용,796
497,기계,795
498,1년,795
499,출,794
500,돌파,793
501,항암제,792
502,아,790
503,우위,0
504,사상,790
505,스,789
506,안전,784
507,1만,784
508,도세,783
509,종이,781
510,변화,777
511,률,777
512,통신,775
513,심사,774
514,절차,772
515,역량,772
516,감사,772
517,장주,770
518,인플레이션,768
519,하루,766
520,의미,764
521,목재,759
522,에스,758
523,방송,758
524,바이,758
525,운영,758
526,위기,757
527,운송,756
528,소액,756
529,직원,755
530,가량,755
531,데이터,754
532,클러스터,749
533,능력,745
534,벤,744
535,개미,742
536,틴,739
537,자동차,738
538,유입,0
539,동반,735
540,현금,732
541,오름세,0
542,손실,-1
543,연결,731
544,다,730
545,더,730
546,시각,729
547,임원,724
548,추정,720
549,부,719
550,복귀,718
551,기회,718
552,자재,718
553,육성,717
554,팀,717
555,부품,714
556,제시,713
557,3조,713
558,서,712
559,중요,712
560,자회사,711
561,연구소,709
562,모,706
563,수,703
564,완화,702
565,머티리얼즈,697
566,구성,696
567,대형주,696
568,피스,695
569,풀이,691
570,KB,690
571,의복,688
572,청,685
573,회의,685
574,내부,682
575,주도,681
576,논의,681
577,전반,679
578,렉키,679
579,검토,677
580,주력,677
581,악재,675
582,부스,675
583,배터리,672
584,강,669
585,비금속,669
586,M,669
587,목표,669
588,인터넷,668
589,처방,663
590,디아,663
591,방식,661
592,텍,661
593,연내,656
594,고객,656
595,구조,653
596,원부,651
597,트러스트,645
598,허쥬마,643
599,사주,640
600,K,640
601,수익률,639
602,지적,637
603,이노베이션,634
604,선임,632
605,창고,629
606,동시,629
607,3월,628
608,동력,627
609,축소,-1
610,7,627
611,자유,625
612,확장,0
613,역대,622
614,수주,618
615,협회,615
616,ENM,615
617,ETF,615
618,요인,614
619,페이,614
620,연초,610
621,아바스,609
622,조세,608
623,최종,608
624,혼,604
625,유효,601
626,원대,598
627,씨,596
628,등락,-1
629,생각,595
630,성분,594
631,활동,594
632,긴축,594
633,노력,593
634,연간,591
635,금융투자,591
636,가동,591
637,테크,590
638,실제,590
639,포트폴리오,586
640,수혜,0
641,사장,586
642,개최,584
643,사실,583
644,제출,582
645,해소,0
646,아시아,581
647,위주,581
648,투여,581
649,우리나라,579
650,역할,579
651,변경,577
652,EMA,574
653,경구,574
654,이름,573
655,최선,572
656,코스닥시장,571
657,식약처,568
658,사례,568
659,디지털,568
660,긴급,-1
661,바탕,561
662,방안,561
663,대기업,561
664,사회,559
665,시가총액,558
666,교육,557
667,준,557
668,리스크,555
669,급증,0
670,요구,554
671,원료,553
672,고용,553
673,FOMC,553
674,논란,-1
675,건설업,551
676,양성,549
677,개국,549
678,항암,549
679,경신,547
680,지배,547
681,재고,547
682,소비자,547
683,분식,547
684,건강,546
685,제기,0
686,업무,544
687,코스피지수,543
688,그동안,543
689,위험,-1
690,둔화,-1
691,메,541
692,클럽,541
693,영국,541
694,9시,540
695,차세대,540
696,파마,536
697,방침,535
698,엔,535
699,호재,535
700,아이,534
701,상업,533
702,분기,532
703,키움,531
704,2년,531
705,조치,530
706,국,530
707,500,530
708,접종,530
709,누적,529
710,건,529
711,절반,528
712,사이,527
713,인프라,526
714,사진,525
715,신라,524
716,력,523
717,사태,522
718,연구개발,521
719,창,520
720,현장,517
721,시점,517
722,앤,517
723,광물,514
724,하향,-1
725,인들,504
