종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A068760,셀트리온제약,20220623,-10214,-2492,13058,12470,-6,-292,0,-6,-499,-1,-350,1392
A068760,셀트리온제약,20220624,-68951,52817,15910,13951,220,1306,0,0,0,212,13,433
A068760,셀트리온제약,20220627,23605,-16718,-7492,-10894,0,-30,0,0,3462,648,-43,-29
A068760,셀트리온제약,20220629,22662,400,-22348,-16484,-5449,-140,0,0,130,-758,44,-404
A068760,셀트리온제약,20220628,20765,-12678,-7692,-3831,-3787,0,0,0,130,-431,35,-203
A068760,셀트리온제약,20220701,-17763,16350,1279,-5390,31,-6842,0,0,11737,-2,138,1741
A068760,셀트리온제약,20220630,-34715,36672,-1992,-7018,2,-3277,0,0,8052,10,25,249
A068760,셀트리온제약,20220705,-63219,43212,19673,12925,35,1075,0,-6,5688,99,234,-44
A068760,셀트리온제약,20220704,122,-4935,4779,2584,0,-134,0,0,2450,3,30,-122
A068760,셀트리온제약,20220707,11683,-36232,24200,-5592,209,8372,0,2772,17234,33,315,1202
A068760,셀트리온제약,20220706,11230,-22683,11559,-9558,0,0,0,2772,17234,-431,325,1109
A068760,셀트리온제약,20220708,159770,-100462,-59799,-3284,-9316,-20415,0,0,-30634,448,42,3850
A068760,셀트리온제약,20220711,-9815,30500,-20085,-11937,0,-2453,0,0,0,-421,-178,-5694
A068760,셀트리온제약,20220713,5981,-1406,-4336,-3693,29,-790,0,0,578,-264,26,-460
A068760,셀트리온제약,20220712,15034,-390,-14408,-11979,29,-2300,0,0,0,-260,23,-157
A068760,셀트리온제약,20220715,11495,-3625,-8454,-6536,-294,-272,0,0,-1049,530,54,-300
A068760,셀트리온제약,20220714,4795,622,-5410,-5257,48,0,0,0,0,-10,3,-200
A068760,셀트리온제약,20220719,-7842,1125,6581,6236,0,-20,0,0,0,45,92,364
A068760,셀트리온제약,20220718,1257,-6527,5206,5005,0,-30,0,0,0,34,31,230
A068760,셀트리온제약,20220721,-45767,44387,-2154,69,0,-1494,0,0,0,3538,-3,-727
A068760,셀트리온제약,20220720,-57028,55378,-99,1078,0,-1495,0,0,0,1738,12,319
A068760,셀트리온제약,20220722,37586,-28040,-9775,-9606,0,0,0,0,0,207,20,-169
A068760,셀트리온제약,20220725,-43570,41239,2539,3839,-2,-1464,0,0,0,-75,-132,166
A068760,셀트리온제약,20220727,-9953,6551,2762,2775,0,69,0,0,0,640,-1,-81
A068760,셀트리온제약,20220726,22951,-22632,-596,-663,0,67,0,0,0,194,82,0
A068760,셀트리온제약,20220729,12383,-21899,11343,11758,0,40,0,0,-845,-1755,-73,388
A068760,셀트리온제약,20220728,-2292,-5196,8858,7785,0,0,0,0,0,-1335,-36,1073
A068760,셀트리온제약,20220802,18772,-2223,-15947,-15333,0,-51,0,0,0,-410,-192,-561
A068760,셀트리온제약,20220801,8572,-234,-8121,-7616,0,-44,0,0,0,-7,-209,-460
A068760,셀트리온제약,20220804,-8682,16113,-6987,-6532,0,0,0,0,314,-625,181,-769
A068760,셀트리온제약,20220803,2108,-1414,-827,-338,0,0,0,0,0,5,128,-488
A068760,셀트리온제약,20220805,-68617,52700,6745,3121,0,698,0,0,31,9384,-210,2896
A068760,셀트리온제약,20220808,15460,-12478,-2617,-404,0,714,0,0,2285,-1081,715,-5211
A068760,셀트리온제약,20220810,11925,-674,-1774,-4001,0,579,0,0,1851,-8559,-918,-205
A068760,셀트리온제약,20220809,-776,8067,1778,-475,0,579,0,0,1235,-8387,-682,437
A068760,셀트리온제약,20220812,-13081,-12198,25765,29019,0,-2250,0,0,2306,-535,49,-3312
A068760,셀트리온제약,20220811,-20472,-4485,26067,28417,0,-1949,0,0,1734,-1080,-31,-2136
A068760,셀트리온제약,20220816,3955,4827,-8540,-8227,0,0,0,0,46,-623,381,-359
A068760,셀트리온제약,20220818,83793,-45593,-39505,-20778,0,-14193,0,0,119,547,759,-4654
A068760,셀트리온제약,20220817,50022,-24113,-26545,-14808,0,-11800,0,0,0,61,575,63
A068760,셀트리온제약,20220819,24101,-14835,-9379,-11372,0,1753,0,0,239,696,-583,0
