종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A297090,씨에스베어링,20220623,-46056,40589,-870,-1313,0,0,0,0,0,4695,1642,443
A297090,씨에스베어링,20220622,-15850,15023,-826,-826,0,0,0,0,0,114,1539,0
A297090,씨에스베어링,20220624,-24353,30152,162,80,0,82,0,0,0,-4493,-1468,0
A297090,씨에스베어링,20220627,-65212,56093,7886,689,0,7197,0,0,0,-48,1281,0
A297090,씨에스베어링,20220629,361622,32095,-392134,-220440,1812,-17620,0,0,0,-4917,3334,-155886
A297090,씨에스베어링,20220628,-25126,-1100,26020,-215,1812,7163,0,0,0,-1199,1405,17260
A297090,씨에스베어링,20220701,70411,18575,-88363,-39200,0,-38404,0,0,0,40,-663,-10759
A297090,씨에스베어링,20220630,-21785,32248,-10832,-756,0,-10076,0,0,0,-122,491,0
A297090,씨에스베어링,20220705,59187,-50800,-7518,1744,0,-9262,0,0,0,-870,1,0
A297090,씨에스베어링,20220704,61352,-51079,-8233,1029,0,-9262,0,0,0,-934,-1106,0
A297090,씨에스베어링,20220707,-45731,55323,-19644,1892,0,-31759,0,0,0,11830,-1778,10223
A297090,씨에스베어링,20220706,-66628,80477,-12299,573,0,-5425,0,0,0,-1907,357,-7447
A297090,씨에스베어링,20220708,478115,-121358,-335282,-283026,0,-43996,0,-785,0,-21167,-308,-7475
A297090,씨에스베어링,20220711,-37763,45538,-7094,-4588,0,-6,0,0,0,9,-690,-2500
A297090,씨에스베어링,20220713,134570,-78113,-54481,6607,0,-117056,0,0,0,-3458,1482,55968
A297090,씨에스베어링,20220712,136811,-17516,-116977,1309,0,-117051,0,0,0,-4249,1931,-1235
A297090,씨에스베어링,20220715,42502,-4928,-36712,-20278,-7734,-10558,0,0,0,532,-1394,1858
A297090,씨에스베어링,20220714,25556,-8355,-13466,-19683,0,9128,0,0,0,-1799,-1936,-2911
A297090,씨에스베어링,20220719,-116794,35125,74395,29464,5891,17618,0,0,0,3123,4151,21422
