Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ,¿Ü±¹ÀÎ,±â°ü°è,±ÝÀ¶ÅõÀÚ,º¸Çè,Åõ½Å,ÀºÇà,±âÅ¸±ÝÀ¶,¿¬±â±Ý,±âÅ¸¹ýÀÎ,±âÅ¸¿ÜÀÎ,»ç¸ðÆÝµå
A313760,Àª¸µ½º,20220623,-34796,37345,0,0,0,0,0,0,0,-2549,0,0
A313760,Àª¸µ½º,20220622,-14139,15862,0,0,0,0,0,0,0,-1723,0,0
A313760,Àª¸µ½º,20220624,-20606,17739,3017,0,0,0,0,0,0,-150,0,3017
A313760,Àª¸µ½º,20220627,904,-904,0,0,0,0,0,0,0,0,0,0
A313760,Àª¸µ½º,20220629,16532,-14721,0,0,0,0,0,0,0,-1964,153,0
A313760,Àª¸µ½º,20220628,-4868,4842,0,0,0,0,0,0,0,36,-10,0
A313760,Àª¸µ½º,20220701,8282,-9163,544,0,0,544,0,0,0,187,150,0
A313760,Àª¸µ½º,20220630,19083,-18735,0,0,0,0,0,0,0,-533,185,0
A313760,Àª¸µ½º,20220705,-23322,13943,9456,10000,0,-544,0,0,0,5,-82,0
A313760,Àª¸µ½º,20220704,-12665,7715,4940,5000,0,-60,0,0,0,10,0,0
A313760,Àª¸µ½º,20220707,-13347,2509,10000,10000,0,0,0,0,0,0,838,0
A313760,Àª¸µ½º,20220706,6210,-6052,9,9,0,0,0,0,0,0,-167,0
A313760,Àª¸µ½º,20220708,-15307,11306,5000,5000,0,0,0,0,0,-999,0,0
A313760,Àª¸µ½º,20220711,12016,-12011,0,0,0,0,0,0,0,-5,0,0
A313760,Àª¸µ½º,20220713,12975,-12580,0,0,0,0,0,0,0,-500,105,0
A313760,Àª¸µ½º,20220712,9756,-9808,0,0,0,0,0,0,0,2,50,0
A313760,Àª¸µ½º,20220715,7105,-12120,5000,5000,0,0,0,0,0,0,15,0
A313760,Àª¸µ½º,20220714,1298,-1315,0,0,0,0,0,0,0,2,15,0
A313760,Àª¸µ½º,20220719,122,78,0,0,0,0,0,0,0,-155,-45,0
A313760,Àª¸µ½º,20220718,4065,-3865,0,0,0,0,0,0,0,-155,-45,0
A313760,Àª¸µ½º,20220721,-6588,5793,0,0,0,0,0,0,0,-5,800,0
A313760,Àª¸µ½º,20220720,-4187,4187,0,0,0,0,0,0,0,0,0,0
A313760,Àª¸µ½º,20220722,4230,-4305,0,0,0,0,0,0,0,140,-65,0
A313760,Àª¸µ½º,20220725,-2738,2712,0,0,0,0,0,0,0,21,5,0
A313760,Àª¸µ½º,20220727,-469,-174,638,0,0,638,0,0,0,0,5,0
A313760,Àª¸µ½º,20220726,-444,437,0,0,0,0,0,0,0,2,5,0
A313760,Àª¸µ½º,20220729,17860,-17806,-638,0,0,-638,0,0,0,-121,705,0
A313760,Àª¸µ½º,20220728,652,-138,-391,0,0,-391,0,0,0,-123,0,0
A313760,Àª¸µ½º,20220802,-9258,6449,2793,0,0,2793,0,0,0,16,0,0
A313760,Àª¸µ½º,20220801,-39278,36296,1682,0,0,1682,0,0,0,1300,0,0
A313760,Àª¸µ½º,20220804,4838,-3380,-1469,0,0,-1469,0,0,0,1,10,0
A313760,Àª¸µ½º,20220803,3745,-2811,-919,0,0,-919,0,0,0,-15,0,0
A313760,Àª¸µ½º,20220805,1176,-633,-543,0,0,-543,0,0,0,0,0,0
A313760,Àª¸µ½º,20220808,-5315,6121,-781,0,0,-781,0,0,0,0,-25,0
