¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,∞≥¿Œ,ø‹±π¿Œ,±‚∞¸∞Ë,±›¿∂≈ı¿⁄,∫∏«Ë,≈ıΩ≈,¿∫«‡,±‚≈∏±›¿∂,ø¨±‚±›,±‚≈∏π˝¿Œ,±‚≈∏ø‹¿Œ,ªÁ∏∆›µÂ
A018000,¿Ø¥œΩº,20220623,-250640,248772,-3873,-1622,0,0,0,0,0,4109,1632,-2251
A018000,¿Ø¥œΩº,20220622,102241,-98473,-4082,-1831,0,0,0,0,0,75,239,-2251
A018000,¿Ø¥œΩº,20220624,-15263,16287,-644,-644,0,0,0,0,0,7,-387,0
A018000,¿Ø¥œΩº,20220627,-7147,6505,-438,-438,0,0,0,0,0,0,1080,0
A018000,¿Ø¥œΩº,20220629,346092,-347149,5550,9000,0,1557,0,0,0,-107,-4386,-5007
A018000,¿Ø¥œΩº,20220628,230994,-230926,-3264,186,0,1557,0,0,0,6616,-3420,-5007
A018000,¿Ø¥œΩº,20220701,140797,-139835,-4857,-4857,0,0,0,0,0,-5113,9008,0
A018000,¿Ø¥œΩº,20220630,71370,-78312,-1208,-1208,0,0,0,0,0,0,8150,0
A018000,¿Ø¥œΩº,20220705,-93377,99430,-138,-798,0,660,0,0,0,-2950,-2965,0
A018000,¿Ø¥œΩº,20220704,-7517,12502,-1254,-1254,0,0,0,0,0,-3000,-731,0
A018000,¿Ø¥œΩº,20220707,49440,-54663,2348,2348,0,0,0,0,0,50,2825,0
A018000,¿Ø¥œΩº,20220706,69396,-75093,2704,2704,0,0,0,0,0,50,2943,0
A018000,¿Ø¥œΩº,20220708,-572,-1557,444,444,0,0,0,0,0,0,1685,0
A018000,¿Ø¥œΩº,20220711,18256,-26210,7664,165,0,7499,0,0,0,0,290,0
A018000,¿Ø¥œΩº,20220713,-34467,17780,21511,11,0,21500,0,0,0,2167,-6991,0
A018000,¿Ø¥œΩº,20220712,-33584,28375,7336,-164,0,7500,0,0,0,2267,-4394,0
A018000,¿Ø¥œΩº,20220715,-20965,2764,18632,2132,0,16500,0,0,0,0,-431,0
A018000,¿Ø¥œΩº,20220714,-27594,21700,5895,-105,0,6000,0,0,0,0,-1,0
A018000,¿Ø¥œΩº,20220719,-115080,46909,67959,1421,0,66538,0,0,0,0,212,0
A018000,¿Ø¥œΩº,20220718,-96946,27628,69118,80,0,69038,0,0,0,0,200,0
A018000,¿Ø¥œΩº,20220721,14770,-7017,-5873,-873,0,-5000,0,0,0,0,-1880,0
A018000,¿Ø¥œΩº,20220720,-3175,4015,650,650,0,0,0,0,0,0,-1490,0
A018000,¿Ø¥œΩº,20220722,45294,-44451,-880,-880,0,0,0,0,0,0,37,0
A018000,¿Ø¥œΩº,20220725,12254,-12216,-36,-36,0,0,0,0,0,0,-2,0
A018000,¿Ø¥œΩº,20220727,-3422,285,111,111,0,0,0,0,0,3000,26,0
A018000,¿Ø¥œΩº,20220726,10388,-10415,1,1,0,0,0,0,0,0,26,0
