辆格内靛,辆格疙,朝楼,俺牢,寇惫牢,扁包拌,陛蓝捧磊,焊氰,捧脚,篮青,扁鸥陛蓝,楷扁陛,扁鸥过牢,扁鸥寇牢,荤葛戚靛
A094820,老柳颇况,20220623,195505,-161737,-3337,-1792,0,0,0,0,0,-32001,1570,-1545
A094820,老柳颇况,20220622,38839,-38597,-946,-1,0,0,0,0,0,807,-103,-945
A094820,老柳颇况,20220624,-140731,140591,1275,271,0,0,0,0,0,0,-1135,1004
A094820,老柳颇况,20220627,-98589,74399,21758,2,0,21756,0,0,0,2794,-362,0
A094820,老柳颇况,20220629,97817,-88648,-6162,10452,0,-13199,0,0,0,-1594,-1413,-3415
A094820,老柳颇况,20220628,94619,-86979,-4610,4612,0,-5807,0,0,0,-1510,-1520,-3415
A094820,老柳颇况,20220701,76505,-68555,-7180,1377,0,-8557,0,0,0,-1000,230,0
A094820,老柳颇况,20220630,101494,-94244,-7556,1001,0,-8557,0,0,0,-1000,1306,0
A094820,老柳颇况,20220705,-81664,76996,80,80,0,0,0,0,0,4611,-23,0
A094820,老柳颇况,20220704,-34024,28060,-693,-693,0,0,0,0,0,4711,1946,0
A094820,老柳颇况,20220707,-21057,17122,2803,1314,0,1489,0,0,0,1195,-63,0
A094820,老柳颇况,20220706,75887,-76370,486,486,0,0,0,0,0,111,-114,0
A094820,老柳颇况,20220708,1546,-6242,308,308,0,0,0,0,0,3948,440,0
A094820,老柳颇况,20220711,-23171,24446,-1881,-392,0,-1489,0,0,0,612,-6,0
A094820,老柳颇况,20220713,143547,-142675,-299,-299,0,0,0,0,0,-547,-26,0
A094820,老柳颇况,20220712,44159,-43926,-295,-295,0,0,0,0,0,20,42,0
A094820,老柳颇况,20220715,-10085,11022,131,131,0,0,0,0,0,-1077,9,0
A094820,老柳颇况,20220714,-14151,14372,-33,-33,0,0,0,0,0,-159,-29,0
A094820,老柳颇况,20220719,-69976,68395,-487,-487,0,0,0,0,0,2000,68,0
A094820,老柳颇况,20220718,-70826,71179,-421,-421,0,0,0,0,0,0,68,0
A094820,老柳颇况,20220721,12225,-18239,72,72,0,0,0,0,0,5844,98,0
A094820,老柳颇况,20220720,1171,-1059,32,32,0,0,0,0,0,-164,20,0
A094820,老柳颇况,20220722,-37596,34905,127,127,0,0,0,0,0,2500,64,0
A094820,老柳颇况,20220725,835,-921,-58,-58,0,0,0,0,0,0,144,0
A094820,老柳颇况,20220727,84711,-81105,466,466,0,0,0,0,0,-4634,562,0
A094820,老柳颇况,20220726,48532,-46565,138,138,0,0,0,0,0,-4407,2302,0
A094820,老柳颇况,20220729,146636,-149886,-421,-421,0,0,0,0,0,3817,-146,0
A094820,老柳颇况,20220728,29868,-38867,-95,-95,0,0,0,0,0,9194,-100,0
A094820,老柳颇况,20220802,31932,-38497,4868,3391,0,425,0,0,0,665,1032,1052
A094820,老柳颇况,20220801,18216,-21130,4510,3765,0,293,0,0,0,-1406,-190,452
A094820,老柳颇况,20220804,-12957,7676,75,-13,0,11,0,0,0,6225,-1019,77
A094820,老柳颇况,20220803,-11362,10951,132,44,0,11,0,0,0,1125,-846,77
A094820,老柳颇况,20220805,-11104,8248,4803,4803,0,0,0,0,0,-1602,-345,0
A094820,老柳颇况,20220808,4040,-1386,-2338,-661,0,-281,0,0,0,-836,520,-1396
A094820,老柳颇况,20220810,9995,-14054,4311,269,0,1676,0,0,0,-152,-100,2366
A094820,老柳颇况,20220809,-5299,7007,-300,-300,0,0,0,0,0,-1885,477,0
A094820,老柳颇况,20220812,-59772,33863,5209,2168,0,3371,0,0,0,17219,3481,-330
A094820,老柳颇况,20220811,-40346,26384,-1022,984,0,-1676,0,0,0,13619,1365,-330
A094820,老柳颇况,20220816,34990,-34665,-3415,419,0,-4621,0,0,0,5223,-2133,787
A094820,老柳颇况,20220818,-1628,14510,-9233,-8469,0,-255,0,0,0,-3244,-405,-509
