辆格内靛,辆格疙,朝楼,俺牢,寇惫牢,扁包拌,陛蓝捧磊,焊氰,捧脚,篮青,扁鸥陛蓝,楷扁陛,扁鸥过牢,扁鸥寇牢,荤葛戚靛
A003070,内坷氛臂肺国,20220623,-11213,-5235,16123,1294,995,3905,0,0,8535,308,15,1390
A003070,内坷氛臂肺国,20220622,-5344,-5902,11021,21,431,3903,0,0,5302,209,15,1361
A003070,内坷氛臂肺国,20220624,-21737,11536,10408,113,198,32,54,0,9991,-206,0,18
A003070,内坷氛臂肺国,20220627,-5511,-6035,11703,-61,1484,-124,0,0,5074,-156,0,5328
A003070,内坷氛臂肺国,20220629,16140,-25141,8953,-44,839,6555,0,0,1066,49,0,536
A003070,内坷氛臂肺国,20220628,3963,-5740,1806,-38,0,140,0,0,1173,-29,0,531
A003070,内坷氛臂肺国,20220701,-7693,-1385,8975,701,119,6274,0,0,1837,60,41,43
A003070,内坷氛臂肺国,20220630,-6927,-1364,8280,91,0,6274,0,0,1870,10,0,43
A003070,内坷氛臂肺国,20220705,-827,-1100,1834,8,-1648,4404,0,0,-608,26,65,-322
A003070,内坷氛臂肺国,20220704,-648,-3597,4163,-9,716,4404,0,0,-608,78,3,-340
A003070,内坷氛臂肺国,20220707,4164,-2938,-1253,24,-1095,389,0,0,-623,25,0,52
A003070,内坷氛臂肺国,20220706,2705,-2796,80,17,0,63,0,0,0,10,0,0
A003070,内坷氛臂肺国,20220708,785,-355,180,53,121,-47,0,0,0,-610,0,52
A003070,内坷氛臂肺国,20220711,-526,1319,-816,23,-857,0,0,0,0,26,-3,17
A003070,内坷氛臂肺国,20220713,5553,-4916,-1556,-15,-1565,0,0,0,0,104,816,25
A003070,内坷氛臂肺国,20220712,3995,-4121,22,-9,-3,0,0,0,0,104,0,34
A003070,内坷氛臂肺国,20220715,7703,-2148,-4745,83,18,-4846,0,0,0,26,-836,0
A003070,内坷氛臂肺国,20220714,93,730,39,21,18,0,0,0,0,-26,-836,0
A003070,内坷氛臂肺国,20220719,-1494,4580,-4243,-60,0,-4182,0,0,0,1222,-62,-1
A003070,内坷氛臂肺国,20220718,55,4269,-4240,-29,0,-4210,0,0,0,-52,-31,-1
A003070,内坷氛臂肺国,20220721,277488,-14322,-255883,-10748,-77194,-157615,975,2385,-102948,-8568,1284,89263
A003070,内坷氛臂肺国,20220720,12323,1157,-11893,0,-108,-530,0,0,-11255,-1588,0,0
A003070,内坷氛臂肺国,20220722,56663,-8665,-49543,6238,7507,4191,0,0,-22349,1307,238,-45131
A003070,内坷氛臂肺国,20220725,-12251,3607,7521,3696,18,1262,0,0,2581,1203,-81,-35
A003070,内坷氛臂肺国,20220727,-10696,-1613,11092,5253,764,-1136,0,0,21692,627,590,-15485
A003070,内坷氛臂肺国,20220726,-8645,-363,7781,5360,546,288,0,0,17183,653,574,-15598
A003070,内坷氛臂肺国,20220729,-37271,6334,31161,11633,762,21307,0,0,-2575,-11,-214,32
A003070,内坷氛臂肺国,20220728,-2892,-2436,7438,3499,84,0,0,0,3837,-1734,-376,16
A003070,内坷氛臂肺国,20220802,21526,-6594,-11209,6125,-454,-5518,0,0,-7061,-1903,-1817,-4301
A003070,内坷氛臂肺国,20220801,18326,-5926,-8961,2932,129,-625,0,0,-7061,-1616,-1821,-4335
A003070,内坷氛臂肺国,20220804,51552,-11725,-39852,1607,75,-1557,0,0,-26916,53,-30,-13058
A003070,内坷氛臂肺国,20220803,30082,-17193,-13203,537,-82,-1078,0,0,0,312,0,-12579
A003070,内坷氛臂肺国,20220805,21862,1585,-23734,-9252,-1904,-4348,0,0,-8228,285,1,0
A003070,内坷氛臂肺国,20220808,-991,6939,-5949,-4403,-482,-1641,0,0,584,1,0,-6
A003070,内坷氛臂肺国,20220810,36360,7354,-43123,743,-772,-6508,0,0,-35573,-599,7,-1010
A003070,内坷氛臂肺国,20220809,28456,533,-28396,631,-714,-4515,0,0,-23762,-599,5,-34
A003070,内坷氛臂肺国,20220812,8731,4453,-13576,971,-2128,0,0,0,-12376,366,26,-42
A003070,内坷氛臂肺国,20220811,8648,-2624,-6468,1010,0,0,0,0,-7478,418,26,0
A003070,内坷氛臂肺国,20220816,8554,-311,-7827,2,-277,-6077,0,0,-1519,-417,2,45
A003070,内坷氛臂肺国,20220818,25875,-7354,-18543,-6934,-1411,-6282,0,0,-1038,78,-55,-2875
A003070,内坷氛臂肺国,20220817,17692,-5311,-12383,-6926,-803,-1777,0,0,0,52,-49,-2875
A003070,内坷氛臂肺国,20220819,-7926,-2324,10485,-1269,-353,0,0,0,12108,-235,0,0
A003070,内坷氛臂肺国,20220822,13829,-1123,-12741,-187,-78,-982,0,0,-11434,25,10,-59
A003070,内坷氛臂肺国,20220824,37532,15159,-52794,943,-8062,-15498,0,0,-30156,78,25,-17
A003070,内坷氛臂肺国,20220823,20901,3252,-24228,-95,-3790,-7515,0,0,-12809,52,23,-17
A003070,内坷氛臂肺国,20220826,-2515,611,1798,-4437,-221,0,0,0,6565,105,0,-107
A003070,内坷氛臂肺国,20220825,-5526,-2146,7541,-5,-110,0,0,0,7765,131,0,-107
A003070,内坷氛臂肺国,20220830,22957,8327,-31107,1732,-284,-449,0,0,-32080,-127,-52,-24
A003070,内坷氛臂肺国,20220829,12324,8013,-20142,1797,-278,-403,0,0,-21239,-144,-52,-17
A003070,内坷氛臂肺国,20220901,15897,-4001,-13025,1075,0,0,0,0,-14099,1128,0,0
A003070,内坷氛臂肺国,20220831,2525,641,-3127,516,0,0,0,0,-3643,-40,0,0
A003070,内坷氛臂肺国,20220902,7820,-1470,-6237,-258,565,1673,0,0,-8209,-128,14,-8
A003070,内坷氛臂肺国,20220905,-17408,9503,8010,-257,0,653,0,0,6878,-103,0,735
A003070,内坷氛臂肺国,20220907,90773,-58278,-32328,-11302,-4645,-19015,0,0,9842,-1904,1738,-7206
A003070,内坷氛臂肺国,20220906,70748,-29700,-40586,-14801,-1931,-19015,0,0,2563,-2165,1702,-7400
A003070,内坷氛臂肺国,20220908,16733,-19135,2105,3381,-566,-841,0,0,43,297,0,89
A003070,内坷氛臂肺国,20220913,-5688,7693,-1701,1787,0,0,0,0,21,0,-304,-3509
A003070,内坷氛臂肺国,20220915,-4610,-3739,8480,4310,-240,4151,0,0,21,-131,0,237
A003070,内坷氛臂肺国,20220914,6461,-7867,1354,1452,-249,0,0,0,0,52,0,152
A003070,内坷氛臂肺国,20220916,6159,-6816,1540,1156,263,0,0,0,21,-151,-732,99
A003070,内坷氛臂肺国,20220919,4826,-7811,2958,2901,-67,0,0,0,0,26,0,125
A003070,内坷氛臂肺国,20220921,-13117,5111,8034,2738,8,-6,0,0,0,-26,-1,5294
A003070,内坷氛臂肺国,20220920,-8774,2232,6570,1255,8,-1,0,0,0,-26,-1,5307
A003070,内坷氛臂肺国,20220923,1212,772,-1844,-2544,693,0,0,0,-7,-140,0,12
A003070,内坷氛臂肺国,20220922,-1015,-229,1182,513,693,0,0,0,-7,52,10,-18
A003070,内坷氛臂肺国,20220927,1611,-956,-1325,-1686,847,3566,0,0,86,666,3,-4141
A003070,内坷氛臂肺国,20220926,6097,-3764,-2950,-1668,627,2188,0,0,43,614,3,-4141
A003070,内坷氛臂肺国,20220929,14032,-4795,-9343,-175,1269,11312,0,0,-19497,104,1,-2250
A003070,内坷氛臂肺国,20220928,13375,7967,-21420,85,-1424,-638,0,0,-19497,78,0,57
A003070,内坷氛臂肺国,20220930,5655,-338,-5292,-428,627,643,0,0,0,-26,0,-6134
A003070,内坷氛臂肺国,20221005,17379,220,-18858,3655,1079,3967,0,0,-27690,1278,-20,129
A003070,内坷氛臂肺国,20221004,-12130,4097,6883,766,664,3403,0,0,1953,1174,-24,95
A003070,内坷氛臂肺国,20221007,-838,3368,-2421,34,424,-44,0,0,-2925,-27,-82,91
A003070,内坷氛臂肺国,20221006,-1877,1945,-16,112,424,0,0,0,-659,-53,1,107
A003070,内坷氛臂肺国,20221011,6611,-266,-7313,410,-2327,-171,0,-927,-4279,131,837,-17
A003070,内坷氛臂肺国,20221013,-1113,15303,-14318,1968,231,-7484,0,0,-9326,129,1,291
A003070,内坷氛臂肺国,20221012,10029,8453,-18506,1012,8,-8536,0,0,-11042,25,0,52
