date,title,link,content
None,None,https://sports.news.naver.com/news.nhn?oid=005&aid=0001619712,[]
None,None,https://sports.news.naver.com/news.nhn?oid=030&aid=0003111211,[]
2023.06.28. 오후 8:23,"
			대신증권 “스튜디오드래곤 횡령금액, 실적 영향 줄 정도 아냐”
		",https://n.news.naver.com/mnews/article/144/0000896554?sid=106,"[
 
스튜디오드래곤 로고대신증권은 28일 최근 사내 횡령 사고가 스튜디오드래곤의 펀더멘털(기업 기초체력)에 미치는 영향이 제한적일 것으로 평가했다.지난 27일 코스닥시장에서 스튜디오드래곤의 종가는 전날보다 5.89% 내린 5만 4300원이었다. 장 초반에는 5만 1500원까지 내려가며 52주 신저가를 기록하기도 했다.대신증권 김회재 연구원은 “사내 횡령 사고 소식과 대표이사 사임이 주가 하락의 직접적인 원인”이라고 분석했다. 또 “최근 CJ CGV가 대규모 유상증자를 결정하면서 콘텐츠 역량 강화 계획을 밝히자, 시장에서는 이를 CJ ENM-스튜디오드래곤과의 ‘제살깎기’ 경쟁으로 비치며 투자심리가 악화한 것도 간접적인 원인”으로 분석했다.횡령 이슈와 관련 “회사 시스템 부재라는 지적을 받아야 맞지만, 횡령 금액이 실적에 큰 영향을 줄 정도가 아닌 것으로 추정된다”며 “주변 상황에 따른 주가 급락이었던 만큼 주가는 빠르게 회복될 것”으로 관측했다. 김영규 공동대표 사임에 대해선 “원래 임기가 올해 9월까지로 3개월 조기 퇴임한 성격이 강하고, 공동대표인 경영 부문 대표가 총괄대표로서 회사 경영을 맡는 만큼 경영 공백은 없을 것”이라고 예상했다.김회재 연구원은 “스튜디오드래곤은 디즈니+와 콘텐츠 협업을 공식화한 상태고, 올해 넷플릭스와 디즈니+, 아마존 등에 동시 방영하는 콘텐츠가 11편 이상으로 기존의 연간 8편에서 확대됐다”며 “콘텐츠 본업의 전망이 양호하다”고 봤다. 김 연구원은 스튜디오드래곤 회사 투자 의견 ‘매수’와 목표주가 11만원을 유지했다.손봉석 기자 paulsohn@kyunghyang.com
			]"
2023.06.21. 오전 9:50,"
			김민준 ""GD, 16개월 조카에 세상 하나 뿐인 신발 선물...증권 같은 것"" ('돌싱포맨')
		",https://n.news.naver.com/mnews/article/076/0004022183?sid=106,"[
 
[스포츠조선닷컴 정안지 기자] 결혼 5년차인 김민준이 아내 권다미와 러브 스토리를 공개했다.SBS '신발 벗고 돌싱포맨'이 5주 연속 화요 예능 선두자리를 고수하며 화제성과 웃음을 동시에 잡았다.시청률 조사 기관인 닐슨 코리아에 따르면, 20일 방송된 '신발 벗고 돌싱포맨'은 2049 타깃 시청률에서 1.6%로 화요 예능 1위를 차지했다. 이는 지난 5월 23일 9시대로 시간대 이동한 후 5주 연속 1위를 기록한 것. 수도권 가구 시청률도 5.1%로 화요 예능 1위를 차지했으며, 분당 최고 시청률은 8.4%까지 치솟았다.이날은 절친인 배우 김민준과 개그맨 허경환이 출연해 웃음 사냥에 나섰다. 특히, 결혼 5년차인 김민준은 아내 권다미와 러브 스토리부터 아내에게 고가의 선물을 사준 플렉스 일화까지 속시원하게 풀어내 눈길을 끌었다.먼저 이상민이 ""아내를 소개팅에서 만났냐""고 말을 꺼내자 김민준은 ""소개받기 전에 우연히 길에서 마주친 것이 처음이다""라고 밝혔다. 김민준은 ""친구 집에 바이크를 타고 갔다가 내리는데, 하얀색 스포츠카가 빠른 속도로 내 앞에서 섰다""고 했다. ""'뭐지?' 하고 쳐다봤는데, 순간 스포츠카를 타고 있던 여자가 굉장히 터프하고 멋있는 여자라고 생각했다""며 아내와 첫 만남을 떠올렸다. ""친한 친구의 옆집이 아내의 친한 친구 집이었다""며 서로 친구를 만나러 갔을 때 우연히 만났다고 전했다. 이에 모두 ""타이밍이 기가 막히다""며 두 사람의 운명 같은 만남에 놀라워했다.이어 김민준은 두세 번째 만남에 아내에게 밑반찬을 받았는데, 그 이후로 결혼까지 부드럽게 흘러갔다고 전해 눈길을 끌었다. 그는 아내가 직접 만든 진미채, 반찬의 힘이 대단했다며, ""너무 딱딱하지 않은 식감에 마요네즈가 한 겹 발라져 있었다. 순간 평생 먹을 수 있겠다 싶었다""고 털어놨다.김민준은 16개월차 아들 이든이에 대해 ""말로 표현할 수 없이 신비롭다""며 자신을 닮은 모습에 ""정말 신기한 게 순간순간 저를 되돌아보게 한다""고 전했다. GD도 조카를 예뻐해서 세상에 하나밖에 없는 신발을 만들어줬다고. 이에 김민준은 ""아들아, 이 신발은 나중에 컸을 때 증권 같은 거다""고 말했다고 전해 웃음을 안겼다.또한 돈을 가장 많이 써본 적이 언제인지 묻자 김민준은 ""2~3년 전 아내 선물을 샀을 때""라면서 ""아내가 구슬을 꿴 장식품을 사고 싶다길래 당장 사러 갔는데, 장소가 누구나 아는 유명한 갤러리였다""고 했다. 구슬이라고 해서 저렴할 거라고 예상했지만 영롱한 빛이 나는 고가의 작품이었다며 직감적으로 이건 카드 한도 초과일 것 같아서 바로 ""계좌이체 하겠습니다""라고 외쳤다고 고백했다. 구슬 선물 플렉스 일화에 이상민은 ""그래서 지금 드라마 하는 거냐?""고 말해 폭소를 자아냈다.
]"
2023.06.21. 오전 9:22,"
			지드래곤, 조카에 세상에 하나뿐인 신발 선물...김민준 ""증권 같은 거"" ('돌싱포맨')
		",https://n.news.naver.com/mnews/article/213/0001259558?sid=106,"[
 
 
 
배우 김민준이 지드래곤(GD)와의 일화를 공개했다. 21일 시청률 조사 회사 닐슨 코리아에 따르면 전날 방영된 SBS '신발 벗고 돌싱포맨'은 2049 타깃 시청률에서 1.6%로 화요 예능 1위를 차지, 5주 연속 1위를 기록했다. 수도권 가구 시청률도 5.1%로 화요 예능 1위를 차지했으며, 분당 최고 시청률은 8.4%까지 치솟았다.이날은 연예계 절친인 김민준과 허경환이 출연했다. 특히 결혼 5년 차인 김민준은 아내 권다미와 러브 스토리를 가감 없이 풀어내 이목을 집중시켰다.김민준은 아내와의 첫 만남에 대해 ""소개받기 전에 우연히 길에서 마주친 것이 처음이다""라며 ""친구 집에 바이크를 타고 갔다가 내리는데, 하얀색 스포츠카가 빠른 속도로 내 앞에서 섰다""고 밝혔다. 이어 ""'뭐지?' 하고 쳐다봤는데, 순간 스포츠카를 타고 있던 여자가 굉장히 터프하고 멋있는 여자라고 생각했다""며 회상했다. 김민준은 ""친한 친구의 옆집이 아내의 친한 친구 집이었다""며 서로 친구를 만나러 갔을 때 우연히 만났다고 설명했다. 이에 모두 ""타이밍이 기가 막히다""며 두 사람의 운명 같은 만남에 놀라워했다.또한 김민준은 두세 번째 만남에 아내에게 밑반찬을 받았는데, 그 이후로 결혼까지 부드럽게 흘러갔다고 전했다. 아내가 직접 만든 진미채, 반찬의 힘이 대단했다며, ""너무 딱딱하지 않은 식감에 마요네즈가 한 겹 발라져 있었다. 순간 평생 먹을 수 있겠다 싶었다""고 고백했다.16개월 차 아들 이든이에 대해서는 ""말로 표현할 수 =없이 신비롭다""며, 자신을 닮은 모습에 ""정말 신기한 게 순간순간 저를 되돌아보게 한다""고 소회를 전했다. GD도 조카를 예뻐해서 세상에 하나밖에 없는 신발을 만들어줬고, 이에 김민준은 ""아들아, 이 신발은 나중에 컸을 때 증권 같은 거다""고 말했다고 전해 폭소를 일으켰다. 한편, SBS '신발 벗고 돌싱포맨'은 매주 화요일 오후 9시에 공개된다. 이수연 기자 tndus11029@naver.com  / 사진= TV리포트 DB, SBS '신발 벗고 돌싱포맨'
]"
2023.06.21. 오전 9:00,"
			[POP리뷰]GD, 조카에 세상 하나뿐 신발 선물..김민준 ""증권 같은 거""(돌싱포맨)
		",https://n.news.naver.com/mnews/article/112/0003638005?sid=106,"[
 
[헤럴드POP=이미지 기자] ‘신발 벗고 돌싱포맨’ 김민준이 처남 GD의 특별한 선물을 언급했다.21일 시청률 조사 기관인 닐슨 코리아에 따르면 전일 방송된 SBS 예능 프로그램 ‘신발 벗고 돌싱포맨’은 2049 타깃 시청률에서 1.6%로 화요 예능 1위를 차지했다. 이는 지난 5월 23일 9시대로 시간대 이동한 후 5주 연속 1위를 기록한 것. 수도권 가구 시청률도 5.1%로 화요 예능 1위를 차지했으며, 분당 최고 시청률은 8.4%까지 치솟았다.이날은 절친인 배우 김민준과 개그맨 허경환이 출연했다. 특히 결혼 5년차인 김민준은 아내 권다미와 러브스토리부터 아내에게 고가의 선물을 사준 플렉스 일화까지 속시원하게 풀어내 눈길을 끌었다.먼저 이상민이 “아내를 소개팅에서 만났냐”라고 말을 꺼내자 김민준은 “소개받기 전에 우연히 길에서 마주친 것이 처음이다”라고 밝혔다. 김민준은 “친구 집에 바이크를 타고 갔다가 내리는데, 하얀색 스포츠카가 빠른 속도로 내 앞에서 섰다”고 회상했다. “뭐지? 하고 쳐다봤는데, 순간 스포츠카를 타고 있던 여자가 굉장히 터프하고 멋있는 여자라고 생각했다”며 아내와 첫 만남을 떠올렸다. “친한 친구의 옆집이 아내의 친한 친구 집이었다”며 서로 친구를 만나러 갔을 때 우연히 만났다고 전했다. 이에 모두 “타이밍이 기가 막히다”며 두 사람의 운명같은 만남에 놀라워했다.이어 김민준은 두, 세 번째 만남에 아내에게 밑반찬을 받았는데, 그 이후로 결혼까지 부드럽게 흘러갔다고 알려 눈길을 끌었다. 그는 아내가 직접 만든 진미채, 반찬의 힘이 대단했다며, “너무 딱딱하지 않은 식감에 마요네즈가 한 겹 발라져 있었다. 순간 평생 먹을 수 있겠다 싶었다”고 털어놨다.김민준은 16개월차 아들 이든이에 대해 “말로 표현할 수 없이 신비롭다”며 “정말 신기한 게 순간순간 저를 되돌아보게 한다”고 애정을 뽐냈다. GD도 조카를 예뻐해서 세상에 하나밖에 없는 신발을 만들어줬다고. 이에 김민준은 “아들아, 이 신발은 나중에 컸을 때 증권 같은 거다”고 강조해 웃음을 안겼다.또한 돈을 가장 많이 써본 적이 언제인지 묻자 김민준은 “2~3년 전 아내 선물을 샀을 때”라면서 “아내가 구슬을 꿴 장식품을 사고 싶다길래 당장 사러 갔는데, 장소가 누구나 아는 유명한 갤러리였다”고 말했다. 그러면서 ""구슬이라고 해서 저렴할 거라고 예상했지만 영롱한 빛이 나는 고가의 작품이었다""며 ""직감적으로 이건 카드 한도 초과일 것 같아서 바로 '계좌이체 하겠습니다'고 외쳤다""고 고백했다. 구슬 선물 플렉스 일화에 이상민은 “그래서 지금 드라마 하는 거냐?”라고 받아쳐 폭소를 자아냈다.한편 ‘신발 벗고 돌싱포맨’은 매주 화요일 오후 9시에 방송된다.
]"
2023.06.21. 오전 5:23,"
			김민준 “처남 GD가 아들에 신발 만들어 선물, 증권 같은 것” (돌싱포맨)[어제TV]
		",https://n.news.naver.com/mnews/article/609/0000738700?sid=106,"[
 
[뉴스엔 유경상 기자]뉴스엔 유경상 yooks@ 김민준이 처남 GD가 아들에게 만들어준 신발을 증권에 비유했다. 6월 20일 방송된 SBS ‘신발 벗고 돌싱포맨’에서는 배우 김민준, 코미디언 허경환이 출연했다. 김민준은 결혼 5년차 아내와 첫만남에 대해 소개팅으로 만나기 전 길에서 운명적으로 만났다며 친구 집에 가는 길 만나 하얀색 스포츠카를 탄 아내가 터프하고 멋있었다고 밝혔다. 아내의 친구 집이 김민준 친구 집의 이웃이었다고. 이어 김민준은 “연애에서 결혼까지 부드럽게 전광석화처럼 흘러갔다. 두세 번째 만남에 밑반찬을 받았다. 반찬을 먹었는데 힘이 굉장했다. 진미채를 본인이 직접 만들었다. 너무 딱딱하지 않은 식감에 마요네즈가 싹 발려져 있어서 부드럽고 견과류가 있어 먹으니 순간 평생 먹을 수 있겠다 싶었다”고 털어놨다.   
김민준은 16개월차 이든이에 대해 “말로 표현할 수 없이 신비롭다”며 “정말 신기한 게 순간순간 저를 되돌아보게 한다”고 자신을 닮았다고 말하기도 했다. GD도 조카를 예뻐해 세상에 하나밖에 없는 신발을 만들어줬다고. 김민준은 “농담으로 신발을 아들에게 건네주기에 아들아 이건 나중에 컸을 때 증권 같은 거라고 이야기했다”고 전했다. 이상민은 “GD가 직접 본사에서 아기 사이즈 신발을 받아서 본인이 만들어서 주는 거다. 작품이다”고 신발의 가치를 말했고 탁재훈은 “그렇게 GD 사생팬으로 사는 건 어떠냐”고 반응해 웃음을 더했다. 김민준은 처남에 대한 로망이 있었다며 “보통 매형이 챙겨준다. 갓 결혼하면 처남은 직업이 없고 군대 다녀오고. 동생이 없다. 막내라서. 이걸 해보고 싶었다. 처남에게 용돈 주면서 누나에게 말하지 마라”고 GD가 처남이라 아쉬운 점을 말하기도 했다. 탁재훈은 “오히려 GD가 매형 우리 누나 잘 좀 부탁해요 그러는 거 아니냐”고 응수했다. 또 김민준은 아내와 관계에 대해 “결혼 2년차에는 말투로 눈치 챘다. 이제 공기로 눈치 챈다. 뭔가 이상한데? 문을 여는 순간 그 때부터 경계한다. 뭐가 잘못된 거지?”라고 말하기도 했다. 잘못한 게 없어도 긴장하게 된다고. 허경환은 “아는 형이 아내가 핸드폰에서 뭐 봤다고 이야기하자고 하니까 베란다에서 떨어질까 생각했다고 한다. 다리가 부러지면 용서해줄까 싶어서”라고 거들었다. 허경환은 김민준과 친한 사이인데도 결혼식에 초대를 받지 못한 일을 언급 “이거 때문에 나왔다”고 했다. 김준호가 “약간 창피했나?”라고 꼬집자 김민준은 “크지 않은 결혼식을 했다”며 “미안한 마음을 허경환이 결혼할 때 알아서 가면 상쇄되지 않을까”라고 미안함을 드러냈다. (사진=SBS ‘신발 벗고 돌싱포맨’ 캡처)
]"
2023-06-30 17:57:01,"윤창호 한국증권금융 사장, 쿨코리아 챌린지 동참...""에너지 절약""",https://n.news.naver.com/mnews/article/123/0002309460?sid=101,"[




◆…한국증권금융 제공한국증권금융은 에너지 절약을 위해 쿨코리아 챌린지를 진행했다고 30일 밝혔다.   쿨코리아 챌린지는 한국에너지공단과 패션그룹형지가 콜라보로 진행하는'에너지 절약 국민 캠페인'으로 간편한 옷차림으로 근무하면서 체열을 낮춰 에너지를 절약하자는 취지다.   각계 리더가 여름철 시원하고 간편한 복장으로 사진 촬영을 진행하고, 소셜미디어에 홍보한 후 다음 주자를 지목하는 방식으로 릴레이가 이어진다.   윤창호 사장은 NH투자증권 정영채 사장의 추천을 받아 이번 챌린지에 동참했다. 다음 주자로 한국신용정보원 최유삼 원장을 추천했다.   증권금융 관계자는 ""근무복장 자율화 등 에너지 절약을 위한 문화가 온전하게 정착할 수 있도록 일상에서의 노력을 꾸준히 이어갈 것""이라고 말했다.   
]"
2023-06-30 17:42:13,"고수는 여름에 배당株 산다 …""은행·증권·車부품 두둑해요""",https://n.news.naver.com/mnews/article/009/0005152131?sid=101,"[
배당 수익률·주가 상승률여름이 겨울보다 더 높아10% 고배당 종목도 있어



배당주에 대한 투자자의 관심은 결산기가 가까워지는 연말에 높아지지만 배당주의 주가 상승률은 여름에 더 높다는 분석이 나왔다. 증권가에서는 '배당 서프라이즈' 가능성이 높은 기업을 선점하기에 여름이 적합한 시점이라는 조언이 나온다.30일 NH투자증권에 따르면 최근 10년간 코스피·코스닥 배당주 성과는 3분기에 가장 양호한 모습을 보였다. 8월 배당주의 평균 수익률이 0.41%로 가장 높았고 7월(0.26%), 6월(0.16%)이 그다음을 차지했다. '섬머랠리'라는 말이 있을 정도로 역사적으로 3분기에는 주식 시장 수익률이 좋아 배당주도 수익률이 양호했기 때문으로 보인다. 이에 배당금 서프라이즈가 가능하고 높은 배당수익률이 예상되는 업종이나 기업에 대한 관심도 높아지고 있다. 구체적으로는 올해 예상 배당수익률이 과거 평균을 크게 상회할 것으로 보이는 업종이나 최근 실적 전망치가 상향 조정된 업종이 이 같은 조언에 부합한다는 설명이다.올해 배당수익률이 10년 평균에 비해 가장 크게 높을 것으로 예상되는 업종은 은행업이었다. 최근 10년간 은행 업종의 평균 배당수익률은 3.6%였는데, 올해는 6.9%에 이를 것으로 보인다. JB금융지주(10.07%), DGB금융지주(10.04%) 등 지방 금융지주들 배당수익률은 10%가 넘을 것으로 예상된다. 다만 은행주는 지난 3월 중순 이후 시장 금리가 하락하면서 실적 악화가 예상돼 주가가 하락한 것이 배당수익률 상승으로 이어진 경향이 있다. 특히 지방 금융지주들은 미분양이 극심한 지방 부동산 프로젝트파이낸싱(PF) 비중이 높아 건전성을 더욱 면밀히 살핀 뒤 투자해야 한다는 조언이다. 정태준 유안타증권 연구원은 DGB금융지주에 대해 ""작년 말 비은행 자회사에 대해 적극적으로 충당금을 적립하는 등 우려가 현실화될 것에 대비하고 있다는 점은 긍정적""이라고 말했다.증권 섹터도 올해 5.12%의 높은 배당수익률을 기록할 것으로 예상됐는데, 이 중에서도 대신증권(8.89%)과 삼성증권(7.52%)의 배당수익률이 가장 높을 것으로 예상됐다. 전배승 이베스트투자증권 연구원은 삼성증권에 대해 ""부동산 PF 리스크가 상대적으로 크지 않은 데다 10% 수준의 자본수익률(ROE) 창출 역량을 보유하고 있다""며 ""업황 둔화로 주가순자산비율(PBR)이 0.5배 미만으로 하락해 밸류에이션 부담도 완화됐다""고 말했다.자동차 업황의 수혜를 볼 것으로 예상되는 자동차 부품 기업도 고배당 종목에 이름을 올렸다. 자동차 업종은 올해 평균 예상 배당수익률이 4.04%였는데 한국앤컴퍼니는 6.31%, HL홀딩스는 5.45%로 특히 높은 배당수익률을 낼 것으로 전망됐다.  [강인선 기자]
]"
2023-06-30 17:42:01,[유가증권시장 공시] SK바이오팜 / 한화에어로스페이스 / 셀트리온 등,https://n.news.naver.com/mnews/article/009/0005152125?sid=101,"[
			◇SK바이오팜=글로벌 수준의 표적단백질분해(TPD) 기술 확보 위해 미국 프로테오반트 지분 60%, 620억원에 취득 결정.◇한화에어로스페이스=방위사업청과 1820억원 규모 천마 체계 외주 정비 등 용역 제공 계약 체결.◇셀트리온=셀트리온헬스케어와 3737억원 규모 바이오시밀러 항체의약품 상품 공급 계약 체결.◇기업은행=전략적 제휴를 통한 신사업 협력 강화 위해 쿠콘 지분 3%, 75억원에 취득 결정.
]"
