단어,개수
[],4
[,2001
"현대로템,",7
개인,269
순매수,343
1위[서울경제],21
30일,67
코스피,1639
종가는,59
전일보다,75
14.26포인트(0.56%),14
오른,2079
2564.28로,5
장을,769
마쳤다.업종별,2
지수는,1393
"전기가스(2.40%),",1
"운수장비(1.98%),",4
기계(1.58%),1
등이,671
오르고,289
"의료정밀(-0.05%),",4
비금속(0.03%),1
등은,1201
내렸다.투자자별로는,8
개인과,373
외국인이,395
각각,1308
701억,1
"원,",126
1783억,1
원어치를,76
순매도,259
했고,11
기관은,675
2299억,1
원을,184
했다.기관은,1
삼성SDI(006400)(223억원)를,1
가장,315
많이,170
순매수한,89
가운데,574
"BNK금융지주(138930)(179억원),",1
"두산밥캣(241560)(172억원),",1
"기아(000270)(169억원),",1
"SK하이닉스(000660)(167억원),",1
"SK아이이테크놀로지(361610)(146억원),",1
"현대모비스(012330)(146억원),",1
"대한항공(119억원),",1
"HD현대인프라코어(042670)(113억원),",1
한국전력(015760)(87억원)등을,1
매수했으며,2
삼성전자(005930)(185억원)와,1
"현대로템(150억원),",1
"POSCO홀딩스(133억원),",1
"LG생활건강(66억원),",1
"LX세미콘(54억원),",1
"SK이노베이션(46억원),",1
"롯데칠성(44억원),",1
"효성티앤씨(44억원),",1
"SK바이오사이언스(43억원),",1
F&amp;F(42억원)등은,1
팔았다.외국인은,17
삼성전자(417억원)를,1
비롯해,73
"기아(330억원),",1
"SK아이이테크놀로지(147억원),",1
"HD현대인프라코어(125억원),",1
"한국전력(119억원),",1
"현대차(005380)(90억원),",1
"현대모비스(89억원),",1
"현대오토에버(307950)(70억원),",1
"휠라홀딩스(081660)(63억원),",1
PI첨단소재(56억원)등을,1
샀으며,2
상위,809
종목은,242
삼성SDI(493억원)와,1
"현대로템(405억원),",1
"삼성전자우(315억원),",1
"이수페타시스(226억원),",1
"NAVER(206억원),",1
"SK하이닉스(172억원),",1
"BNK금융지주(163억원),",1
"LG전자(161억원),",1
"SK이노베이션(161억원),",1
두산밥캣(159억원),1
등이다.,64
],2001
국내,753
도입,4
21년,3
만에순자산,1
100조311억원3년,1
반,5
만에,505
두,148
배,12
늘어운용사,1
23곳,1
733개,2
상장,150
한국거래소는,20
서울사옥에서,1
상장지수펀드(ETF),6
시장의,128
순자산총액,3
100조원,1
달성을,2
기념하는,10
행사를,3
열었다.,7
뒷줄,1
왼쪽부터,2
시계방향으로,1
정지헌,1
한국거래소,35
"유가증권시장본부장보,",1
배재규,1
한국투자신탁운용,1
"대표,",3
김성훈,1
키움투자자산운용,1
홍융기,1
KB자산운용,2
"전무,",1
이병성,1
미래에셋자산운용,3
서유석,2
"금융투자협회장,",2
손병두,3
"이사장,",2
서봉균,1
삼성자산운용,1
대표.,1
제공국내,1
상장지수펀드(ETF)의,1
순자산총액이,1
100조원을,3
넘어섰다.,15
2002년,3
ETF가,6
한국,235
시장에,80
소개된,1
이후,756
만이다.,49
최근,408
3년,10
순자산이,3
배로,4
늘며,1
인기,2
재테크,9
수단으로,2
자리,3
잡았다는,1
평가다.,13
펀드매니저가,9
운용하는,4
공모펀드를,1
통한,18
간접투자,1
대신,13
ETF를,7
직접투자,2
문화가,1
확산한,3
결과라는,2
분석이,46
나온다.30일,1
한국거래소에,162
따르면,389
전날,305
기준으로,130
국내에,3
상장된,5
ETF의,11
순자산총액은,3
100조311억원이었다.,1
ETF는,16
유가증권시장에,17
상장해,1
주식처럼,3
거래할,2
수,848
있도록,9
한,266
펀드다.2002년,1
10월,28
14일,101
코스피200지수를,2
추종하는,22
첫,30
ETF,23
7개가,5
상장했을,1
때,112
3444억원이었다.,1
50조원을,1
넘긴,11
것은,230
17년,1
뒤인,2
2019년이었다.,1
불과,2
3년6개월,1
불어났다.2019년,1
1조3000억원이던,1
하루,104
평균,42
거래대금도,4
2조7000억원으로,1
증가했다.,24
거래대금은,69
"미국,",9
중국에,5
이어,245
전,1920
세계에서,10
세,13
번째로,19
많다.,17
조성하는,1
자산운용사는,1
4곳에,1
불과했지만,1
현재는,16
23곳으로,1
늘었다.전문가들은,1
ETF라는,1
‘그릇’,1
안에,12
다양한,18
투자,240
상품을,5
담을,1
있다는,316
점이,65
비결이라고,1
분석했다.,97
초창기에는,1
주식에,5
투자하는,12
상품밖에,2
없었지만,4
코로나19,13
사태,21
주식,95
붐이,3
일며,3
해외,35
주식형,7
도입됐고,1
갈수록,19
상품이,3
다양화하고,1
있다.,2600
김남기,2
ETF운용부문,2
대표는,6
“만기가,1
있는,456
채권형,2
"ETF,",5
초장기채에,1
양도성예금증서(CD),1
금리를,144
ETF까지,1
등장하며,1
투자자들이,60
통해,113
매매를,3
할,99
있게,17
됐다”고,1
말했다.,211
공모,35
펀드,13
대비,1730
낮은,75
수수료와,1
