종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A389260,대명에너지,20220622,-5378,3070,592,-1,0,455,0,0,0,1170,546,138
A389260,대명에너지,20220624,-25001,10870,16083,6879,0,9204,0,0,0,-1600,-352,0
A389260,대명에너지,20220623,-18421,3376,16084,6880,0,9204,0,0,0,-1000,-39,0
A389260,대명에너지,20220628,-44417,34509,10361,-2,0,12298,0,0,0,-570,117,-1935
A389260,대명에너지,20220627,-56347,50224,6794,199,0,7530,0,0,0,-570,-101,-935
A389260,대명에너지,20220630,1246,-30092,29230,7229,0,2001,0,0,0,663,-1047,20000
A389260,대명에너지,20220629,-63045,46399,17102,101,0,1,0,0,0,563,-1019,17000
A389260,대명에너지,20220701,24488,-22168,-2856,-4,0,-2852,0,0,0,-100,636,0
A389260,대명에너지,20220704,11367,9296,-22026,5,0,-31,0,0,0,150,1213,-22000
A389260,대명에너지,20220706,8475,-10144,205,134,0,71,0,0,0,1725,-261,0
A389260,대명에너지,20220705,9977,-9681,11,11,0,0,0,0,0,5,-312,0
A389260,대명에너지,20220708,-11957,1639,28,-41,0,69,0,0,0,10310,-20,0
A389260,대명에너지,20220707,-19308,9523,11,11,0,0,0,0,0,9814,-40,0
A389260,대명에너지,20220712,-15942,11438,78,9,0,69,0,0,0,4456,-30,0
A389260,대명에너지,20220711,-4560,-72,75,6,0,69,0,0,0,4336,221,0
A389260,대명에너지,20220714,-29903,16462,-54,-124,0,70,0,0,0,13199,296,0
A389260,대명에너지,20220713,-15200,3054,-55,-125,0,70,0,0,0,12149,52,0
A389260,대명에너지,20220715,-6573,8570,-9652,-9652,0,0,0,0,0,7550,105,0
A389260,대명에너지,20220718,-55159,48578,-297,-217,0,-80,0,0,0,6821,57,0
A389260,대명에너지,20220720,27910,-23711,-398,-80,0,552,0,0,0,-3071,-730,-870
A389260,대명에너지,20220719,20775,-21565,-964,-94,0,0,0,0,0,1670,84,-870
A389260,대명에너지,20220722,12251,3860,-891,-269,0,-622,0,0,0,-15491,271,0
A389260,대명에너지,20220721,3157,4472,-634,-12,0,-622,0,0,0,-7191,196,0
A389260,대명에너지,20220726,5681,4189,-31,-31,0,0,0,0,0,-10004,165,0
A389260,대명에너지,20220725,-12232,12639,-19,-19,0,0,0,0,0,-648,260,0
A389260,대명에너지,20220728,36011,-36595,14271,-9,0,0,0,38,14242,-13327,-360,0
A389260,대명에너지,20220727,4140,1532,32,-6,0,0,0,38,0,-6299,595,0
A389260,대명에너지,20220729,24557,-32338,9635,6894,0,-130,0,-38,0,-2213,359,2909
A389260,대명에너지,20220801,-45871,50315,-14189,-9145,0,-3320,0,0,-640,8018,1727,-1084
A389260,대명에너지,20220803,81251,-55359,-36433,31,0,0,0,0,-35507,13564,-3023,-957
A389260,대명에너지,20220802,-4885,-521,-19877,217,0,16370,0,0,-35507,25602,-319,-957
A389260,대명에너지,20220805,-7755,9075,9353,261,0,9092,0,0,0,-12548,1875,0
A389260,대명에너지,20220804,-18831,6915,9079,-13,0,9092,0,0,0,2792,45,0
A389260,대명에너지,20220809,13237,-20415,-220,-219,0,-1,0,0,0,8500,-1102,0
A389260,대명에너지,20220808,3960,-12716,444,445,0,-1,0,0,0,8500,-188,0
A389260,대명에너지,20220811,-92275,78298,16320,-2118,0,18416,0,0,22,-1515,-828,0
A389260,대명에너지,20220810,-14548,16666,302,302,0,0,0,0,0,-1735,-685,0
A389260,대명에너지,20220812,-104225,128142,-11222,1073,0,-16202,0,0,-22,-11048,-1647,3929
A389260,대명에너지,20220817,70761,27377,-101078,-47861,0,-11808,0,0,0,2397,543,-41409
A389260,대명에너지,20220816,56546,42203,-101075,-47858,0,-11808,0,0,0,1853,473,-41409
A389260,대명에너지,20220819,170088,-163729,6,6,0,0,0,0,0,-6669,304,0
A389260,대명에너지,20220818,25770,-16435,1,1,0,0,0,0,0,-9469,133,0
A389260,대명에너지,20220823,48869,-48219,-2580,876,0,-3456,0,0,0,1629,301,0
A389260,대명에너지,20220822,16984,-14759,-3427,29,0,-3456,0,0,0,449,753,0
A389260,대명에너지,20220825,-65462,29957,39667,7597,0,31945,0,0,0,-3769,-393,125
A389260,대명에너지,20220824,-42727,46513,-157,-282,0,0,0,0,0,-2628,-1001,125
A389260,대명에너지,20220826,3810,19340,-24378,-10347,0,-19870,0,0,0,778,450,5839
A389260,대명에너지,20220829,-13924,21170,-5309,-5309,0,0,0,0,0,-1380,-557,0
A389260,대명에너지,20220831,74021,-73574,-2978,1261,0,892,0,0,0,369,2162,-5131
A389260,대명에너지,20220830,17784,-28083,12,12,0,0,0,0,0,18,10269,0
A389260,대명에너지,20220902,-62540,56082,5521,-1360,0,10676,0,0,0,2823,-1886,-3795
A389260,대명에너지,20220901,-247174,231569,18740,-892,0,23427,0,0,0,-33,-3102,-3795
A389260,대명에너지,20220906,85225,-73147,-13018,143,0,-13161,0,0,0,254,686,0
A389260,대명에너지,20220905,47198,-34243,-13163,-2,0,-13161,0,0,0,226,-18,0
A389260,대명에너지,20220908,-29821,18252,-5,-13,0,8,0,0,0,10628,946,0
