종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A099430,바이오플러스,20220628,263931,-123177,-151064,-1754,-55666,-47165,0,0,-22776,1106,9204,-23703
A099430,바이오플러스,20220627,236791,-87761,-153461,-2153,-55666,-49162,0,0,-22776,1019,3413,-23703
A099430,바이오플러스,20220630,166756,-78383,-164706,51047,0,-152690,0,0,0,-6603,82935,-63062
A099430,바이오플러스,20220629,9007,4100,-14081,0,0,0,0,0,0,95,880,-14081
A099430,바이오플러스,20220701,-25322,26189,2577,0,3296,-6178,0,0,13318,-3820,376,-7860
A099430,바이오플러스,20220704,84648,27444,65732,0,-3424,54452,0,0,-5957,-177337,-487,20663
A099430,바이오플러스,20220706,-404003,231801,205388,49302,23708,95149,0,19979,10813,34113,-67299,6437
A099430,바이오플러스,20220705,-231281,178704,69884,-1238,-6117,58775,0,19979,-7951,55243,-72549,6437
A099430,바이오플러스,20220708,-319190,331586,-32442,7445,17755,96041,0,-20195,-17005,25694,-5647,-116480
A099430,바이오플러스,20220707,-58787,175810,-111984,-279,844,13942,0,0,-10808,-5234,195,-115681
A099430,바이오플러스,20220712,42109,-31256,92621,703,42200,26717,0,-42032,11024,-101092,-2381,54008
A099430,바이오플러스,20220711,176478,-161593,-17066,1042,-22053,17730,0,-399,-19344,4111,-1930,5958
A099430,바이오플러스,20220714,-381102,511596,-47542,-27648,16023,52654,0,-34763,10389,-50608,-32343,-64198
A099430,바이오플러스,20220713,115141,-58939,-22656,-172,16023,29118,0,-6393,10389,-25330,-8216,-71622
A099430,바이오플러스,20220715,274493,41022,-345643,-12846,-26816,-188273,0,-399,-18764,35204,-5075,-98542
A099430,바이오플러스,20220718,239936,47943,-290904,116,-82195,-95881,0,0,-40757,2665,359,-72185
A099430,바이오플러스,20220720,80801,-53509,-15491,12986,-1454,51786,0,16983,-4962,-15009,3209,-90829
A099430,바이오플러스,20220719,181405,-140891,-19847,10049,-667,-26437,0,0,-527,-23676,3009,-2265
A099430,바이오플러스,20220722,262449,-281876,-86039,-23931,8786,-45820,0,-6792,-16990,96304,9162,-1290
