종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A011930,신성이엔지,20220622,15551,-27180,23744,12187,0,129,0,0,11497,-13898,1783,-69
A011930,신성이엔지,20220624,-413439,78448,287090,-82586,91173,135405,0,0,142338,19979,27922,760
A011930,신성이엔지,20220623,-239136,-193773,393196,24271,90872,135170,0,0,142338,10000,29713,545
A011930,신성이엔지,20220628,350703,-414033,86522,3050,7645,27647,0,0,46073,-510,-22682,2107
A011930,신성이엔지,20220627,62789,-79074,45000,6832,-20163,9895,0,0,46379,-3000,-25715,2057
A011930,신성이엔지,20220630,48232,-115294,69701,16355,7158,18063,0,0,17492,-10100,7461,10633
A011930,신성이엔지,20220629,-144196,87154,60220,14027,7158,18050,0,0,20949,-10297,7119,36
A011930,신성이엔지,20220701,18869,15438,-34226,-2991,-33193,0,0,0,1958,0,-81,0
A011930,신성이엔지,20220704,88658,-106926,24253,32707,-5906,-2426,0,0,0,0,-5985,-122
A011930,신성이엔지,20220706,-15219,12928,2589,5070,-29850,0,0,0,0,26,-324,27369
A011930,신성이엔지,20220705,1535,-14984,13742,-488,-13139,0,0,0,0,0,-293,27369
A011930,신성이엔지,20220708,-52038,50582,-2868,3908,-7035,-19,0,0,0,0,4324,278
A011930,신성이엔지,20220707,-104478,108554,-5794,963,-7035,0,0,0,0,0,1718,278
A011930,신성이엔지,20220712,16014,-39580,18419,23781,-5908,0,0,0,136,7747,-2600,410
A011930,신성이엔지,20220711,47912,-45834,-198,5880,-6217,0,0,0,0,0,-1880,139
A011930,신성이엔지,20220714,19423,-3955,-6916,299,-7117,0,0,0,0,-8061,-491,-98
A011930,신성이엔지,20220713,-73916,81602,-8324,-607,-7619,0,0,0,0,300,338,-98
A011930,신성이엔지,20220715,-28668,24262,5087,5087,0,0,0,0,0,0,-681,0
A011930,신성이엔지,20220718,-117826,83039,34518,26314,34,4136,0,0,0,-300,569,4034
A011930,신성이엔지,20220720,-154854,105153,38396,14795,-18,24923,0,0,0,5000,6305,-1304
A011930,신성이엔지,20220719,176575,-216195,32105,7182,0,24923,0,0,0,5000,2515,0
A011930,신성이엔지,20220722,46355,-90882,42977,636,0,-5,0,0,42445,-100,1650,-99
A011930,신성이엔지,20220721,-102177,61882,39489,-2635,0,-5,0,0,42228,-100,906,-99
A011930,신성이엔지,20220726,16851,61366,-84306,-3265,0,-81036,0,0,0,5000,1089,-5
A011930,신성이엔지,20220725,-4638,4785,-4105,-4105,0,0,0,0,0,5000,-1042,0
A011930,신성이엔지,20220728,-1031759,400760,591783,41149,273059,110963,0,0,165570,39010,206,1042
A011930,신성이엔지,20220727,-107556,122010,-12979,-13869,0,0,0,0,0,0,-1475,890
A011930,신성이엔지,20220729,1054828,-199192,-858935,2521,-314978,-153759,0,0,-392714,-7307,10606,-5
A011930,신성이엔지,20220801,-256825,180559,86407,16457,-6912,90778,0,0,-13916,-54,-10087,0
A011930,신성이엔지,20220803,501616,-303415,-205241,-48189,-2346,-117081,0,0,-38162,-30310,37350,537
A011930,신성이엔지,20220802,42190,-93843,-12371,-3596,0,-9046,0,0,0,-9900,73924,271
A011930,신성이엔지,20220805,-61316,107125,-29156,3564,-4910,-9104,0,0,-18962,5933,-22586,256
A011930,신성이엔지,20220804,23698,19719,-39253,-2071,-5110,-9104,0,0,-22968,1848,-6012,0
A011930,신성이엔지,20220809,-807871,30039,789383,83687,32939,128046,0,0,487391,-27293,15742,57320
A011930,신성이엔지,20220808,-1086121,208829,899266,61050,22488,192347,0,0,489793,-28043,6069,133588
A011930,신성이엔지,20220811,-3331024,2590926,751819,32076,211751,132925,0,0,363342,39482,-51203,11725
A011930,신성이엔지,20220810,-618708,248124,396858,12478,127461,-45040,0,0,301959,-1100,-25174,0
A011930,신성이엔지,20220812,1913574,-1969286,16818,15063,-44,5064,0,0,-4717,-13891,52785,1452
A011930,신성이엔지,20220817,-214531,403383,-212911,-9414,-53299,-151119,0,0,553,21892,2167,368
A011930,신성이엔지,20220816,234748,-145530,-93947,14680,-64,-109484,0,0,553,3763,966,368
A011930,신성이엔지,20220819,818161,-832108,-4278,-3751,1706,-174,0,0,26064,2280,15945,-28123
A011930,신성이엔지,20220818,-88245,134212,-46157,-7390,26,-174,0,0,146,280,-90,-38765
A011930,신성이엔지,20220823,-185090,-15877,185364,36035,34686,141999,0,0,696,11654,3949,-28052
A011930,신성이엔지,20220822,-284771,236838,47133,45178,24963,0,0,0,4906,1205,-405,-27914
A011930,신성이엔지,20220825,-1477644,566732,987937,9809,241098,255310,0,2364,210794,-27713,-49312,268562
A011930,신성이엔지,20220824,-1270679,498660,787363,12893,179233,208310,0,2258,148446,-13089,-2255,236223
A011930,신성이엔지,20220826,-1842953,1728972,129431,12392,93048,132696,0,0,25559,-16647,1197,-134264
A011930,신성이엔지,20220829,547513,-654844,107994,350,60352,26833,0,1081,15513,1365,-2028,3865
A011930,신성이엔지,20220831,1257438,-1216021,-53792,28209,14554,-77553,0,1859,6888,23277,-10902,-27749
A011930,신성이엔지,20220830,841744,-771936,-75363,239,14554,-72382,0,1719,6600,12715,-7160,-26093
A011930,신성이엔지,20220902,-238132,315957,-66167,3889,-12,-70240,0,192,72,-1129,-10529,-68
A011930,신성이엔지,20220901,-85451,97702,3038,814,0,2152,0,0,72,-846,-14443,0
A011930,신성이엔지,20220906,-745058,240984,498853,5510,44941,71689,0,0,376174,7397,-2176,539
A011930,신성이엔지,20220905,-142902,4402,137868,-994,0,15554,0,0,123308,-3000,3632,0
A011930,신성이엔지,20220908,132124,30295,-152235,44420,0,-301110,0,0,103739,-10319,135,716
A011930,신성이엔지,20220907,119891,-145283,25815,19330,0,1443,0,0,4584,-8852,8429,458
A011930,신성이엔지,20220914,415983,-406635,-13792,2052,620,-27901,0,0,11088,14481,-10037,349
A011930,신성이엔지,20220913,529608,-522688,-13257,1709,620,-26535,0,0,11088,13281,-6944,-139
A011930,신성이엔지,20220916,-345059,359329,-22990,-2419,-38391,0,0,0,17410,-454,9174,410
A011930,신성이엔지,20220915,-780386,641071,107739,-4197,102,0,0,0,111695,28397,3179,139
A011930,신성이엔지,20220920,-311104,292869,20667,5225,652,23652,0,0,-8862,20,-2452,0
A011930,신성이엔지,20220919,-581892,494722,89492,-1057,602,98809,0,0,-8862,0,-2322,0
A011930,신성이엔지,20220922,-377798,218527,164565,15125,0,135699,0,0,6856,-7650,2356,6885
A011930,신성이엔지,20220921,-217354,205211,16615,4756,0,0,0,0,4422,-7700,3228,7437
A011930,신성이엔지,20220923,69092,-20073,-52450,1030,-27,0,0,0,-53466,1000,2431,13
A011930,신성이엔지,20220926,-350802,508777,-174043,-43242,-55930,-75473,0,0,348,50,16018,254
A011930,신성이엔지,20220928,106963,-139548,2635,-3722,-328,-22,0,0,9371,3000,26950,-2664
A011930,신성이엔지,20220927,-3546,5228,-1682,-2034,0,0,0,0,352,0,0,0
A011930,신성이엔지,20220930,-227260,373398,-121889,12446,-52122,-77896,0,0,-4725,53,-24302,408
A011930,신성이엔지,20220929,-88892,109460,1147,13024,0,-12009,0,0,0,9,-21724,132
A011930,신성이엔지,20221004,-273636,144206,130545,41292,25547,-42911,0,0,99170,-2000,885,7447
A011930,신성이엔지,20221006,308946,-312856,6297,40597,-48365,-66900,0,138,80000,-344,-2043,827
A011930,신성이엔지,20221005,339732,-369079,32294,5169,-21804,-31831,0,138,80000,0,-2947,622
A011930,신성이엔지,20221007,312378,-261198,-58054,-38308,0,-16203,0,0,0,4999,1875,-3543
A011930,신성이엔지,20221012,-126370,-294014,432338,-6968,1354,-12048,0,0,441876,-1680,-10274,8124
A011930,신성이엔지,20221011,-339495,-124665,468283,-2607,1292,20008,0,0,441876,-1689,-2434,7714
A011930,신성이엔지,20221014,45267,55407,-99601,-421,-35428,-93254,0,0,0,-6748,5675,29502
A011930,신성이엔지,20221013,159536,-63807,-101784,9565,0,-111488,0,0,0,0,6055,139
A011930,신성이엔지,20221018,-363414,136447,229351,-842,-11144,8470,0,0,232801,-4,-2380,66
A011930,신성이엔지,20221017,-354118,125117,231945,-321,0,-535,0,0,232801,-4,-2940,0
A011930,신성이엔지,20221020,-97038,-32245,135608,382,15271,44115,0,-296,74549,-597,-5728,1587
A011930,신성이엔지,20221019,-155721,17520,135741,-547,15271,44115,0,1594,74549,-97,2557,759
A011930,신성이엔지,20221021,183483,-62570,-121961,-28703,0,-83854,0,0,-4735,-1001,2049,-4669
A011930,신성이엔지,20221024,-546347,494845,52315,-75039,0,4732,0,0,122620,332,-1145,2
A011930,신성이엔지,20221026,455595,-331718,-123504,1920,-1307,-126507,0,0,2390,5,-378,0
A011930,신성이엔지,20221025,225161,-104707,-119938,6569,0,-126507,0,0,0,5,-521,0
A011930,신성이엔지,20221028,114582,-78508,-35232,-30864,-236,-4189,0,0,0,0,-842,57
A011930,신성이엔지,20221027,20363,11004,-31500,-31557,0,0,0,0,0,0,133,57
A011930,신성이엔지,20221101,-325989,343827,-19472,-4409,369,-5386,0,0,-10046,0,1634,0
A011930,신성이엔지,20221031,81823,-81700,-588,4798,0,-5386,0,0,0,0,465,0
A011930,신성이엔지,20221103,-77098,73595,3082,-2693,3494,2275,0,0,-6,1,420,12
A011930,신성이엔지,20221102,75691,-77621,511,-3349,0,3866,0,0,-6,0,1419,0
A011930,신성이엔지,20221104,32405,-22318,2309,665,0,-2600,0,0,5000,-12301,-95,-756
A011930,신성이엔지,20221107,129251,-121068,-8384,-7832,0,0,0,0,-231,320,-119,-321
A011930,신성이엔지,20221109,-275879,275801,18952,-9631,2572,-1563,0,0,30129,-25529,6655,-2555
A011930,신성이엔지,20221108,-314339,336073,-9931,-9228,1225,-1267,0,0,-661,-25418,13615,0
A011930,신성이엔지,20221111,557333,-437288,-113056,14717,2072,-65844,0,0,-63069,185,-7174,-932
A011930,신성이엔지,20221110,407802,-404026,37,121,0,221,0,0,0,145,-3958,-305
A011930,신성이엔지,20221115,-1490,68618,-55773,-37920,21332,12096,0,0,-50286,0,-11355,-995
A011930,신성이엔지,20221114,134863,-93915,-29865,-31623,-180,2716,0,0,-286,0,-11083,-492
A011930,신성이엔지,20221117,-120490,61512,60908,1327,12836,3588,0,0,39146,100,-2030,4011
A011930,신성이엔지,20221116,-362320,304567,59633,66,12836,3588,0,0,39146,0,-1880,3997
A011930,신성이엔지,20221118,-8593,44811,-31668,-2908,0,0,0,0,-214,-2025,-2525,-28546
A011930,신성이엔지,20221121,-41040,41001,-1375,-1079,0,0,0,0,0,0,1414,-296
A011930,신성이엔지,20221123,105283,-119375,14190,13411,514,-420,0,0,0,10,-108,685
A011930,신성이엔지,20221122,23288,-23923,486,392,514,-420,0,0,0,10,139,0
A011930,신성이엔지,20221125,-20344,37231,-17934,10855,0,0,0,0,-30000,0,1047,1211
A011930,신성이엔지,20221124,-74850,102383,-28164,625,0,0,0,0,-30000,0,631,1211
A011930,신성이엔지,20221129,514398,-413164,-100551,-4316,-126,2301,0,0,-98093,80,-763,-317
A011930,신성이엔지,20221128,443248,-347807,-96769,-1692,-126,3003,0,0,-98093,30,1298,139
A011930,신성이엔지,20221201,109767,-110398,-9065,688,-617,-2876,0,0,-5753,7000,2696,-507
A011930,신성이엔지,20221130,90423,-86135,-3297,834,-617,-2556,0,0,-451,0,-991,-507
A011930,신성이엔지,20221202,19095,-21500,970,970,0,0,0,0,0,0,1435,0
A011930,신성이엔지,20221205,7853,-10822,2690,1349,1127,0,0,0,0,0,279,214
A011930,신성이엔지,20221207,55426,-54548,-2168,-1579,0,-47,0,0,-134,0,1290,-408
A011930,신성이엔지,20221206,58723,-57701,-1440,-820,0,0,0,0,-134,0,418,-486
A011930,신성이엔지,20221209,92045,-16809,-76087,-5897,7194,-29876,0,728,-48573,0,851,337
A011930,신성이엔지,20221208,54865,-36102,-18910,319,0,-19957,0,728,0,0,147,0
A011930,신성이엔지,20221213,1134033,90638,-1241442,3547,-822,-82424,0,279,-1162368,990,15781,346
A011930,신성이엔지,20221212,1349404,-141704,-1217149,2912,0,-82424,0,279,-1138003,-210,9659,87
A011930,신성이엔지,20221215,208759,97691,-345791,-716,-105356,-25848,0,0,-214672,36003,3338,801
A011930,신성이엔지,20221214,203244,141552,-346536,-883,-105356,-25848,0,0,-214671,-2800,4540,222
A011930,신성이엔지,20221216,86176,-78678,-10654,-11436,999,4,0,0,-571,0,3156,350
A011930,신성이엔지,20221219,13067,-17266,-188,63,-196,0,0,0,0,169,4218,-55
A011930,신성이엔지,20221221,200768,-196233,-12460,-133,0,-350,0,0,-13027,120,7805,1050
A011930,신성이엔지,20221220,189562,-193028,-4189,-26,0,-175,0,0,-4500,500,7155,512
A011930,신성이엔지,20221223,-11507,8964,1168,-27283,24707,46368,0,0,-43854,0,1375,1230
A011930,신성이엔지,20221222,-50693,24416,27893,-2094,24424,-84,0,0,4793,0,-1616,854
A011930,신성이엔지,20221227,-60022,126428,-94823,2934,392,2650,0,0,-101495,26797,1620,696
A011930,신성이엔지,20221226,3972,72204,-76710,2297,0,-2034,0,0,-77495,0,534,522
A011930,신성이엔지,20221229,311216,176733,-491932,7890,-158468,13135,0,3347,-393512,-1851,5834,35676
A011930,신성이엔지,20221228,257129,211673,-469630,84,-158661,-19316,0,3347,-330489,-2335,3163,35405
A011930,신성이엔지,20230102,3460,19224,-21675,6975,0,47290,0,0,-77316,5,-1014,1376
A011930,신성이엔지,20230104,-311468,263875,44973,12951,5896,19485,0,294,0,0,2620,6347
A011930,신성이엔지,20230103,-203899,163609,39390,12762,6134,18540,0,294,0,0,900,1660
A011930,신성이엔지,20230106,146808,-122518,-39150,45659,-561,-326,0,0,-81644,11988,2872,-2278
A011930,신성이엔지,20230105,256572,-233170,-35803,47139,50,0,0,0,-81644,10900,1501,-1348
A011930,신성이엔지,20230110,-85212,81862,12309,13336,31,-1058,0,0,0,-2550,-6409,0
A011930,신성이엔지,20230109,-51240,54662,2798,3855,0,-1057,0,0,0,-1000,-5220,0
A011930,신성이엔지,20230112,616651,-591057,-44034,-7580,43,35000,0,0,-71923,18022,418,426
A011930,신성이엔지,20230111,415768,-349644,-81287,-4175,0,0,0,0,-77399,16420,-1257,287
A011930,신성이엔지,20230113,78928,-42998,-35167,8589,49,-21698,0,0,0,50,-813,-22107
A011930,신성이엔지,20230116,9523,-2729,17105,7129,15867,0,0,0,-5550,-18522,-5377,-341
A011930,신성이엔지,20230118,39780,-43120,11712,-4457,-520,-733,0,0,0,-8832,460,17422
A011930,신성이엔지,20230117,-43137,37845,14830,-1428,-679,-765,0,0,0,-9950,412,17702
A011930,신성이엔지,20230120,-167300,131718,36919,5877,-296,31673,0,0,-335,-1128,-209,0
A011930,신성이엔지,20230119,20588,-21864,2171,2467,-296,0,0,0,0,-792,-103,0
A011930,신성이엔지,20230126,-269192,271783,-4827,-4894,67,0,0,0,0,5969,-3733,0
A011930,신성이엔지,20230125,-19784,32564,-9486,-9486,0,0,0,0,0,-31,-3263,0
A011930,신성이엔지,20230127,49049,-25453,-18606,-18033,9,-582,0,0,0,-5990,1000,0
A011930,신성이엔지,20230130,-52025,49899,1341,1605,0,139,0,0,0,0,785,-403
A011930,신성이엔지,20230201,-144490,137694,1418,1170,248,0,0,0,0,-18,5396,0
A011930,신성이엔지,20230131,-434673,430119,-98,-238,140,0,0,0,0,0,4652,0
A011930,신성이엔지,20230203,-91433,100106,2974,5631,-7550,8796,0,0,-329,-16995,5348,-3574
A011930,신성이엔지,20230202,-192551,194161,421,581,-7550,8796,0,0,0,0,-2031,-1406
A011930,신성이엔지,20230207,160715,-172037,20622,18599,-1225,-908,0,0,0,0,-9300,4156
A011930,신성이엔지,20230206,196017,-204563,20498,18518,-1225,-908,0,0,0,0,-11952,4113
A011930,신성이엔지,20230209,-202843,208026,-2132,-9549,0,0,0,0,7614,4196,-7247,-197
A011930,신성이엔지,20230208,-45140,60195,-15496,-15299,0,0,0,0,0,4191,-3750,-197
A011930,신성이엔지,20230210,210103,-142669,405,3190,-2810,0,0,0,0,-70000,2161,25
A011930,신성이엔지,20230213,-122688,116712,1945,1910,-18,0,0,0,0,201,3830,53
A011930,신성이엔지,20230215,85545,-94337,13264,12113,816,-33,0,0,0,1979,-6451,368
A011930,신성이엔지,20230214,-93226,100971,-2214,3522,-15,-33,0,0,0,205,-5736,-5688
A011930,신성이엔지,20230217,-291263,264341,18092,11968,-64,-370,0,0,0,5728,3102,6558
A011930,신성이엔지,20230216,-282207,276384,-2904,-1750,-64,-370,0,0,0,5728,2999,-720
A011930,신성이엔지,20230221,120942,21405,-132168,4406,-75714,-60311,0,0,0,-6657,-3522,-549
A011930,신성이엔지,20230220,97201,49480,-140526,-3952,-75714,-60311,0,0,0,-6657,502,-549
A011930,신성이엔지,20230223,302415,-173789,-129818,11265,-84803,-57193,0,0,174,0,1192,739
A011930,신성이엔지,20230222,143692,-154707,10353,13578,-3670,0,0,0,174,0,662,271
A011930,신성이엔지,20230224,192356,-109454,-84076,4371,-88486,0,0,0,-99,5,1169,138
A011930,신성이엔지,20230227,-3061,-1682,5714,1593,0,110,0,642,0,5,-976,3369
A011930,신성이엔지,20230228,34948,-36980,3883,3883,0,0,0,0,0,0,-1851,0
A011930,신성이엔지,20230303,103963,-96832,-8467,10496,3281,-28637,0,220,513,150,1186,5660
A011930,신성이엔지,20230302,120376,-64065,-56566,3968,0,-66194,0,0,0,0,255,5660
A011930,신성이엔지,20230307,-413552,406062,8424,8988,457,984,0,441,0,0,-934,-2446
A011930,신성이엔지,20230306,-111139,111011,1031,1387,-495,0,0,0,0,0,-903,139
A011930,신성이엔지,20230309,412484,-543997,74857,22425,9,41838,0,248,10000,42105,14551,337
A011930,신성이엔지,20230308,301290,-330464,21557,11309,0,0,0,248,10000,5,7612,0
A011930,신성이엔지,20230310,-753,-49693,49645,16774,0,32777,0,0,0,428,373,94
A011930,신성이엔지,20230313,307000,-231632,-68344,-39367,0,-28977,0,0,0,1187,-8211,0
A011930,신성이엔지,20230315,-82201,70970,-13451,26032,0,-37757,0,0,0,25138,-456,-1726
A011930,신성이엔지,20230314,94086,-72653,-21042,18163,0,-37757,0,0,0,-14,-377,-1448
A011930,신성이엔지,20230317,-63678,57645,5195,14980,173,-17026,0,0,0,623,215,7068
A011930,신성이엔지,20230316,71510,-63200,-10329,6524,173,-17026,0,0,0,0,2019,0
A011930,신성이엔지,20230321,-60368,62114,7776,482,16,0,0,0,0,-765,-8757,7278
A011930,신성이엔지,20230320,-90329,86817,5057,-2221,0,0,0,0,0,-1132,-413,7278
A011930,신성이엔지,20230323,70090,-90771,21492,17191,0,-5065,0,0,3305,200,-1011,6061
A011930,신성이엔지,20230322,69649,-68401,-637,4459,0,-5096,0,0,0,100,-711,0
A011930,신성이엔지,20230324,-180099,200364,-19312,-13256,0,0,0,0,0,0,-953,-6056
A011930,신성이엔지,20230327,4793,-36335,32531,29503,0,0,0,0,0,0,-989,3028
A011930,신성이엔지,20230329,-556983,510835,54106,36059,0,-19806,0,0,8907,-93,-7865,28946
A011930,신성이엔지,20230328,-310902,284492,29169,15650,0,-1037,0,0,0,-93,-2666,14556
A011930,신성이엔지,20230331,-21731,363412,-347348,58608,9103,-404496,0,0,0,1001,4666,-10563
A011930,신성이엔지,20230330,117404,23434,-148666,36527,8157,-168231,0,0,0,0,7828,-25119
A011930,신성이엔지,20230404,376312,-432508,67739,79568,-13833,222,0,0,5603,-14000,2457,-3821
A011930,신성이엔지,20230403,190189,-218040,44262,44262,0,0,0,0,0,-14900,-1511,0
A011930,신성이엔지,20230406,-62047,38889,-9885,1085,-79,-5498,0,0,-5664,36484,-3441,271
A011930,신성이엔지,20230405,-64214,40498,-9944,1297,-79,-5498,0,0,-5664,34800,-1140,0
A011930,신성이엔지,20230407,60637,-119341,57856,33357,0,0,0,0,0,0,848,24499
A011930,신성이엔지,20230410,-719713,536629,165466,29857,0,138445,0,-2235,0,-9882,27500,-601
A011930,신성이엔지,20230412,48787,407,-29448,3592,2446,-144675,0,-3864,101920,9697,-29443,11133
A011930,신성이엔지,20230411,229263,-161204,-49002,-4713,2695,-144675,0,-3864,101920,-5933,-13124,-365
A011930,신성이엔지,20230414,196152,-295401,95497,30005,0,-390,0,0,56879,3300,452,9003
A011930,신성이엔지,20230413,75116,-149984,77617,13739,0,66,0,0,56879,-2605,-144,6933
A011930,신성이엔지,20230418,179453,-224743,35289,27936,5179,0,0,0,0,10600,-599,2174
A011930,신성이엔지,20230417,-300675,286586,15625,15931,0,0,0,0,0,576,-2112,-306
A011930,신성이엔지,20230420,247485,-306537,65177,8817,-84,0,0,0,56934,-26893,20768,-490
A011930,신성이엔지,20230419,-717774,708487,4858,5394,-46,0,0,0,0,2011,2418,-490
A011930,신성이엔지,20230421,27403,-11449,2817,2956,0,0,0,0,0,-7131,-11640,-139
A011930,신성이엔지,20230424,576490,-631026,-20821,3662,0,-84601,0,0,59900,39166,36191,218
A011930,신성이엔지,20230426,95613,13194,-44525,13134,0,-48663,0,0,-8996,-7822,-56460,0
A011930,신성이엔지,20230425,213240,-99933,-42756,8037,0,-44096,0,0,-6697,-19874,-50677,0
A011930,신성이엔지,20230428,-197238,142676,53182,46023,0,6116,0,0,0,-2807,4187,1043
A011930,신성이엔지,20230427,-390322,371544,13661,7315,0,6116,0,0,0,2950,2167,230
A011930,신성이엔지,20230502,-32509,37975,-4666,-3853,0,0,0,0,-271,1974,-2774,-542
A011930,신성이엔지,20230504,221728,-307577,89027,2829,0,0,0,0,88220,-4519,1341,-2022
A011930,신성이엔지,20230503,224752,-298056,82923,-6058,0,0,0,0,90764,-5019,-4600,-1783
A011930,신성이엔지,20230508,78474,-150799,76867,6950,-526,192,0,0,64183,0,-4542,6068
A011930,신성이엔지,20230510,-380937,343158,17792,14256,0,-108,0,0,2987,20100,-113,657
A011930,신성이엔지,20230509,-193734,164795,14783,12113,0,-108,0,0,2500,100,14056,278
