Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ,¿Ü±¹ÀÎ,±â°ü°è,±ÝÀ¶ÅõÀÚ,º¸Çè,Åõ½Å,ÀºÇà,±âÅ¸±ÝÀ¶,¿¬±â±Ý,±âÅ¸¹ýÀÎ,±âÅ¸¿ÜÀÎ,»ç¸ðÆÝµå
A112610,¾¾¿¡½ºÀ©µå,20220622,-16039,-21956,37940,1458,-28,8081,-42,100,27244,80,-25,1127
A112610,¾¾¿¡½ºÀ©µå,20220624,-108340,-3591,112000,36060,1841,14806,-79,-803,30780,-16,-53,29395
A112610,¾¾¿¡½ºÀ©µå,20220623,-28504,-3855,32304,22052,-1780,-5670,-77,-578,10989,0,55,7368
A112610,¾¾¿¡½ºÀ©µå,20220628,-152229,73719,79019,-3772,-3107,2641,-567,-250,62373,226,-735,21701
A112610,¾¾¿¡½ºÀ©µå,20220627,12143,-1620,-10222,-7822,-3773,-8226,0,0,9155,-353,52,444
A112610,¾¾¿¡½ºÀ©µå,20220630,-238423,-16529,260160,39891,10528,21463,-923,-512,161424,-4711,-497,28289
A112610,¾¾¿¡½ºÀ©µå,20220629,-254651,45067,208166,19654,17774,23000,-782,-512,126995,1909,-491,22037
A112610,¾¾¿¡½ºÀ©µå,20220701,-20662,18329,4398,33217,-15119,-3732,0,-544,-1347,-2094,29,-8077
A112610,¾¾¿¡½ºÀ©µå,20220704,-11733,6573,6868,653,15567,6599,564,-215,-9930,-1760,52,-6370
A112610,¾¾¿¡½ºÀ©µå,20220706,355097,-88460,-260818,-22303,1838,-55903,1093,300,-70799,-6507,688,-115044
A112610,¾¾¿¡½ºÀ©µå,20220705,86948,-21023,-57509,2471,3722,-13882,124,0,-25778,-8566,150,-24166
A112610,¾¾¿¡½ºÀ©µå,20220708,62304,-1618,-60143,21962,-83,-23597,159,89,-5776,-851,308,-52897
A112610,¾¾¿¡½ºÀ©µå,20220707,83915,6070,-89290,11546,-278,-41324,159,0,-6280,-962,267,-53113
A112610,¾¾¿¡½ºÀ©µå,20220712,104594,-54935,-49718,4236,-16760,-26543,298,126,-21727,241,-182,10652
A112610,¾¾¿¡½ºÀ©µå,20220711,107701,-45311,-62368,569,-20892,-18620,298,100,-32244,206,-228,8421
A112610,¾¾¿¡½ºÀ©µå,20220714,93425,-55288,-38010,-1079,-1303,-7704,3032,0,-5231,3,-130,-25725
A112610,¾¾¿¡½ºÀ©µå,20220713,55137,-43742,-11837,11177,-1425,426,132,0,-8973,0,442,-13174
A112610,¾¾¿¡½ºÀ©µå,20220715,85287,-39849,-45430,-40660,-45,-13162,1200,0,9878,-64,56,-2641
A112610,¾¾¿¡½ºÀ©µå,20220718,-14503,26515,-14806,-4743,-4824,-4360,0,0,-4452,2349,445,3573
A112610,¾¾¿¡½ºÀ©µå,20220720,-24250,-46798,63552,-5255,17424,33905,0,0,2818,7242,254,14660
A112610,¾¾¿¡½ºÀ©µå,20220719,-23910,-18688,38119,-4477,4629,25063,0,0,3202,4499,-20,9702
A112610,¾¾¿¡½ºÀ©µå,20220722,68681,-25872,-42878,-13033,-14730,-12835,0,200,-4704,41,28,2224
A112610,¾¾¿¡½ºÀ©µå,20220721,49004,-35498,-13504,-7415,-3444,1774,0,200,-2477,-1,-1,-2142
A112610,¾¾¿¡½ºÀ©µå,20220726,4931,1809,-6744,9739,-11441,-1470,0,-7200,1754,-7,11,1874
A112610,¾¾¿¡½ºÀ©µå,20220725,-15898,5941,9964,6046,1921,-533,0,0,795,-7,0,1735
A112610,¾¾¿¡½ºÀ©µå,20220728,-256778,62997,191382,68029,10771,63307,-589,2200,-30586,2328,71,78250
A112610,¾¾¿¡½ºÀ©µå,20220727,3174,-4513,1339,3293,-5119,-527,0,0,-210,0,0,3902
