종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A095910,에스에너지,20220622,29679,-29283,49,49,0,0,0,0,0,-1,-444,0
A095910,에스에너지,20220624,-136940,142751,-3180,-108,0,-2354,0,0,0,3999,-6630,-718
A095910,에스에너지,20220623,14446,-16547,-3173,-101,0,-2354,0,0,0,3999,1275,-718
A095910,에스에너지,20220628,-97715,95671,190,190,0,0,0,0,0,766,1088,0
A095910,에스에너지,20220627,-245969,243118,152,152,0,0,0,0,0,1749,950,0
A095910,에스에너지,20220630,-14584,37378,-19244,-151,0,-1446,0,0,0,-4119,569,-17647
A095910,에스에너지,20220629,-28704,40135,-7683,-159,0,107,0,0,0,-4119,371,-7631
A095910,에스에너지,20220701,-57275,88868,-31728,-69,0,-917,0,0,0,0,135,-30742
A095910,에스에너지,20220704,-1536,1500,-93,-93,0,0,0,0,0,151,-22,0
A095910,에스에너지,20220706,-118291,117793,156,156,0,0,0,0,0,0,342,0
A095910,에스에너지,20220705,-132899,133161,-43,-43,0,0,0,0,0,0,-219,0
A095910,에스에너지,20220708,-183440,180074,-490,-490,0,0,0,0,0,3303,553,0
A095910,에스에너지,20220707,-68855,66798,-655,-655,0,0,0,0,0,2000,712,0
A095910,에스에너지,20220712,57250,-71362,-299,-299,0,0,0,0,0,2667,11744,0
A095910,에스에너지,20220711,72203,-77914,-33,-33,0,0,0,0,0,3737,2007,0
A095910,에스에너지,20220714,-50145,51745,-212,-212,0,0,0,0,0,0,-1388,0
A095910,에스에너지,20220713,-38616,40195,-182,-182,0,0,0,0,0,0,-1397,0
A095910,에스에너지,20220715,17240,-18098,144,144,0,0,0,0,0,500,214,0
A095910,에스에너지,20220718,-84182,85413,-53,-53,0,0,0,0,0,-1000,-178,0
A095910,에스에너지,20220720,2892,-3147,-64,-64,0,0,0,0,0,-500,819,0
A095910,에스에너지,20220719,55986,-56536,-41,-41,0,0,0,0,0,0,591,0
A095910,에스에너지,20220722,3786,-6077,-63,-63,0,0,0,0,0,2536,-182,0
A095910,에스에너지,20220721,-4198,4030,-42,-42,0,0,0,0,0,88,122,0
A095910,에스에너지,20220726,-17416,31451,-156,-156,0,0,0,0,0,-4306,-9573,0
A095910,에스에너지,20220725,-12946,26927,-89,-89,0,0,0,0,0,-4306,-9586,0
A095910,에스에너지,20220728,88404,-86082,-34,-34,0,0,0,0,0,-247,-2041,0
A095910,에스에너지,20220727,8100,-7973,-26,-26,0,0,0,0,0,0,-101,0
A095910,에스에너지,20220729,662244,-670104,-176,-176,0,0,0,0,0,371,7665,0
A095910,에스에너지,20220801,-10804,-81226,72222,-75,0,39867,0,0,0,11651,8157,32430
A095910,에스에너지,20220803,217988,-168399,-39944,-77,0,-39867,0,0,0,-10632,987,0
A095910,에스에너지,20220802,-40996,46993,53,-31,0,84,0,0,0,-13550,7500,0
A095910,에스에너지,20220805,-143006,143925,-5494,-93,0,-3625,0,0,0,4195,380,-1776
A095910,에스에너지,20220804,-32990,38635,-5460,-59,0,-3625,0,0,0,-602,417,-1776
A095910,에스에너지,20220809,170627,-153653,-155,-155,0,0,0,0,0,-5620,-11199,0
A095910,에스에너지,20220808,46125,-39406,-54,-54,0,0,0,0,0,-7283,618,0
A095910,에스에너지,20220811,-426979,376904,52297,659,0,72587,0,0,0,4934,-7156,-20949
A095910,에스에너지,20220810,-329336,284026,36623,8666,0,48490,0,0,0,9094,-407,-20533
A095910,에스에너지,20220812,-135845,132021,-22542,-2890,0,-23675,0,0,0,23751,2615,4023
A095910,에스에너지,20220817,-108390,138788,-21510,105,0,-32232,0,0,0,-18425,9537,10617
A095910,에스에너지,20220816,-31360,35228,-17156,-234,0,-16922,0,0,0,2332,10956,0
A095910,에스에너지,20220819,279182,-280925,7131,374,0,39,0,0,0,-495,-4893,6718
A095910,에스에너지,20220818,230717,-232245,7147,390,0,39,0,0,0,-223,-5396,6718
A095910,에스에너지,20220823,121814,-123326,-3261,-823,0,0,0,0,0,-142,4915,-2438
A095910,에스에너지,20220822,30699,-38623,5766,1404,0,0,0,0,0,408,1750,4362
A095910,에스에너지,20220825,-448200,431675,38448,-391,0,37555,0,0,0,-12575,-9348,1284
A095910,에스에너지,20220824,-256625,235019,31372,1285,0,23543,0,0,0,-1931,-7835,6544
A095910,에스에너지,20220826,-486126,386513,82540,3407,0,-9483,0,0,0,10342,6731,88616
A095910,에스에너지,20220829,1948,-127855,109296,1800,0,59390,0,0,0,-3950,20561,48106
A095910,에스에너지,20220831,660913,-637322,-12094,-13403,5482,2594,0,0,2034,17737,-29234,-8801
A095910,에스에너지,20220830,122095,-133443,27945,-805,3207,5727,0,0,2034,11764,-28361,17782
A095910,에스에너지,20220902,52939,-22996,-7323,4589,1396,338,0,0,0,-19930,-2690,-13646
A095910,에스에너지,20220901,-127774,123618,19418,-160,0,19916,0,0,0,-15150,-112,-338
A095910,에스에너지,20220906,-182689,177879,985,-2948,0,14243,0,0,0,-339,4164,-10310
A095910,에스에너지,20220905,-87552,51771,34459,812,0,21704,0,0,0,-56,1378,11943
A095910,에스에너지,20220908,-205862,14940,185799,5345,0,-25840,0,0,0,8150,-3027,206294
A095910,에스에너지,20220907,209935,-165358,-50544,-1804,0,-18943,0,0,0,4575,1392,-29797
A095910,에스에너지,20220914,48203,-144439,88666,16754,0,7918,0,0,0,7296,274,63994
A095910,에스에너지,20220913,72258,-94446,20543,5251,0,-3506,0,0,0,-2459,4104,18798
A095910,에스에너지,20220916,142181,-135665,-43890,6210,-2033,-11432,0,0,0,23908,13466,-36635
A095910,에스에너지,20220915,-537853,466581,37362,7149,-4055,38742,0,0,0,23111,10799,-4474
A095910,에스에너지,20220920,12395,50517,-47140,10738,0,-47091,0,0,0,-15240,-532,-10787
A095910,에스에너지,20220919,-19358,102006,-72516,-4230,0,-48837,0,0,0,-9462,-670,-19449
A095910,에스에너지,20220922,-87014,91829,4417,-9019,0,2406,0,0,0,-9503,271,11030
A095910,에스에너지,20220921,-41012,28564,6970,-10026,0,3345,0,0,0,6066,-588,13651
A095910,에스에너지,20220923,143627,-136414,52,-1865,0,0,0,0,0,-7943,678,1917
A095910,에스에너지,20220926,-109018,120907,-4721,-6762,0,0,0,0,0,-117,-7051,2041
A095910,에스에너지,20220928,60697,-59302,92,92,0,0,0,0,0,-1186,-301,0
A095910,에스에너지,20220927,55188,-52261,-49,-49,0,0,0,0,0,-1196,-1682,0
A095910,에스에너지,20220930,-234346,238658,67,67,0,0,0,0,0,302,-4681,0
A095910,에스에너지,20220929,-155796,159371,48,48,0,0,0,0,0,1000,-4623,0
A095910,에스에너지,20221004,-118064,80838,35565,1443,0,8684,0,0,0,2002,-341,25438
A095910,에스에너지,20221006,175432,-180891,4597,-3333,753,4448,0,0,496,249,613,2233
A095910,에스에너지,20221005,257702,-263709,4618,-3312,753,4448,0,0,496,1180,209,2233
A095910,에스에너지,20221007,323223,-348110,7,7,0,0,0,0,0,23032,1848,0
A095910,에스에너지,20221012,-71118,69827,109,109,0,0,0,0,0,131,1051,0
A095910,에스에너지,20221011,-49588,48800,40,40,0,0,0,0,0,131,617,0
A095910,에스에너지,20221014,-322266,349529,-23671,200,2612,-5674,0,0,0,-2998,-594,-20809
A095910,에스에너지,20221013,-169646,205276,-35418,148,0,-14757,0,0,0,27,-239,-20809
A095910,에스에너지,20221018,73901,-83820,3973,9,0,0,0,0,0,2889,3057,3964
A095910,에스에너지,20221017,83107,-87920,2046,12,0,0,0,0,0,0,2767,2034
A095910,에스에너지,20221020,118086,-125384,-3997,-33,0,0,0,0,0,5342,5953,-3964
A095910,에스에너지,20221019,1345,-8897,1047,62,0,0,0,0,0,348,6157,985
A095910,에스에너지,20221021,32074,-32411,-19,-19,0,0,0,0,0,-2345,2701,0
A095910,에스에너지,20221024,-72013,74499,36,36,0,0,0,0,0,-43,-2479,0
A095910,에스에너지,20221026,171639,-149287,-29906,11,0,-4575,0,0,0,2744,4810,-25342
A095910,에스에너지,20221025,164692,-146477,-26890,27,0,-3575,0,0,0,5247,3428,-23342
A095910,에스에너지,20221028,123136,-124040,31,31,0,0,0,0,0,-997,1870,0
A095910,에스에너지,20221027,-64486,65774,48,48,0,0,0,0,0,-997,-339,0
A095910,에스에너지,20221101,-118516,119556,2,2,0,0,0,0,0,0,-1042,0
A095910,에스에너지,20221031,-25498,25508,34,34,0,0,0,0,0,0,-44,0
A095910,에스에너지,20221103,28829,-28695,-226,-226,0,0,0,0,0,0,92,0
A095910,에스에너지,20221102,60627,-61257,-47,-47,0,0,0,0,0,0,677,0
A095910,에스에너지,20221104,30913,-30661,-40,-40,0,0,0,0,0,1000,-1212,0
A095910,에스에너지,20221107,22592,-23609,-27,-27,0,0,0,0,0,0,1044,0
A095910,에스에너지,20221109,-104230,82626,-3184,-291,0,-2143,0,0,0,25983,-1195,-750
A095910,에스에너지,20221108,-85240,74863,-33,-33,0,0,0,0,0,9210,1200,0
A095910,에스에너지,20221111,144850,-144501,3732,4932,0,0,0,0,0,-3008,-1073,-1200
A095910,에스에너지,20221110,138662,-138512,4980,4980,0,0,0,0,0,-3008,-2122,0
A095910,에스에너지,20221115,48218,-34965,-6192,-2016,-178,0,0,0,0,-50,-7011,-3998
A095910,에스에너지,20221114,10197,-9777,3159,-2131,-178,5468,0,0,0,1950,-5529,0
A095910,에스에너지,20221117,-10252,21489,-2063,-2063,0,0,0,0,0,-11531,2357,0
A095910,에스에너지,20221116,-137469,140756,-3013,-3013,0,0,0,0,0,-40,-234,0
A095910,에스에너지,20221118,24754,-21930,-1034,-1034,0,0,0,0,0,0,-1790,0
A095910,에스에너지,20221121,-10378,9290,-8,-8,0,0,0,0,0,0,1096,0
A095910,에스에너지,20221123,29250,18562,-46749,-78,-10562,-36109,0,0,0,2,-1065,0
A095910,에스에너지,20221122,1202,7572,-9135,-24,-2417,-6694,0,0,0,2,359,0
A095910,에스에너지,20221125,-17506,18836,-2238,-23,0,0,0,0,0,-500,1408,-2215
A095910,에스에너지,20221124,-106419,107798,-2228,-13,0,0,0,0,0,-500,1349,-2215
A095910,에스에너지,20221129,43828,-47905,-1287,-59,0,0,0,0,0,552,4812,-1228
A095910,에스에너지,20221128,63904,-65180,-1246,-18,0,0,0,0,0,0,2522,-1228
A095910,에스에너지,20221201,-17213,46610,-22267,-95,0,0,0,0,0,-2186,-4944,-22172
A095910,에스에너지,20221130,-4745,33977,-22228,-56,0,0,0,0,0,-2186,-4818,-22172
A095910,에스에너지,20221202,6561,-16532,2086,2086,0,0,0,0,0,6563,1322,0
A095910,에스에너지,20221205,21593,-10432,-2042,-2042,0,0,0,0,0,-6090,-3029,0
A095910,에스에너지,20221207,21770,-7881,-11175,142,0,-611,0,0,0,-2672,-42,-10706
A095910,에스에너지,20221206,13541,-10788,-83,216,0,0,0,0,0,-2672,2,-299
A095910,에스에너지,20221209,-30939,20257,6288,-116,0,17038,0,0,0,5620,-1226,-10634
A095910,에스에너지,20221208,12949,-7319,-11265,-30,0,-601,0,0,0,5632,3,-10634
A095910,에스에너지,20221213,12275,-7969,-3145,2,0,0,0,0,0,-1272,111,-3147
A095910,에스에너지,20221212,-2358,5104,-3152,-5,0,0,0,0,0,300,106,-3147
A095910,에스에너지,20221215,-44596,45113,131,131,0,0,0,0,0,-650,2,0
A095910,에스에너지,20221214,-45365,46053,-40,-40,0,0,0,0,0,-650,2,0
A095910,에스에너지,20221216,47636,-43461,-5,-5,0,0,0,0,0,-4440,270,0
A095910,에스에너지,20221219,-6521,6583,-29,-29,0,0,0,0,0,0,-33,0
A095910,에스에너지,20221221,-26736,28473,-17,-17,0,0,0,0,0,-1428,-292,0
A095910,에스에너지,20221220,2711,-863,-16,-16,0,0,0,0,0,-1500,-332,0
A095910,에스에너지,20221223,7893,29223,-111,-111,0,0,0,0,0,-37710,705,0
A095910,에스에너지,20221222,-16722,16763,-41,-41,0,0,0,0,0,50,-50,0
A095910,에스에너지,20221227,-102593,104369,-14,-14,0,0,0,0,0,-390,-1372,0
A095910,에스에너지,20221226,-53856,55749,-21,-21,0,0,0,0,0,-450,-1422,0
A095910,에스에너지,20221229,-10385,7195,3829,68,0,3761,0,0,0,-1340,701,0
A095910,에스에너지,20221228,-10286,7829,3821,60,0,3761,0,0,0,-1365,1,0
A095910,에스에너지,20230102,11199,-11512,91,91,0,0,0,0,0,152,70,0
A095910,에스에너지,20230104,-72714,75604,192,192,0,0,0,0,0,-1620,-1462,0
A095910,에스에너지,20230103,-19695,22546,153,153,0,0,0,0,0,-1540,-1464,0
A095910,에스에너지,20230106,-22504,25737,31,31,0,0,0,0,0,-3152,-112,0
A095910,에스에너지,20230105,18989,-15614,19,19,0,0,0,0,0,-3283,-111,0
A095910,에스에너지,20230110,-44400,43782,-42,-42,0,0,0,0,0,3130,-2470,0
A095910,에스에너지,20230109,-23140,25729,-19,-19,0,0,0,0,0,-429,-2141,0
A095910,에스에너지,20230112,98849,-111836,12085,-69,0,12154,0,0,0,-1582,2484,0
A095910,에스에너지,20230111,167336,-166844,-18,-18,0,0,0,0,0,-1875,1401,0
A095910,에스에너지,20230113,-27371,27111,-803,-62,0,-741,0,0,0,1000,63,0
A095910,에스에너지,20230116,33106,-33972,-507,-31,0,-476,0,0,0,0,1373,0
A095910,에스에너지,20230118,2645,4025,-10287,-163,0,-10124,0,0,0,766,2851,0
A095910,에스에너지,20230117,32023,-28378,-7262,-92,0,-7170,0,0,0,766,2851,0
A095910,에스에너지,20230120,-16872,13482,-911,-98,0,-813,0,0,0,2000,2301,0
A095910,에스에너지,20230119,-9846,8192,-646,-30,0,-616,0,0,0,0,2300,0
A095910,에스에너지,20230126,-19280,22920,-326,-326,0,0,0,0,0,-11,-3303,0
A095910,에스에너지,20230125,-6950,7973,-21,-21,0,0,0,0,0,-1,-1001,0
A095910,에스에너지,20230127,2759,83,-62,-62,0,0,0,0,0,-3000,220,0
A095910,에스에너지,20230130,-12846,14787,-53,-53,0,0,0,0,0,0,-1888,0
A095910,에스에너지,20230201,-66499,65477,-277,-277,0,0,0,0,0,999,300,0
A095910,에스에너지,20230131,-44648,44134,-36,-36,0,0,0,0,0,1000,-450,0
A095910,에스에너지,20230203,27279,-27016,-73,-73,0,0,0,0,0,-1500,1310,0
A095910,에스에너지,20230202,6651,-7464,-37,-37,0,0,0,0,0,200,650,0
A095910,에스에너지,20230207,-30614,30317,-20,-20,0,0,0,0,0,0,317,0
A095910,에스에너지,20230206,-13251,12936,-11,-11,0,0,0,0,0,0,326,0
A095910,에스에너지,20230209,-14413,14616,-105,-105,0,0,0,0,0,2,-100,0
