종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A028300,HLB,20220628,28040,-55364,25412,-34741,9662,2459,0,0,726,2995,-1084,47305
A028300,HLB,20220627,87679,-73809,-15375,-47661,6610,2523,0,0,0,2465,-960,23152
A028300,HLB,20220630,78331,-23169,-60190,-97982,1817,19176,0,0,531,3580,1447,16268
A028300,HLB,20220629,106657,-46775,-61341,-71573,451,2260,0,0,0,1216,242,7521
A028300,HLB,20220701,-3339,-18498,20251,9812,2679,-5149,0,0,9900,2231,-646,3008
A028300,HLB,20220704,-111265,-27526,134640,18830,-1981,28997,0,0,74678,4399,-247,14116
A028300,HLB,20220706,91197,-159792,62598,-7514,2223,9259,0,0,69428,4680,1315,-10799
A028300,HLB,20220705,-22511,-77595,93078,56197,-9818,9042,0,0,33643,6934,93,4014
A028300,HLB,20220708,-340176,107298,239674,14377,23528,79407,0,0,53299,-6821,26,69061
A028300,HLB,20220707,-98416,27460,69136,21129,17391,1983,0,0,25192,2306,-485,3440
A028300,HLB,20220712,-51278,-113928,165019,-108521,4679,114486,0,0,43271,3399,-3212,111101
A028300,HLB,20220711,73078,-149566,81906,-57045,2644,58056,0,0,39448,-2680,-2738,38801
A028300,HLB,20220714,-176077,56446,76430,15998,-1466,1369,0,0,2657,44834,-1635,57871
A028300,HLB,20220713,-132825,-536,125767,48382,616,7404,0,0,10013,7525,68,59352
A028300,HLB,20220715,-171870,104792,12054,-9903,0,5424,0,0,4351,54681,344,12182
A028300,HLB,20220718,331274,-278558,-48843,5980,-6575,8989,0,0,-28036,-3998,125,-29200
A028300,HLB,20220720,-177003,158522,15950,-14683,0,20930,0,0,9918,3684,-1155,-215
A028300,HLB,20220719,-56704,63302,-4993,-5106,0,773,0,0,0,-2075,468,-659
A028300,HLB,20220722,87896,34698,-124508,-39628,-1950,-2563,0,0,15,1329,584,-80382
A028300,HLB,20220721,116812,-56431,-60282,19001,-1206,721,0,0,0,-792,692,-78797
A028300,HLB,20220726,-80407,59612,22369,11894,0,-1059,0,0,0,-763,-813,11535
A028300,HLB,20220725,-73537,61529,13110,19809,0,-1001,0,0,0,-238,-865,-5697
A028300,HLB,20220728,-3071,16210,-12273,32982,0,-947,0,0,0,-415,-453,-44307
A028300,HLB,20220727,-12565,21167,-8003,11082,0,11,0,0,0,-860,260,-19096
A028300,HLB,20220729,-111050,62077,50075,13841,1513,13549,0,0,0,-264,-838,21172
A028300,HLB,20220801,183776,-121449,-61266,-44344,1519,-2759,0,0,3500,-881,-179,-19182
A028300,HLB,20220803,52464,11191,-79513,-63727,1944,-2917,0,0,3390,14139,1718,-18204
A028300,HLB,20220802,14012,30031,-46580,-53995,1944,871,0,0,73,3228,-692,4526
A028300,HLB,20220805,-358910,291940,66004,966,-1805,60200,0,0,44627,1306,-341,-37985
A028300,HLB,20220804,-239068,225537,16374,-7218,-2695,19941,0,0,29056,-4990,2148,-22711
A028300,HLB,20220809,-361241,225123,150025,4614,-2862,35762,0,0,19340,-12660,-1248,93172
A028300,HLB,20220808,4215,4506,-2592,1953,-2823,1829,0,0,2517,-5238,-892,-6067
A028300,HLB,20220811,78670,-52163,-15726,129673,-1,-21300,0,0,-10857,-9656,-1124,-113242
A028300,HLB,20220810,123422,15994,-132877,-41358,0,-25639,0,0,-11354,-6298,-241,-54526
A028300,HLB,20220812,68662,93063,-152621,19269,0,-646,0,0,248,-8947,-156,-171492
A028300,HLB,20220817,409166,-229400,-182055,-118465,-9305,-17270,0,0,-31615,2695,-404,-5399
A028300,HLB,20220816,300482,-179040,-123670,-68944,-8470,-9712,0,0,-31615,2369,-140,-4928
A028300,HLB,20220819,155670,-132368,-42991,-67048,-10256,-1298,0,0,13522,18086,1600,22090
A028300,HLB,20220818,-34180,-9278,37346,-18263,0,23095,0,0,20088,5360,751,12427
A028300,HLB,20220823,172943,-66179,-110800,-50609,-7007,-5666,0,0,-12336,3594,443,-35182
A028300,HLB,20220822,168736,-101414,-66542,-75690,260,1687,0,0,7864,198,-977,-664
A028300,HLB,20220825,-55558,5241,48783,69850,-7236,5178,0,0,2323,1187,345,-21332
A028300,HLB,20220824,33675,-12695,-22839,4616,-7315,848,0,0,1656,968,890,-22643
A028300,HLB,20220826,-156624,210255,-49905,-47523,0,-3000,0,0,667,-4176,450,-50
A028300,HLB,20220829,109562,-1469,-109705,-109420,120,1665,0,0,0,682,931,-2070
A028300,HLB,20220831,-314182,269095,42198,48869,-1,-5247,0,0,4967,4137,-1249,-6389
A028300,HLB,20220830,-6166,-58562,62229,64279,0,-301,0,0,0,2135,363,-1748
A028300,HLB,20220902,195757,-106511,-83968,-135367,-633,-10536,0,0,-2648,-5247,-30,65217
A028300,HLB,20220901,72895,27275,-110287,-130122,-589,305,0,0,-2648,9947,171,22767
A028300,HLB,20220906,598416,-474999,-114398,116390,-3585,-57645,0,0,-99978,-9011,-8,-69577
A028300,HLB,20220905,500572,-404852,-83349,52391,-377,-32561,0,0,-44040,-11783,-588,-58760
A028300,HLB,20220908,-273311,448898,-167750,72329,-3867,-67797,0,0,-32764,-13518,5682,-135647
A028300,HLB,20220907,162547,-28534,-137857,-60177,-1389,-8939,0,0,-6040,2086,1759,-61309
A028300,HLB,20220914,688651,-475670,-224282,-66292,-3535,-26551,0,0,-43875,13266,-1964,-84029
A028300,HLB,20220913,105800,-103423,-6684,106570,-800,-15219,0,0,-7915,4158,149,-89320
A028300,HLB,20220916,271589,-216554,-52488,953,-3747,-29416,0,0,-28162,-3986,1439,7883
A028300,HLB,20220915,107268,-67532,-26666,-153,-3747,-29412,0,0,0,-13833,764,6646
A028300,HLB,20220920,-40187,-103494,140374,126642,7,-508,0,0,0,1817,1488,14233
A028300,HLB,20220919,26041,-96925,71101,58595,0,-319,0,0,0,668,-886,12825
A028300,HLB,20220922,89033,-63295,-31350,1575,0,136,0,0,0,5105,509,-33062
A028300,HLB,20220921,115319,-95283,-21919,12040,0,0,0,0,0,986,898,-33959
A028300,HLB,20220923,-83124,-34118,114943,81893,0,819,0,0,6978,532,1767,25253
A028300,HLB,20220926,-68629,-70375,138821,140829,0,-46,0,0,-8142,1815,-1631,6180
A028300,HLB,20220928,-53365,-149372,210892,206771,-179,-115,0,0,1540,-885,-7269,2875
A028300,HLB,20220927,-33185,-93906,127427,121116,0,-123,0,0,2328,-415,80,4105
A028300,HLB,20220930,-245072,124665,125502,102716,0,3831,0,0,0,-2009,-3086,18952
A028300,HLB,20220929,-174522,87584,88248,78732,0,2379,0,0,0,1241,-2551,7136
A028300,HLB,20221004,-210110,91172,118983,105078,0,10651,0,0,0,1010,-1056,3253
A028300,HLB,20221006,5968,39843,-43212,-52325,0,3746,0,0,3594,-6557,3956,1772
A028300,HLB,20221005,121083,-13803,-111754,-115581,0,0,0,0,3594,104,4369,232
A028300,HLB,20221007,27619,63322,-88459,-81937,0,0,0,0,319,-2771,290,-6840
A028300,HLB,20221012,-76026,120161,-46324,-18547,0,-7854,0,2,22687,3997,-1808,-42612
A028300,HLB,20221011,4931,111905,-118511,-78285,0,-4315,0,0,0,2932,-1257,-35911
A028300,HLB,20221014,-217551,150506,65492,61520,0,-5249,0,0,21583,612,941,-12364
A028300,HLB,20221013,-145625,197369,-52908,-34895,0,-10668,0,-1,5194,608,556,-12539
A028300,HLB,20221018,-60963,46579,15835,-22483,-8,1581,0,0,36743,106,-1557,0
A028300,HLB,20221017,173217,-117418,-55916,-70623,-8,617,0,0,14097,-233,350,0
A028300,HLB,20221020,313316,-126530,-187519,-182401,0,-749,0,-312,21026,1390,-656,-25083
A028300,HLB,20221019,147134,-102844,-44102,-61847,0,867,0,0,15330,-191,3,1547
A028300,HLB,20221021,25290,11307,-36530,-32121,-9,505,0,0,-2498,128,-196,-2407
A028300,HLB,20221024,-274685,116372,160535,177787,596,-17141,0,-1,0,-3413,1191,-706
A028300,HLB,20221026,-50609,56639,3314,-11727,0,6983,0,0,0,-10331,986,8057
A028300,HLB,20221025,-20743,19879,1850,-5758,0,6455,0,0,0,-983,-3,1152
A028300,HLB,20221028,-119521,90988,25159,11819,0,14822,0,39,0,3089,284,-1522
A028300,HLB,20221027,-94351,19348,74047,60213,0,13650,0,39,0,741,214,144
A028300,HLB,20221101,223965,-209504,-15522,55328,0,0,0,0,479,312,749,-71329
A028300,HLB,20221031,-46124,52096,-5825,21547,0,0,0,0,479,-182,36,-27851
A028300,HLB,20221103,89340,50568,-130034,-131981,-6,15758,0,1,-479,-10142,269,-13328
A028300,HLB,20221102,-21410,67174,-36256,-49784,-4,15840,0,0,-479,-9721,214,-1829
A028300,HLB,20221104,139808,-33827,-103540,-99031,-1,0,0,0,0,-3638,1196,-4507
A028300,HLB,20221107,33561,-16853,-13050,-10949,1755,43,0,0,0,-3781,123,-3900
A028300,HLB,20221109,38600,-58748,25057,35911,0,-6855,0,61,0,-4403,-507,-4061
A028300,HLB,20221108,-121161,21516,105289,117548,0,-5873,0,61,0,-5047,-598,-6448
A028300,HLB,20221111,-448982,195539,252965,244277,0,-480,0,-1,-5583,91,388,14752
A028300,HLB,20221110,153605,-33377,-122625,-113615,0,0,0,0,-5583,2119,278,-3427
A028300,HLB,20221115,17499,74998,-101248,-47781,-2,-35706,0,1,7135,9546,-794,-24894
A028300,HLB,20221114,-85400,178938,-95459,-98768,0,973,0,0,0,2158,-236,2336
A028300,HLB,20221117,251680,-54276,-202735,-155251,0,-18,0,0,3580,4958,373,-51045
A028300,HLB,20221116,146137,-32192,-116851,-82691,0,-229,0,0,0,2631,275,-33930
A028300,HLB,20221118,126225,-90227,-33549,-22030,0,-3780,0,0,3850,2213,-4662,-11589
