종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A006280,녹십자,20220628,-444,1295,-745,-1219,44,2139,0,0,-1818,-60,-46,109
A006280,녹십자,20220627,5466,-5034,-306,-988,-17,1424,0,0,-861,-80,-46,136
A006280,녹십자,20220630,-6338,6934,-806,-1873,113,804,0,0,57,220,-10,93
A006280,녹십자,20220629,3111,-282,-2931,-1847,46,-267,0,0,-921,110,-8,58
A006280,녹십자,20220701,2853,-4813,1909,698,107,1143,0,0,-39,57,-6,0
A006280,녹십자,20220704,-1940,-274,2323,2435,33,-112,0,0,24,-109,0,-57
A006280,녹십자,20220706,-22566,15930,6545,-2520,1520,257,0,0,7332,99,-8,-44
A006280,녹십자,20220705,-5043,5012,-56,-213,194,32,0,0,-172,89,-2,103
A006280,녹십자,20220708,-17083,-3882,21217,204,2458,2888,44,61,15607,-89,-163,-45
A006280,녹십자,20220707,-22626,1034,21890,1497,2045,2884,0,61,15482,-91,-207,-79
A006280,녹십자,20220712,-19315,8045,12234,-1414,801,3491,69,0,8997,-905,-59,290
A006280,녹십자,20220711,-10476,4640,5385,-93,1320,1688,69,0,1848,500,-49,553
A006280,녹십자,20220714,-6852,-4041,11349,-1685,-1078,2169,0,0,10753,-451,-5,1190
A006280,녹십자,20220713,-1463,-8360,9452,1236,-1199,1557,0,0,8084,-436,807,-226
A006280,녹십자,20220715,-694,-97,1730,-1508,-229,-53,0,0,3534,-726,-213,-14
A006280,녹십자,20220718,5449,-2949,-2446,-1595,-258,-3569,108,0,2950,-48,-6,-82
A006280,녹십자,20220720,-6281,9518,-3231,-1488,-245,-4104,0,0,2372,10,-16,234
A006280,녹십자,20220719,-5715,5553,275,-939,9,10,0,0,1159,-101,-12,36
A006280,녹십자,20220722,9028,-3543,-5472,-1483,-1094,-5866,0,60,2958,-89,76,-47
A006280,녹십자,20220721,6003,-2150,-3877,-1433,-860,-2346,0,60,703,13,11,-1
A006280,녹십자,20220726,1800,-38,-1800,954,-321,-1301,-202,0,-851,37,1,-79
A006280,녹십자,20220725,1474,-998,-477,881,-246,-1193,-202,0,330,1,0,-47
A006280,녹십자,20220728,18214,-2715,-15634,764,-295,-2336,0,0,-12091,124,11,-1676
