종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A322510,제이엘케이,20220628,-2264,2264,0,0,0,0,0,0,0,0,0,0
A322510,제이엘케이,20220627,-2922,2922,0,0,0,0,0,0,0,0,0,0
A322510,제이엘케이,20220630,2410,-2710,0,0,0,0,0,0,0,300,0,0
A322510,제이엘케이,20220629,-1403,1403,0,0,0,0,0,0,0,0,0,0
A322510,제이엘케이,20220701,514,-514,0,0,0,0,0,0,0,0,0,0
A322510,제이엘케이,20220704,2968,-2968,0,0,0,0,0,0,0,0,0,0
A322510,제이엘케이,20220706,-6959,6889,0,0,0,0,0,0,0,0,70,0
A322510,제이엘케이,20220705,-5551,5481,0,0,0,0,0,0,0,0,70,0
A322510,제이엘케이,20220708,-3408,3408,0,0,0,0,0,0,0,0,0,0
A322510,제이엘케이,20220707,-2938,2938,0,0,0,0,0,0,0,0,0,0
A322510,제이엘케이,20220712,1048,-1062,0,0,0,0,0,0,0,0,14,0
A322510,제이엘케이,20220711,-1213,1213,0,0,0,0,0,0,0,0,0,0
A322510,제이엘케이,20220714,-2954,2941,0,0,0,0,0,0,0,0,13,0
A322510,제이엘케이,20220713,-2345,2345,0,0,0,0,0,0,0,0,0,0
A322510,제이엘케이,20220715,702,-702,0,0,0,0,0,0,0,0,0,0
A322510,제이엘케이,20220718,-1115,1115,0,0,0,0,0,0,0,0,0,0
A322510,제이엘케이,20220720,2566,-2701,0,0,0,0,0,0,0,135,0,0
A322510,제이엘케이,20220719,1034,-1034,0,0,0,0,0,0,0,0,0,0
A322510,제이엘케이,20220722,-5303,4903,400,0,0,338,0,0,0,0,0,62
A322510,제이엘케이,20220721,-5260,4885,375,0,0,333,0,0,0,0,0,42
A322510,제이엘케이,20220726,984,-444,-400,0,0,-17,0,0,0,0,-140,-383
A322510,제이엘케이,20220725,848,-308,-400,0,0,-17,0,0,0,0,-140,-383
A322510,제이엘케이,20220728,-109,109,0,0,0,0,0,0,0,0,0,0
A322510,제이엘케이,20220727,-479,479,0,0,0,0,0,0,0,0,0,0
A322510,제이엘케이,20220729,-1942,1952,0,0,0,0,0,0,0,0,-10,0
A322510,제이엘케이,20220801,-1162,1101,0,0,0,0,0,0,0,0,61,0
A322510,제이엘케이,20220803,-1883,1453,0,0,0,0,0,0,0,430,0,0
A322510,제이엘케이,20220802,-154,154,0,0,0,0,0,0,0,0,0,0
A322510,제이엘케이,20220805,-8827,8777,361,0,0,361,0,0,0,-429,118,0
A322510,제이엘케이,20220804,-453,742,0,0,0,0,0,0,0,-429,140,0
A322510,제이엘케이,20220809,1056,-1109,-361,0,0,-361,0,0,0,400,14,0
A322510,제이엘케이,20220808,1289,-1058,-331,0,0,-331,0,0,0,100,0,0
A322510,제이엘케이,20220811,1055,-3005,0,0,0,0,0,0,0,1950,0,0
A322510,제이엘케이,20220810,3818,-3818,0,0,0,0,0,0,0,0,0,0
A322510,제이엘케이,20220812,-209,205,0,0,0,0,0,0,0,0,4,0
A322510,제이엘케이,20220817,-1501,1460,0,0,0,0,0,0,0,-14,55,0
A322510,제이엘케이,20220816,-1312,1271,0,0,0,0,0,0,0,-14,55,0
A322510,제이엘케이,20220819,182,-3197,3,3,0,0,0,0,0,3000,12,0
A322510,제이엘케이,20220818,2122,-2122,0,0,0,0,0,0,0,0,0,0
A322510,제이엘케이,20220823,3753,-3780,3,3,0,0,0,0,0,0,24,0
A322510,제이엘케이,20220822,1523,-1538,2,2,0,0,0,0,0,0,13,0
A322510,제이엘케이,20220825,-5271,5274,-3,-3,0,0,0,0,0,0,0,0
A322510,제이엘케이,20220824,-1190,1192,-2,-2,0,0,0,0,0,0,0,0
A322510,제이엘케이,20220826,-73,73,0,0,0,0,0,0,0,0,0,0
A322510,제이엘케이,20220829,297,-304,-1,-1,0,0,0,0,0,0,8,0
A322510,제이엘케이,20220831,-3983,3679,-1,-1,0,0,0,0,0,300,5,0
A322510,제이엘케이,20220830,-2838,2534,-1,-1,0,0,0,0,0,300,5,0
A322510,제이엘케이,20220902,2585,-2367,0,0,0,0,0,0,0,0,-218,0
A322510,제이엘케이,20220901,1938,-1940,0,0,0,0,0,0,0,0,2,0
A322510,제이엘케이,20220906,2936,-2939,0,0,0,0,0,0,0,0,3,0
A322510,제이엘케이,20220905,3361,-3364,0,0,0,0,0,0,0,0,3,0
A322510,제이엘케이,20220908,1714,-1721,0,0,0,0,0,0,0,0,7,0
A322510,제이엘케이,20220907,1652,-1658,0,0,0,0,0,0,0,0,6,0
A322510,제이엘케이,20220914,-2080,2072,0,0,0,0,0,0,0,1,7,0
A322510,제이엘케이,20220913,-2110,2110,0,0,0,0,0,0,0,1,-1,0
A322510,제이엘케이,20220916,89,-149,0,0,0,0,0,0,0,50,10,0
A322510,제이엘케이,20220915,-548,538,0,0,0,0,0,0,0,0,10,0
A322510,제이엘케이,20220920,496,-757,0,0,0,0,0,0,0,250,11,0
A322510,제이엘케이,20220919,2013,-2264,0,0,0,0,0,0,0,240,11,0
A322510,제이엘케이,20220922,326,-465,0,0,0,0,0,0,0,17,122,0
A322510,제이엘케이,20220921,-635,635,0,0,0,0,0,0,0,0,0,0
A322510,제이엘케이,20220923,1761,-2453,0,0,0,0,0,0,0,676,16,0
A322510,제이엘케이,20220926,2809,-2726,0,0,0,0,0,0,0,102,-185,0
A322510,제이엘케이,20220928,-218,226,1,1,0,0,0,0,0,-24,15,0
A322510,제이엘케이,20220927,-157,176,0,0,0,0,0,0,0,-24,5,0
A322510,제이엘케이,20220930,-690,691,0,0,0,0,0,0,0,-1,0,0
A322510,제이엘케이,20220929,346,-346,0,0,0,0,0,0,0,0,0,0
A322510,제이엘케이,20221004,-566,643,0,0,0,0,0,0,0,-77,0,0
