종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A009830,한화솔루션,20220622,-27999,-9899,41003,-7153,-10656,29904,574,-485,49855,-2046,-1058,-21036
A009830,한화솔루션,20220624,-152542,-87906,231712,103164,23670,27245,216,-713,160386,8725,9,-82258
A009830,한화솔루션,20220623,-155834,-111463,258730,107332,15912,61633,144,-346,97875,8148,418,-23820
A009830,한화솔루션,20220628,62427,14335,-69163,-77161,-7481,26414,-4129,4314,165115,-7729,127,-176234
A009830,한화솔루션,20220627,49763,89805,-142837,-58647,-12582,-13252,-1125,-94,71130,2876,391,-128265
A009830,한화솔루션,20220630,-165075,-253048,413781,-39166,48115,199605,1057,2700,211077,5130,-788,-9614
A009830,한화솔루션,20220629,-158414,-53515,212001,-57051,40408,98160,706,2129,123919,1155,-1227,3726
A009830,한화솔루션,20220701,-48606,-168346,216214,-6497,16437,37667,0,0,175456,1211,-473,-6850
A009830,한화솔루션,20220704,76536,-81999,10636,9844,14373,-4008,6894,-803,47461,-6678,1505,-63124
A009830,한화솔루션,20220706,539747,-239359,-307514,-159445,7365,-152407,6207,-1776,-22588,7485,-360,15128
A009830,한화솔루션,20220705,-93249,130249,-33998,-21783,8398,-14170,2641,-488,-8392,-1248,-1754,-205
A009830,한화솔루션,20220708,-456137,134389,321375,80205,24681,86964,1531,-1166,199198,174,200,-70038
A009830,한화솔루션,20220707,-372699,61311,311363,55119,8339,44505,631,850,181586,196,-171,20331
A009830,한화솔루션,20220712,75192,-51810,-37529,-34587,7636,4952,2909,48,5182,13336,812,-23669
A009830,한화솔루션,20220711,32273,24334,-58300,743,-2385,4018,0,0,-22766,509,1185,-37910
A009830,한화솔루션,20220714,78384,16284,-85589,-155172,18817,-44514,3439,3606,84333,-10430,1349,3901
A009830,한화솔루션,20220713,32839,3505,-26915,-22832,-2874,-22100,620,0,140,-10754,1324,20131
A009830,한화솔루션,20220715,177573,63941,-237943,1645,-15494,-88887,735,-480,-96734,-3773,202,-38730
A009830,한화솔루션,20220718,13052,99223,-115100,-30549,-15165,-106004,5083,0,38068,2372,454,-6534
A009830,한화솔루션,20220720,-31851,43672,-25506,7616,30507,25003,1884,0,-93761,12778,907,3243
A009830,한화솔루션,20220719,42883,37677,-79799,-19849,8946,5305,152,0,-71975,-826,65,-2379
A009830,한화솔루션,20220722,67470,31208,-107407,-52028,-11379,-10046,0,-398,-33447,7000,1729,-109
A009830,한화솔루션,20220721,104172,30320,-143408,-27461,-12096,-8956,0,0,-87979,7460,1455,-6916
A009830,한화솔루션,20220726,-325859,-75551,390599,64831,44015,108228,-11556,3766,68501,13808,-2996,112814
A009830,한화솔루션,20220725,-380533,-43914,415185,78499,39923,107279,-11556,3766,78519,12581,-3319,118755
A009830,한화솔루션,20220728,-1438247,449623,1021547,125391,35998,173938,-4159,-3419,215123,-26918,-6005,478675
A009830,한화솔루션,20220727,5302,-58831,51410,12251,7449,5447,1063,1025,2046,2266,-147,22131
A009830,한화솔루션,20220729,-1127120,1053201,44882,-21487,-49667,-92978,-6958,-426,25373,32192,-3156,191024
A009830,한화솔루션,20220801,-549084,537314,39463,-33787,12452,-4962,-984,5851,49981,-24334,-3358,10911
A009830,한화솔루션,20220803,-391781,496443,-108051,-13823,-6414,-56318,-6652,16345,7059,6782,-3394,-48251
A009830,한화솔루션,20220802,-242928,352417,-109334,-31842,-5383,-7715,-3696,315,-47672,2759,-2914,-13342
A009830,한화솔루션,20220805,-445,377406,-386851,14736,-62823,-108547,-1530,-2645,33273,12264,-2374,-259316
A009830,한화솔루션,20220804,164636,329743,-495432,31146,-59811,-132438,0,-2645,-9707,986,67,-321977
A009830,한화솔루션,20220809,-195230,-155524,327081,5447,-15978,36120,1302,-1512,236725,22798,876,64978
A009830,한화솔루션,20220808,-164752,-205079,357283,-3347,-20491,89932,1462,-1512,110926,12478,72,180313
A009830,한화솔루션,20220811,-721215,121058,640757,125917,6387,71184,-2414,-3654,322096,-37362,-3238,121241
A009830,한화솔루션,20220810,-334783,-6866,359408,57523,6468,63651,-574,-3646,174628,-17062,-697,61358
A009830,한화솔루션,20220812,-445,22295,-27420,-32589,-1594,-1892,-2116,-977,14498,4006,1565,-2750
A009830,한화솔루션,20220817,-134296,-76402,217718,-19449,5750,36165,-1908,-432,151238,-6571,-449,46356
A009830,한화솔루션,20220816,-358715,124356,253778,-38482,26241,62658,-1149,-480,127126,-18829,-590,77864
A009830,한화솔루션,20220819,-11605,-153485,158801,10286,2962,53150,5391,61,-8307,5524,764,95257
A009830,한화솔루션,20220818,104229,-90458,-18323,-39214,-8320,18499,-1004,379,-31425,4648,-96,42762
A009830,한화솔루션,20220823,-438268,67414,356242,42657,15785,75187,-265,214,33179,12813,1799,189485
A009830,한화솔루션,20220822,41161,-7608,-39836,24041,-30121,-9706,319,-133,-13687,3275,3008,-10549
A009830,한화솔루션,20220825,-632369,-136388,787326,8470,36030,260903,584,29144,318252,-21260,2690,133941
A009830,한화솔루션,20220824,-641008,76638,585850,-31959,21041,190172,-256,29129,271400,-20826,-655,106322
A009830,한화솔루션,20220826,-693339,461380,232912,16442,7521,39255,-328,-80,91971,-2080,1128,78135
A009830,한화솔루션,20220829,-264315,-29333,291350,25611,7328,102928,8385,-3530,228682,1788,509,-78054
A009830,한화솔루션,20220831,-218766,202570,7575,-43735,-11261,-19119,434,937,39412,12363,-3741,40909
