단어,개수
[서울=뉴시스],9
김경택,9
기자,26
=,26
셀바스AI는,26
유상증자,2
1차,7
발행가액이,3
1만4280원으로,1
결정됐다고,3
10일,1
공시했다.확정,1
발행가액은,2
다음,4
달,4
16일,1
산정돼,1
같은달,2
19일,1
공시될,1
예정이다.,7
곽민철,8
대표,9
"""교육,",1
"의료,",7
메타모빌리티,2
등,81
전,20
분야,18
"성과,",1
AI에서,1
캐시카우,2
"만든다""곽민철",1
셀바스AI,16
"/사진제공=셀바스AI""20년간",1
쌓은,3
음성인식,14
데이터,51
장벽을,1
기반으로,24
"교육,",8
분야에서,6
이익을,3
시현할,1
"계획입니다""곽민철",1
대표는,47
최근,11
머니투데이와,1
인터뷰에서,2
AI(인공지능),5
중심의,1
IT(정보기술),1
패권,1
전쟁에서,1
선택과,1
집중을,1
통한,6
성장모델을,1
구축,9
중이라며,1
이같이,2
밝혔다.,37
대규모,5
자금이,1
투입되는,1
AI,135
기술개발이,1
아니라,20
음성인식을,4
활용해,6
사람의,9
손을,1
대체할,6
수,92
있는,50
분야에,3
진출해,1
캐시카우(현금창출원)를,1
만들고,2
있다.,77
1999년,2
설립된,2
관련,5
상장사,2
가운데,7
가장,11
다양한,36
성과를,13
내고,10
의료,37
'셀비,2
메디보이스',1
음성기록,5
"'셀비노트',",1
디지털,29
교과서,2
제작,4
"'셀펍',질병",1
발병,1
확률,1
예측,15
솔루션,46
'셀비체크업',1
등이,5
제품이다.,1
지난해,30
매출액,10
"509억원,",2
영업이익,7
50억원을,2
올렸다.,1
빠른,5
사업,31
확장은,1
인식률,2
98%,1
이상의,7
기술,7
덕분이다.,1
회사는,7
약,11
24년간의,1
딥러닝,6
연구를,2
통해,60
"음성인식,",2
"음성합성,",6
필기,1
및영상인식,1
등의,12
기술을,17
보유하고,7
보유한,9
원천기술,1
특허가,1
79건에,1
달한다.,2
셀비노트는,1
250개,1
경찰서에,1
적용되어,1
"있고,",2
"보건복지부,",1
특허청,1
등으로,9
사용처가,1
확대되고,2
곽,14
"""생활을",1
편리하게,1
하는,6
