날짜,제목,내용
 2022.07.12 17:31,"네패스, 300억 규모 단기차입금 증가결정",			 [이데일리 이정현 기자] 네패스(033640)는 기존 장기차입금 만기에 따른 대환용으로 300억 원 규모의 단기차입금 증가결정을 내렸다고 12일 공시했다. 이는 자기자본대비 11.24%에 해당한다.
 2022.09.06 17:09,인사말하는 정칠희 네페스 회장,(서울=뉴스1) 유승관 기자 = 정칠희 네페스 회장이 6일 서울 여의도 켄싱턴호텔에서 열린 반도체 인재 양성 지원 협업센터 업무 협약식에서 인사말을 하고 있다. 2022.9.6/뉴스1
 2022.11.03 15:33,충북 첫 장애인오케스트라 창설공연 설명하는 이병구 네패스 회장,    (청주=연합뉴스) 김형우 기자 = 이병구 네패스 회장이 3일 청주시 청원구 오창읍 오창산업단지 제2공장 내 행사장인 아트리움에서 충북 첫 장애인음악단인 루아 체임버 오케스트라의 창설 취지를 설명하고 있다. 2022.11.3    vodcast@yna.co.kr
 2022.11.08 12:48,"이병구 네패스 회장, 금탑산업훈장 수상…""반도체 패키징 기술 국산화 주역""","7일 중견기업인의 날 기념식WLP·FOPLP 상용화로 글로벌 시장 활약[서울경제] 이병구 네패스(033640) 회장이 반도체 재료·첨단 패키지 기술 국산화에 대한 공로를 인정받아 금탑산업훈장을 받았다. 이 훈장은 국가 산업 발전에 기여한 공로가 뚜렷한 자에게 수여되는 정부포상으로 훈격이 가장 높다.이 회장은 지난 7일 서울 더플라자 호텔에서 열린 ‘중견기업인의 날’ 기념식에서 훈장을 받았다. 기념식에는 윤석열 대통령을 비롯한 정부 관계자와 유공자 등 200여명이 참석했고 유공자 34명에 대한 포상이 이뤄졌다.이 회장은 △첨단반도체 패키지 선도 기술 지속 개발 △국내 시스템반도체 후공정 생태계 구축 △소외된 지자체에 대규모 투자로 고용 창출과 지자체 발전에 기여해 이 훈장을 받았다.이 회장은 수상 이후 ""네패스 구성원들이 그동안 흘린 땀과 고난과 눈물의 결정체를 업계에서 인증 받게 돼 매우 기쁘다""고 밝혔다. 그는 “첨단기술과 최고품질 개발에 보다 더욱 정진해서 글로벌 기업과 함께 K-반도체의 꿈을 이뤄나가는데 디딤돌과 통로 역할을 충실히 할 것”이라고 덧붙였다.이 회장은 1990년 네패스 창업 후 반도체 재료를 국산화하며 사업을 시작했다. 그는 팹 기술 기반 웨이퍼레벨 패키지(WLP)를 처음으로 양산하며 우리나라 시스템 반도체 산업의 경쟁력을 끌어올리는 데 기여했다. 2017년에는 업계 최초로 600㎜ 팬아웃패널레벨패키지(FOPLP)를 상용화하며 글로벌 시장에서의 입지를 다지고 있다. 2019년 말 부터는 충북 괴산에 대규모 반도체 후공정 투자를 시작하며 글로벌 반도체 시장을 주도할 수 있는 생태계 기반을 구축하고 있다."
 2022.11.22 10:59,"바이텍씨스템, 네패스에 인포매티카 솔루션 공급"," < 이미지 제공 :  바이텍씨스템 >바이텍씨스템은 네패스의 ‘B2B 통합 플랫폼 사업’에 인포매티카의 인텔리전트 데이터 관리 솔루션(Informatica, IDMC) 공급 및 구축 컨설팅을 진행한다. 바이텍씨스템은 인포매티카 한국 총판사로 100여 개 이상의 대기업 고객사의 레퍼런스를 보유하고 있다.바이텍씨스템 관계자는 “IDMC는 기존 데이터 통합솔루션인 파워센터(PowerCenter, ETL) 기반으로 설계된 솔루션으로 성능과 안정성이 검증된 아키텍처로 구성되어 있으며, 특히 해당 제품은 기존 온프라미스 환경뿐만 아니라 Cloud 영역까지 자유롭게 데이터 통합을 할 수 있는 인포매티카(Informatica)의 차세대 제품”이라고 소개했다.인포매티카의 인텔리전트 데이터 관리 솔루션(이하 IDMC)는 Gartner Magic Quadrant iPaaS 분야에서 수년째 1위를 차지하고 있는 제품으로 기존에 서비스하는 여러 솔루션들을(ETL, CDC, Data Quality, Data Lineage, MDM 등) 하나의 플랫폼에서 사용할 수 있다는 장점이 있다.또한 비즈니스 사용자, 데이터 분석가, 전문 개발자 등 다양한 사용자를 위해 직관적인 데이터 파이프라인 설계 인터페이스를 제공한다.네패스는 첨단 제조 공정 기술을 바탕으로 웨이퍼레벨패키지(WLP), 팬아웃웨이퍼레벨패키지(Fan-out WLP), 시스템인패키지(Fan-out WLSiP) 등을 포함해 한층 고도화된 팬아웃패키지 공정인 패널레벨패키지(PLP), 그리고 2D, 3D 모듈(Modules)에 이르기까지 제품 포트폴리오를 강화하고 있으며 그에 따른 반도체 관련 막대한 양의 데이터를 가진 국내 Advanced Assembly & Test 제조 서비스를 제공하는 반도체 회사이다.특히 S반도체사와 Q반도체사의 막대한 양의 데이터를 안정적으로 전송하고 B2B 관련 전송 관련 사항의 Error율 Zero 안정화를 도모하고자 한다. 이에 따라 이번 사업 사용 분야에는 데이터 전송, 수신, 모니터링, 이상 사항 발생 시 알람 구조 등으로 전반적인 B2B 서비스에 도입 예정이다.네패스는 구축 사업에 앞서 6개월간 IDMC를 포함해 여러 제품 테스트를 진행·평가했다. 인포매티카의 제품은 기술 요소를 충족할 뿐만 아니라 디지털 혁신에도 강력한 영향을 주는 것으로 평가했다. 향후 네패스의 클라우드 서비스에도 접합해서 더욱더 발전 서비스를 진행할 예정이다.바이텍씨스템은 30년 이상 된 빅데이터 플랫폼 구축 및 컨설팅 회사로 오랜 시간 기술력을 인정받아왔다. 2018년엔 빅데이터 솔루션 서비스 분야에서 한국 브랜드 선호도 1위를 수상했을 뿐 아니라 2년 연속 산업통상자원부가 후원하는 대한민국 서비스 만족 시상에서 e-서비스(기업 맞춤형 TAS 제품) 부문 대상을 받았다.바이텍씨스템 문수찬 대표는 “IDMC 플랫폼이 디지털 전환의 리딩기업인 네패스로부터 디지털 혁신을 위한 최고의 데이터통합 솔루션으로 평가받아 매우 고무적”이라며 “당사의 기술 지원 및 컨설팅 역량이 고객사의 클라우드 전환과 비즈니스 의사 결정에 도움이 되도록 최선을 다하겠다”라고 말했다.네패스 윤승택 부장은 “Power Center ETL을 기반으로 Global Top-Tier 고객사에 준하는 B2B 서비스를 네패스에 도입·구축 진행할 예정이며, one platform 구조로 전반적인 서비스의 고도화를 구성할 것”이라며 “향후 네패스에 B2B 서비스 ETL 통합 형태의 서비스와 클라우드 형태의 고도화 구성으로 계속해서 진행할 것”이라고 전했다."
 2022.11.24 17:36,"네패스아크, 네패스라웨에 300억 규모 금전대여 결정","			 [이데일리 양지윤 기자] 네패스아크(330860)는 관계사 네패스라웨에 300억 규모 금전대여를 결정했다고 24일 공시했다. 대여기간은 오는 25일부터 1년 간, 이율은 4.6%다."
 2022.11.24 17:38,"네패스, 네패스라웨에 300억 규모 금전대여 결정",			 [이데일리 양지윤 기자] 네패스(033640)는 주요종속회사인 네패스라웨에 300억원 규모 금전대여를 결정했다고 24일 공시했다. 대여기간은 오는 25일부터 1년간이다. 금전대여 이율은 4.6%다.
 2022.11.24 17:46,"네패스아크, 네패스라웨에 300억 금전대여 결정","			  네패스아크가 관계사 네패스라웨에 300억 규모 금전대여를 결정했다고 24일 공시했다. 대여기간은 오는 25일부터 1년간, 이율은 4.6%다."
 2023.03.14 17:52,"네패스, 지난해 영업손실 67억원…전년비 적자 축소",			 [이데일리 이은정 기자] 네패스(033640)는 지난해 영업손실이 67억1401만원으로 전년 대비 적자가 축소됐다고 14일 공시했다. 매출액은 5880억3921만원으로 40.6% 늘었다. 당기순이익은 945억4616만원으로 흑자전환했다.
 2023.03.23 11:03,"네패스, 감사의견 적정 감사보고서 제출",			 [서울=뉴시스] 신항섭 기자 = 네패스는 감사의견 적정을 받은 당해사업연도 감사보고서를 제출했다고 23일 공시했다. 
