날짜,제목,내용
 2023.06.13 09:24,"고영 뇌수술용 의료로봇, 인천성모병원, 성빈센트병원에 공급","앞서 세브란스병원, 삼성서울병원에 판매국내 넘어 미국, 중국도 공략 계획고광일 고영테크놀러지 대표가 한국경제신문과 만나 의료수술용 로봇 카이메로를 소개하고 있다. 최형창 기자코스닥시장 상장사 고영테크놀러지의 뇌수술용 의료로봇이 인천성모병원과 성빈센트병원에 공급된다. 13일 고영에 따르면 두 병원은 고영의 뇌수술용 의료로봇 ‘카이메로’를 구매하기로 했다. 카이메로는 국내 최초로 뇌전증 수술에 필수적인 입체뇌파전극삽입술에 성공, 뇌수술 200례 이상을 달성하는 등 고난이도 뇌수술에 그동안 효과적으로 사용됐다. 그동안 세브란스병원과 삼성서울병원에서 사용됐는데 서울을 넘어 경기 서남부지역까지 확장된 셈이다. 최신 기술의 의료서비스를 지역주민들도 이용할 수 있게 되었다.'카이메로'는 수술부위의 최단경로를 확인해 절개위치로 자동 가이드 기능을 제공한다. 의사의 학습 곡선을 최소화하는 데 도움을 주며, 최소 침습을 통해 수술 정확성과 성공률을 높이는 장점이 있다. 이로 인해 수술 후 출혈이나 감염 등의 부작용이 줄어들고, 수술시간을 단축하여 마취 합병증의 위험도를 감소시키며 통증도 감소시킨다.인천성모병원은 국내 최초로 뇌질환 전문 진료기관인 뇌병원을 설립하여 풍부한 임상경험과 연구능력을 기반으로 뇌질환에 특화된 치료 패러다임을 구축하고 있다. 이번 ‘카이메로’ 도입을 통해 뇌질환 치료에 대한 전문성을 더욱 강화하여 최상의 의료서비스 제공을 목표로 하고 있다.성빈센트병원은 뇌신경과 관련된 다양한 뇌신경과 전문 전문치료센터를 운영하며, 고난도 뇌수술이 가능한 종합병원으로 알려져 있다. 성빈센트병원은 '카이메로'의 도입을 통해 로봇 수술을 활성화하고 국내에서 아직 초기 도입 단계인 입체뇌파전극삽입술(로봇보조 뇌전증수술)의 원내 도입을 목표로 하고 있다. 수도권 내 로봇보조 뇌수술을 활성화하기 위해 양 병원과 의료로봇 제조사인 고영테크놀러지가 의료 협진 체계 구축 등 협력을 강화해 나갈 계획이라고 밝혔다.고영은 이번 계기를 통해 수도권으로의 공급 확장을 시작으로 전국의 지역 거점병원으로 확장하겠다는 계획이다. 또, 국내에서 쌓은 실증 데이터를 통해 미국 식품의약국(FDA)와 중국 의약품관리국(NMPA)의 승인을 추진해 세계 의료로봇 시장을 공략할 계획이라고 밝혔다. 이를 통해 전국민이 뇌수술 로봇을 접할 수 있는 환경을 조성하고 의료로봇 기술의 세계 시장 개척을 목표로 하고 있다."
 2023.04.20 08:30,"미래에셋증권 ""고영 실적 충격…목표주가 하향조정""","미래에셋증권 로고[미래에셋증권 제공. 재판매 및 DB금지]    (서울=연합뉴스) 윤선희 기자 = 미래에셋증권은 20일 고영이 시장 기대에 못 미치는 실적을 거뒀다며 목표주가를 2만1천원에서 1만8천원으로 낮췄다.    고영은 1분기 연결기준 영업이익이 작년 같은 기간보다 16.8% 줄어든 96억1천100만원으로 집계됐다고 밝혔다. 매출액은 636억7천800만원으로 6.8% 감소했다.     김충현 연구원은 ""고영은 1분기에 자동차와 사물인터넷(IoT) 분야의 선방에도 불구하고 경기침체로 서버부문과 소비자 수요 회복이 지연, 스마트폰 부문이 역성장하면서 어닝쇼크(실적 충격)를 기록했다""고 설명했다.     그는 ""3D 검사장비 수요가 높은 자동차 전장과 IoT부문 중심으로 상저하고의 실적개선이 기대된다""며 올해 고영 매출은 2천824억원으로 3% 늘어나고 영업이익은 441억원으로 0.3% 줄어들 것으로 전망했다.     김 연구원은 ""현재 주가는 12개월 선행 주가수익비율(PER) 기준 24배로 동종업계(30배) 대비 저평가돼 있다""며 고영 투자 의견은 매수를 유지했다.     indigo@yna.co.kr"
 2023.04.19 08:21,"[클릭 e종목]“고영, 자동차·IoT 매출 증가세 지속”","			 유진투자증권은 19일 고영에 대해 1분기 실적은 시장 전망치 평균(컨센서스)을 밑돌았지만 자동차 전장과 사물인터넷(IoT) 부문에서 매출이 증가하고 있다고 분석했다.전날 고영은 지난 1분기 매출액 637억원, 영업이익 96억원으로 전년 동기 대비 각각 6.8%, 16.8% 감소한 실적을 공시했다. 이는 컨센서스 매출액 768억원, 영업이익 129억원을 밑도는 수준이다.박종선 유진투자증권 연구원은 “비수기 및 글로벌 투자 둔화 영향으로 부진한 실적을 보였다”며 “제품별로는 3D SPI(납도포 검사기) 제품 및 반도체 검사장비(Meister), MOI 등을 포함한 기타(신사업) 부문이 감소세를 보였다”고 분석했다.이어 박종선 연구원은 “산업별로는 모바일 기기 및 서버향 매출이 급감했고 지역별로 보면 한국, 중국을 중심으로 전년 동기 대비 매출 감소세를 보였다”고 설명했다.그는 “1분기에서 긍정적인 모습은 3D AOI(자동광학검사)가 전년 동기 대비 5.7% 증가했고 산업별로는 북미, 유럽, 동남아를 중심으로 전기차향 투자가 확대되면서 자동차향 매출이 전년동기 대비 11.3% 증가한 점”이라고 밝혔다.또 그는 “IoT 향 매출도 전년 동기 대비 10.4% 증가했고 지역별로는 글로벌 생산거점 재배치에 따라 인도, 태국을 중심으로 동남아시아 지역 매출이 74.8% 늘었다”며 “유럽과 미주 지역도 자동차 전장, IoT 등에서 매출이 증가했다”고 분석했다.그는 고영의 올 2분기 실적이 전년과 비슷한 수준을 유지할 것으로 내다봤다. 그는 “고영의 2분기 연결 기준 예상 매출액과 영업이익은 각각 643억원, 98억원으로 전년 동기 대비 각각 1.3% 감소, 2.2% 증가할 것”으로 예상했다.아울러 그는 “현재 고영의 주가는 당사 추정 2023년 예상 EPS(740원) 기준, PER은 19.9배 수준으로 국내외 유사업체 및 주요기업의 평균 PER 31.7배 대비 할인돼 거래 중”이라고 덧붙였다."
 2023.04.18 16:25,"고영, 1분기 영업익 96억…전년比 16.8%↓",			 [이데일리 김보겸 기자] 고영(098460)은 1분기 연결재무제표 기준 영업이익이 전년동기대비 16.8% 줄어든 96억1100만원으로 집계됐다고 18일 공시했다. 같은 기간 매출액은 6.8% 줄어든 636억7800만원으로 나타났다.
 2023.04.18 16:23,"고영, 1분기 영업익 96억…전년비 16.8% ↓",			 [헤럴드경제=증권부] 고영은 1분기 연결기준 영업이익이 96억1100만원으로 전년동기대비 16.8% 감소했다고 18일 공시했다.같은 기간 매출액은 636억7800만원으로 6.8% 줄어든 것으로 잠정 집계됐다.
 2023.04.14 14:37,"고영테크놀러지, 19~20일 기업설명회 개최",			 [서울=뉴시스] 김경택 기자 = 고영테크놀러지는 최근 경영실적 설명을 위해 오는 19~20일 국내 기관투자자를 대상으로 기업설명회를 개최한다고 14일 공시했다. 
 2023.03.15 17:33,"고영 ""명품만 생존…K의료장비도 최고 될 것""","고광일 대표, 신시장 개척3D 부품 검사장비 세계 1위테슬라·지멘스도 주요 고객뇌수술 로봇 '카이메로' 개발FDA 승인 후 美 공략 채비전기차 확산에 연매출 11% 쑥고광일 고영테크놀러지 대표가 15일 용인 R&D센터에서 뇌수술 로봇을 소개하고 있다. /최형창 기자“의료산업에서는 ‘명품’만이 살아남습니다. 로봇산업 1세대로서 ‘K의료장비’의 명성을 높이는 데 일조하고 싶습니다.”고광일 고영테크놀러지 대표는 15일 경기 용인 연구개발(R&D)센터에서 한국경제신문과 만나 “의료시장이 고영의 미래”라는 비전을 제시했다. 코스닥시장 상장사인 고영은 3차원(3D) 납도포검사장비(SPI)와 3D 부품 실장 검사장비(AOI) 세계 시장 점유율 1위 기업이다. 세계 3200여 개 고객사에 3D 검사장비를 공급하고 있다. 3D SPI는 인쇄회로기판(PCB) 표면에서 납땜의 불량을 잡아낸다. AOI는 납땜 위에 다른 부품이 제대로 얹혀 있는지 검사하는 장비다. 테슬라, 지멘스 등 글로벌 기업이 고영의 고객사다.고영은 안정적으로 시장을 확보한 3D 반도체 검사 장비 분야에 안주하지 않고 의료 수술 로봇 시장에 뛰어들었다. 뇌수술용 로봇인 카이메로는 국내 여러 대형 병원 신경외과 수술실에 설치됐다. 수술 실적만 300건을 넘어섰다.뇌수술에서는 수술 장비의 정밀함이 중요하다. 카이메로는 인공지능(AI) 기술로 뇌 속 신경과 동맥 등을 건드리지 않고 길을 찾아준다. 또 뇌 심부에 전극을 심는 기능을 갖췄는데, 특히 파킨슨병 치료에 효과적이다. 로봇 몸체와 센서, 소프트웨어에 이르기까지 모두 자체 제작에 성공했다.서울대 졸업 후 미국 피츠버그대에서 로봇공학 박사학위를 받은 고 대표는 로봇 연구 1세대로 통한다. 1980년대 금성사(현 LG전자) 중앙연구소 로봇팀에 있었고, 미래산업연구소장을 거쳐 2002년 고영을 창업했다. 그는 최근 세계 최대 의료시장인 미국에 많은 공을 들이고 있다. 고 대표는 1년에 3개월가량은 미국에서 업무를 본다. 의료용 로봇은 현재 미국 식품의약국(FDA) 인증 작업 중이다. 그는 “내년 하반기에 승인될 것으로 기대한다”며 “승인 이후 로봇 몸체를 바꿔주는 방식으로 척추 수술 등에 응용할 것”이라고 설명했다.지난해 고영 매출은 2754억원으로 전년(2473억원) 대비 11.3% 증가했다. 영업이익은 442억원으로 전년(413억원)보다 7% 늘었다. 고 대표는 “10년 넘게 투자하고 있는 미국 의료시장에서 판매가 본격화하는 2025년부터 매출이 극대화될 것으로 예상한다”고 말했다.무인화 바람과 전기차 확산도 고영에 호재다. 고 대표는 “인건비 상승으로 무인화 수요가 굉장히 커지고 있는데 그럴수록 품질이 보장되고 공정을 최적화할 수 있는 고영의 장비를 많이 찾는다”고 했다. 전기차용 반도체 수요가 늘어나는 것에 비례해서 검사 관련 제품 판매도 늘고 있다.스마트 팩토리 공정 관리 솔루션은 고영의 미래 먹거리 중 하나다. 양산 데이터를 실시간으로 수집해 불량 발생 등을 최소화하는 식이다. 연초 1만3000원 안팎을 횡보하던 고영 주가는 기관 순매수가 이어지면서 최근 1만5000원대까지 올랐다.용인=최형창 기자 calling@hankyung.com"
 2023.02.14 17:08,"고영, 주당 140원 현금 배당 결정","			 [이데일리 이용성 기자] 고영(098460)은 주당 140원 현금 배당 결정을 했다고 14일 공시했다. 시가배당율은 1.0%, 배당금 총액은 93억8340만원이다. 배당 기준일은 지난해 12월 31일이다."
 2023.02.10 17:16,"고영 3D납도포 검사 장비, 16년 연속 세계일류상품","16년 간 '세계일류상품' 자격 유지한 고영테크놀러지의 3D 납도포 검사 장비(SPI). 한국중견기업연합회 제공세계 1위 3차원(3D) 반도체 검사 장비 전문기업 고영테크놀러지의 3차원 납도포 검사 장비(SPI)가 16년 연속 ‘세계일류상품’ 타이틀을 이어간다. 한국중견기업연합회(중견련)은 회원사 고영테크놀러지의 SPI가 다섯 번째로 세계일류상품 자격을 갱신했다고 10일 밝혔다. 세계일류상품은 산업통상자원부가 2001년 국산 제품의 글로벌 시장 선도와 수출 활성화를 지원하기 위해 만든 제도다. 세계 시장 점유율 5위 이내, 5% 이상인 상품 중 선정한다. 또 세계 시장 규모가 연간 5000만달러 이상이고 국내 시장 규모의 2배 이상, 수출 규모가 연간 500만달러 이상인 품목을 대상으로 대한무역투자진흥공사(KOTRA)가 심의, 인증한다.고영테크놀러지의 3차원 SPI는 2021년 기준 세계 SPI 시장의 약 52%를 점유했다. 최고의 정밀도와 검사 신뢰성을 인정받아 2007년 처음 세계일류상품에 선정됐다.3차원 측정기의 고질적인 결함인 그림자 효과와 난반사 문제를 해결한 특허 기술이 적용돼 검사 수준을 다른 차원으로 끌어올렸다는 평가를 받는다.2019년 세계일류상품으로 데뷔한 3차원 부품 실장 검사 장비(AOI)도 3년마다 진행되는 자격 갱신 심사를 통과해 지난해에도 세계일류상품에 이름을 올렸다. 이 장비는 2016년부터 글로벌 시장 점유율 1위다.고영테크놀러지의 3차원 AOI는 표면, 높낮이, 형상의 초고정밀 실측 데이터에 따른 3차원 검사 기능으로 들뜸 불량, 그림자 효과 문제 등 2차원 검사 장비의 결함을 해소했다.고영테크놀러지 관계자는 “세계일류상품은 단순한 명예가 아닌, 최고의 제품 경쟁력과 기술 수준에 대한 글로벌 고객사들의 신뢰를 재확인하는 뚜렷한 상징”이라며 “반도체 패키징 공정의 초박형 납, 경면 부품 3차원 측정·검사 장비 마이스터 시리즈(Meister S, D, D+)와 측정이 어려운 투명·반투명 소재의 3차원 투명체 검사 장비 넵툰 시리즈(Neptune T, Neptune C+) 등 다양한 산업의 수요가 높은 혁신 솔루션을 앞세워 해외 시장 부동의 1위로서 위상을 강화해 나아갈 것”이라고 말했다."
 2023.02.10 12:26,"고영테크놀러지, 3차원 납도포 검사 장비 등 ‘세계일류상품’ 자격 갱신","2007년 최초 선정 이후 다섯번째 ‘세계일류상품’ 자격 갱신2019년 선정된 부품 실장 검사 장비도 작년 갱신 심사 통과 16년 간 ‘세계일류상품’ 자격 유지한 고영테크놀러지의 3D 납도포 검사 장비(SPI).  [사진제공=한국중견기업연합회]세계 1위 3차원 반도체 검사 장비 전문기업 고영테크놀러지의 3차원 납도포 검사 장비(SPI)가 세계일류상품 자격을 갱신했다.한국중견기업연합회는 10일 회원사 고영테크놀러지 대표 장비인 3차원 납도포 검사 장비(SPI)가 다섯 번째로 ‘세계일류상품’ 자격을 갱신했다고 밝혔다.이 장비는 최고의 정밀도와 검사 신뢰성을 인정받아 2007년 최초로 ‘세계일류상품’에 선정됐다. 3차원 측정기의 고질적 결함인 그림자 효과와 난반사 문제를 해결한 특허 기술이 적용돼 검사 수준을 다른 차원으로 끌어올렸다는 평가다.고영테크놀러지의 3차원 부품 실장 검사 장비(AOI)는 표면, 높낮이, 형상의 초고정밀 실측 데이터에 따른 3차원 검사 기능으로 들뜸 불량, 그림자 효과 문제 등 2차원 검사 장비의 결함을 해소했다.고영테크놀러지 관계자는 “반도체 패키징 공정의 초박형 납(micro solder), 경면(mirror-surface) 부품 3차원 측정·검사 장비 마이스터 시리즈(Meister S, D, D+)와 측정이 어려운 투명·반투명 소재의 3차원 투명체 검사 장비 넵툰 시리즈(Neptune T, Neptune C+) 등 수요가 높은 혁신 솔루션을 앞세워 해외 시장 부동의 1위로서 위상을 강화해 나아갈 것”이라고 했다.산업통상자원부가 주관하는 ‘세계일류상품’은 국산 제품의 글로벌 시장 선도와 수출 활성화를 지원하기 위해 2001년 신설됐다. 세계 시장 점유율 5위 이내, 5% 이상인 상품 중 세계 시장 규모가 연간 50000만 달러 이상이고 국내 시장 규모의 2배 이상, 수출 규모가 연간 500만 달러 이상인 품목을 대상으로 대한무역투자진흥공사(KOTRA)가 심의해 인증한다."
