¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,∞≥¿Œ,ø‹±π¿Œ,±‚∞¸∞Ë,±›¿∂≈ı¿⁄,∫∏«Ë,≈ıΩ≈,¿∫«‡,±‚≈∏±›¿∂,ø¨±‚±›,±‚≈∏π˝¿Œ,±‚≈∏ø‹¿Œ,ªÁ∏∆›µÂ
A338220,∫‰≥Î,20220623,-11016,1259,9757,0,0,9757,0,0,0,0,0,0
A338220,∫‰≥Î,20220624,3980,-3380,-500,0,0,-500,0,0,0,0,-100,0
A338220,∫‰≥Î,20220627,-4143,3968,-2324,0,0,-2324,0,0,0,919,1580,0
A338220,∫‰≥Î,20220629,-3875,-3469,4957,0,0,4957,0,0,0,2200,187,0
A338220,∫‰≥Î,20220628,2583,-3663,0,0,0,0,0,0,0,700,380,0
A338220,∫‰≥Î,20220701,8604,-13296,0,0,0,0,0,0,0,4500,192,0
A338220,∫‰≥Î,20220630,8663,-9613,0,0,0,0,0,0,0,1000,-50,0
A338220,∫‰≥Î,20220705,-4124,624,2000,0,0,0,0,0,0,1500,0,2000
A338220,∫‰≥Î,20220704,3601,-5231,0,0,0,0,0,0,0,1500,130,0
A338220,∫‰≥Î,20220707,6331,-8068,4877,0,0,4877,0,0,0,-3000,-140,0
A338220,∫‰≥Î,20220706,1364,-3151,4877,0,0,4877,0,0,0,-3000,-90,0
A338220,∫‰≥Î,20220708,3276,-1317,0,0,0,0,0,0,0,0,-1959,0
A338220,∫‰≥Î,20220711,3779,-3779,0,0,0,0,0,0,0,0,0,0
A338220,∫‰≥Î,20220713,11882,-11901,0,0,0,0,0,0,0,-82,101,0
A338220,∫‰≥Î,20220712,8310,-8410,0,0,0,0,0,0,0,0,100,0
A338220,∫‰≥Î,20220715,4685,-4522,0,0,0,0,0,0,0,0,-163,0
A338220,∫‰≥Î,20220714,1163,-902,0,0,0,0,0,0,0,0,-261,0
A338220,∫‰≥Î,20220719,-8878,4837,4029,4580,0,0,0,0,0,0,12,-551
A338220,∫‰≥Î,20220718,-14001,9489,4580,4580,0,0,0,0,0,0,-68,0
