¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,∞≥¿Œ,ø‹±π¿Œ,±‚∞¸∞Ë,±›¿∂≈ı¿⁄,∫∏«Ë,≈ıΩ≈,¿∫«‡,±‚≈∏±›¿∂,ø¨±‚±›,±‚≈∏π˝¿Œ,±‚≈∏ø‹¿Œ,ªÁ∏∆›µÂ
A108860,ºøπŸΩ∫AI,20220627,-2878,2526,5,5,0,0,0,0,0,517,-171,0
A108860,ºøπŸΩ∫AI,20220629,90269,-85328,-13,-13,0,0,0,0,0,-1904,-3021,0
A108860,ºøπŸΩ∫AI,20220628,82255,-77340,-11,-11,0,0,0,0,0,-1904,-2999,0
A108860,ºøπŸΩ∫AI,20220701,39877,-46848,2,2,0,0,0,0,0,2483,4486,0
A108860,ºøπŸΩ∫AI,20220630,53078,-58596,2,2,0,0,0,0,0,2689,2826,0
A108860,ºøπŸΩ∫AI,20220705,-29713,31506,17,17,0,0,0,0,0,517,-2327,0
A108860,ºøπŸΩ∫AI,20220704,-12374,12055,0,0,0,0,0,0,0,517,-197,0
A108860,ºøπŸΩ∫AI,20220707,14290,-13597,-6,-6,0,0,0,0,0,-819,133,0
A108860,ºøπŸΩ∫AI,20220706,-10269,13300,-1,-1,0,0,0,0,0,-819,-2209,0
A108860,ºøπŸΩ∫AI,20220708,7651,-5949,13,13,0,0,0,0,0,207,-1923,0
A108860,ºøπŸΩ∫AI,20220711,-22214,21131,43,43,0,0,0,0,0,0,1039,0
A108860,ºøπŸΩ∫AI,20220713,-43229,47391,-13,-13,0,0,0,0,0,103,-4253,0
A108860,ºøπŸΩ∫AI,20220712,-16920,17962,2,2,0,0,0,0,0,0,-1045,0
A108860,ºøπŸΩ∫AI,20220715,55835,-57545,-11,-11,0,0,0,0,0,1193,528,0
A108860,ºøπŸΩ∫AI,20220714,15768,-13511,-1,-1,0,0,0,0,0,-203,-2053,0
A108860,ºøπŸΩ∫AI,20220719,-35220,39014,0,0,0,0,0,0,0,-1758,-2035,0
A108860,ºøπŸΩ∫AI,20220718,-29682,33831,0,0,0,0,0,0,0,-1241,-2907,0
A108860,ºøπŸΩ∫AI,20220721,48230,-44830,-24,-24,0,0,0,0,0,-1823,-1551,0
A108860,ºøπŸΩ∫AI,20220720,-10210,11158,27,27,0,0,0,0,0,0,-975,0
A108860,ºøπŸΩ∫AI,20220722,26050,-26249,6,6,0,0,0,0,0,-1,193,0
A108860,ºøπŸΩ∫AI,20220725,-15245,6030,0,0,0,0,0,0,0,6209,3006,0
A108860,ºøπŸΩ∫AI,20220727,-3609,3446,-10,-10,0,0,0,0,0,10,165,0
A108860,ºøπŸΩ∫AI,20220726,-3325,3129,-9,-9,0,0,0,0,0,0,206,0
A108860,ºøπŸΩ∫AI,20220729,-14427,11392,-8,-8,0,0,0,0,0,6459,-3415,0
A108860,ºøπŸΩ∫AI,20220728,37141,-39183,0,0,0,0,0,0,0,592,1451,0
A108860,ºøπŸΩ∫AI,20220802,38626,-47529,80,80,0,0,0,0,0,8056,767,0
A108860,ºøπŸΩ∫AI,20220801,-1912,-248,29,29,0,0,0,0,0,2069,62,0
A108860,ºøπŸΩ∫AI,20220804,-15491,20503,-103,-103,0,0,0,0,0,-2725,-2183,0
A108860,ºøπŸΩ∫AI,20220803,-2132,-4927,-5,-5,0,0,0,0,0,6857,207,0
A108860,ºøπŸΩ∫AI,20220805,25820,-24618,-1,-1,0,0,0,0,0,-1152,-47,0
A108860,ºøπŸΩ∫AI,20220808,-24952,21751,6,6,0,0,0,0,0,2080,1114,0
A108860,ºøπŸΩ∫AI,20220810,84715,-47423,-34975,-22,0,-34953,0,0,0,-3603,1285,0
A108860,ºøπŸΩ∫AI,20220809,21263,-16014,-22,-22,0,0,0,0,0,-4637,-590,0
A108860,ºøπŸΩ∫AI,20220812,-88860,92531,5,5,0,0,0,0,0,-1271,-2404,0
A108860,ºøπŸΩ∫AI,20220811,-67101,68277,2,2,0,0,0,0,0,-88,-1090,0
A108860,ºøπŸΩ∫AI,20220816,2989,-3734,2906,-1,0,2907,0,0,0,370,-2532,0
