종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A347860,알체라,20220623,-20372,19483,1052,-1,0,1053,0,0,0,0,-163,0
A347860,알체라,20220624,-31898,32221,450,-2,0,452,0,0,0,26,-799,0
A347860,알체라,20220627,-6500,6364,-1,-1,0,0,0,0,0,0,138,0
A347860,알체라,20220629,1667,-1497,-1,-1,0,0,0,0,0,0,-169,0
A347860,알체라,20220628,2734,-2735,-1,-1,0,0,0,0,0,0,2,0
A347860,알체라,20220701,5789,-5960,0,0,0,0,0,0,0,0,171,0
A347860,알체라,20220630,-2182,2021,0,0,0,0,0,0,0,0,160,0
A347860,알체라,20220705,-29877,28804,5,0,0,5,0,0,0,-36,1104,0
A347860,알체라,20220704,-2336,1324,8,1,0,7,0,0,0,-38,1041,0
A347860,알체라,20220707,1429,9849,-10526,-2,0,-7156,0,0,0,-696,-53,-3368
A347860,알체라,20220706,-8568,9298,9,-1,0,10,0,0,0,-696,-41,0
A347860,알체라,20220708,-2161,11864,-9702,0,0,-6359,0,0,0,0,0,-3342
A347860,알체라,20220711,1239,-1240,0,0,0,0,0,0,0,0,1,0
A347860,알체라,20220713,1718,-1976,-10,-10,0,0,0,0,0,254,12,0
A347860,알체라,20220712,2936,-3192,0,0,0,0,0,0,0,254,1,0
A347860,알체라,20220715,33219,-29456,1,1,0,0,0,0,0,-20,-3746,0
A347860,알체라,20220714,29835,-26734,1,1,0,0,0,0,0,-23,-3080,0
A347860,알체라,20220719,1960,-2273,-1,-1,0,0,0,0,0,1657,-1345,0
A347860,알체라,20220718,362,324,0,0,0,0,0,0,0,6,-693,0
A347860,알체라,20220721,13936,-13259,1464,0,0,1464,0,0,0,241,-2380,0
A347860,알체라,20220720,15018,-16910,0,0,0,0,0,0,0,1905,-12,0
A347860,알체라,20220722,34380,-32511,-617,0,0,-1463,0,0,0,-1038,-215,846
A347860,알체라,20220725,15691,-15533,-1,-1,0,0,0,0,0,-152,-4,0
A347860,알체라,20220727,-2663,-114,0,0,0,0,0,0,0,2795,-19,0
A347860,알체라,20220726,-2067,1101,0,0,0,0,0,0,0,952,12,0
A347860,알체라,20220729,14076,-11625,-53,-53,0,0,0,0,0,-2541,144,0
A347860,알체라,20220728,10778,-10848,-53,-53,0,0,0,0,0,0,125,0
A347860,알체라,20220802,21293,-21647,1,1,0,0,0,0,0,251,103,0
A347860,알체라,20220801,9452,-9455,1,1,0,0,0,0,0,0,2,0
A347860,알체라,20220804,-28602,32028,0,0,0,0,0,0,0,-3721,296,0
A347860,알체라,20220803,-8875,10977,0,0,0,0,0,0,0,-2159,57,0
A347860,알체라,20220805,8765,-8782,0,0,0,0,0,0,0,0,16,0
A347860,알체라,20220808,-7631,7112,1301,0,0,1301,0,0,0,-639,-142,0
A347860,알체라,20220810,39154,-40519,-1301,0,0,-1301,0,0,0,1652,1015,0
A347860,알체라,20220809,20651,-21138,-1301,0,0,-1301,0,0,0,1270,518,0
A347860,알체라,20220812,22822,-14872,-7793,-7793,0,0,0,0,0,-1510,1354,0
A347860,알체라,20220811,14928,-7531,-7793,-7793,0,0,0,0,0,-110,507,0
A347860,알체라,20220816,10873,-9872,-2,-2,0,0,0,0,0,6,-1005,0
A347860,알체라,20220818,15411,-15735,-3,-3,0,0,0,0,0,331,-4,0
A347860,알체라,20220817,7131,-7555,-2,-2,0,0,0,0,0,328,98,0
A347860,알체라,20220819,17009,-17011,2,2,0,0,0,0,0,0,0,0
A347860,알체라,20220822,13262,-13513,2,2,0,0,0,0,0,101,146,0
