종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A079970,투비소프트,20220627,-15478,14578,0,0,0,0,0,0,0,500,400,0
A079970,투비소프트,20220629,31078,128917,2525,0,0,2525,0,0,0,-164782,2262,0
A079970,투비소프트,20220628,22743,-22750,0,0,0,0,0,0,0,7,0,0
A079970,투비소프트,20220701,153203,-147626,-2525,0,0,-2525,0,0,0,-700,-2352,0
A079970,투비소프트,20220630,128438,-126192,-2525,0,0,-2525,0,0,0,300,-21,0
A079970,투비소프트,20220705,15444,-16343,1,1,0,0,0,0,0,898,0,0
A079970,투비소프트,20220704,11028,-11927,1,1,0,0,0,0,0,898,0,0
A079970,투비소프트,20220707,-68388,18386,0,0,0,0,0,0,0,50084,-82,0
A079970,투비소프트,20220706,-13290,9001,0,0,0,0,0,0,0,4289,0,0
A079970,투비소프트,20220708,22180,-3991,0,0,0,0,0,0,0,-18189,0,0
A079970,투비소프트,20220711,-25810,-682,0,0,0,0,0,0,0,26492,0,0
A079970,투비소프트,20220713,-310,-15132,0,0,0,0,0,0,0,16037,-595,0
A079970,투비소프트,20220712,-31308,16133,0,0,0,0,0,0,0,15775,-600,0
A079970,투비소프트,20220715,20505,-21507,0,0,0,0,0,0,0,0,1002,0
A079970,투비소프트,20220714,16810,-18816,0,0,0,0,0,0,0,0,2006,0
A079970,투비소프트,20220719,11227,3480,0,0,0,0,0,0,0,-14700,-7,0
A079970,투비소프트,20220718,8998,6009,0,0,0,0,0,0,0,-15000,-7,0
A079970,투비소프트,20220721,-37277,76626,0,0,0,0,0,0,0,-39510,161,0
A079970,투비소프트,20220720,28869,-29395,0,0,0,0,0,0,0,490,36,0
A079970,투비소프트,20220722,36428,-36438,1,1,0,0,0,0,0,9,0,0
A079970,투비소프트,20220725,6693,-7194,0,0,0,0,0,0,0,500,1,0
A079970,투비소프트,20220727,25488,-1479,0,0,0,0,0,0,0,-24509,500,0
A079970,투비소프트,20220726,4657,-5148,0,0,0,0,0,0,0,491,0,0
A079970,투비소프트,20220729,126827,-54727,0,0,0,0,0,0,0,-72104,4,0
A079970,투비소프트,20220728,68886,-44568,0,0,0,0,0,0,0,-24318,0,0
A079970,투비소프트,20220802,56906,-45244,0,0,0,0,0,0,0,-12674,1012,0
A079970,투비소프트,20220801,18841,-33919,0,0,0,0,0,0,0,14314,764,0
A079970,투비소프트,20220804,5825,-5243,0,0,0,0,0,0,0,-423,-159,0
A079970,투비소프트,20220803,6617,-8864,0,0,0,0,0,0,0,2406,-159,0
A079970,투비소프트,20220805,30150,11690,0,0,0,0,0,0,0,-41852,12,0
A079970,투비소프트,20220808,20727,25544,0,0,0,0,0,0,0,-46898,627,0
A079970,투비소프트,20220810,-25610,126954,0,0,0,0,0,0,0,-102904,1560,0
A079970,투비소프트,20220809,18457,59269,0,0,0,0,0,0,0,-77397,-329,0
A079970,투비소프트,20220812,110972,-85267,0,0,0,0,0,0,0,-25720,15,0
A079970,투비소프트,20220811,38577,-24572,0,0,0,0,0,0,0,-14005,0,0
A079970,투비소프트,20220816,-832,9098,0,0,0,0,0,0,0,-8265,-1,0
A079970,투비소프트,20220818,26244,-20050,0,0,0,0,0,0,0,-1625,-4569,0
A079970,투비소프트,20220817,36323,-29981,0,0,0,0,0,0,0,-1623,-4719,0
