종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A300080,플리토,20220623,-12995,9024,500,500,0,0,0,0,0,3465,6,0
A300080,플리토,20220624,-8202,7398,0,0,0,0,0,0,0,804,0,0
A300080,플리토,20220627,700,-700,0,0,0,0,0,0,0,0,0,0
A300080,플리토,20220629,5279,-6279,1000,0,0,1000,0,0,0,0,0,0
A300080,플리토,20220628,3423,-4423,1000,0,0,1000,0,0,0,0,0,0
A300080,플리토,20220701,9219,-12798,1000,0,0,1000,0,0,0,2574,5,0
A300080,플리토,20220630,4161,-7735,1000,0,0,1000,0,0,0,2574,0,0
A300080,플리토,20220705,3403,-7186,3000,2000,0,1000,0,0,0,788,-5,0
A300080,플리토,20220704,4063,-6509,2071,1071,0,1000,0,0,0,380,-5,0
A300080,플리토,20220707,1541,-4672,1001,1001,0,0,0,0,0,2130,0,0
A300080,플리토,20220706,1445,-1468,1,1,0,0,0,0,0,22,0,0
A300080,플리토,20220708,2748,-3523,0,0,0,0,0,0,0,732,43,0
A300080,플리토,20220711,-186,-485,706,500,0,206,0,0,0,8,-43,0
A300080,플리토,20220713,-12091,-4792,5920,3817,0,-206,0,0,0,5432,5531,2309
A300080,플리토,20220712,-6089,-4227,-147,-250,0,-206,0,0,0,4912,5551,309
A300080,플리토,20220715,5118,-8684,3007,2007,0,0,0,0,0,534,25,1000
A300080,플리토,20220714,3055,-4921,2007,2007,0,0,0,0,0,-166,25,0
A300080,플리토,20220719,-105,-345,435,435,0,0,0,0,0,15,0,0
A300080,플리토,20220718,1114,-518,815,815,0,0,0,0,0,-1411,0,0
A300080,플리토,20220721,-293,45,-32,-32,0,0,0,0,0,280,0,0
A300080,플리토,20220720,-2151,2185,420,420,0,0,0,0,0,-454,0,0
A300080,플리토,20220722,1423,-1775,-548,-548,0,0,0,0,0,900,0,0
A300080,플리토,20220725,-3041,1736,400,1000,0,0,0,0,0,905,0,-600
A300080,플리토,20220727,-14463,5843,6241,1500,0,718,0,0,0,2800,-421,4023
A300080,플리토,20220726,-11073,7002,2000,1000,0,0,0,0,0,2300,-229,1000
A300080,플리토,20220729,-1975,-2511,800,800,0,0,0,0,0,3654,32,0
A300080,플리토,20220728,-1376,-1919,700,700,0,0,0,0,0,2600,-5,0
A300080,플리토,20220802,-4834,673,2400,2400,0,0,0,0,0,1800,-39,0
A300080,플리토,20220801,-1613,-764,2000,2000,0,0,0,0,0,400,-23,0
